s,s,s,s,C,C,C,C,C,C,C,C
FDS Time,"TIMER","open stair door","open hall door","TC03","TC04","TC05","TC06","TC07","TC08","TC09","TC10"
 1.3000343E+002, 1.2750827E+002, 1.2750827E+002, 1.2750827E+002, 6.3351456E+002, 6.2495016E+002, 6.1013974E+002, 5.7288866E+002, 3.1646292E+002, 1.5848073E+002, 1.2540078E+002, 9.5504677E+001
 1.3500490E+002, 1.3249860E+002, 1.3249860E+002, 1.3249860E+002, 6.2494365E+002, 6.1200982E+002, 5.9603671E+002, 5.2780772E+002, 3.1710925E+002, 1.5740086E+002, 1.2012130E+002, 9.0190048E+001
 1.4000310E+002, 1.3750953E+002, 1.3750953E+002, 1.3750953E+002, 6.5426298E+002, 6.3673732E+002, 6.1807901E+002, 5.6589834E+002, 3.6140059E+002, 1.6446538E+002, 1.2957722E+002, 1.0457012E+002
 1.4500023E+002, 1.4249983E+002, 1.4249983E+002, 1.4249983E+002, 6.2531549E+002, 6.1800244E+002, 6.0829390E+002, 5.3768436E+002, 3.4201871E+002, 1.7163201E+002, 1.2757012E+002, 1.0279187E+002
 1.5000327E+002, 1.4753336E+002, 1.4753336E+002, 1.4753336E+002, 6.7519024E+002, 6.6573602E+002, 6.4638275E+002, 5.4141540E+002, 3.4244650E+002, 1.6508330E+002, 1.2872454E+002, 1.0688468E+002
 1.5500710E+002, 1.5251985E+002, 1.5251985E+002, 1.5251985E+002, 6.3949192E+002, 6.2949687E+002, 6.0655413E+002, 5.2718875E+002, 3.2405860E+002, 1.6790789E+002, 1.2416821E+002, 1.0320269E+002
 1.6000569E+002, 1.5748005E+002, 1.5748005E+002, 1.5748005E+002, 7.0167688E+002, 6.7916023E+002, 6.4973928E+002, 5.3681529E+002, 3.3828804E+002, 1.9125689E+002, 1.3792898E+002, 9.7242358E+001
 1.6500925E+002, 1.6252748E+002, 1.6252748E+002, 1.6252748E+002, 7.2653432E+002, 7.0825895E+002, 6.7447389E+002, 5.0729948E+002, 3.4671884E+002, 1.8525393E+002, 1.3499895E+002, 1.0937712E+002
 1.7000581E+002, 1.6751277E+002, 1.6751277E+002, 1.6751277E+002, 7.1715732E+002, 7.0492649E+002, 6.8195744E+002, 5.0447194E+002, 3.3322613E+002, 1.6923194E+002, 1.3912643E+002, 1.1596241E+002
 1.7500691E+002, 1.7252361E+002, 1.7252361E+002, 1.7252361E+002, 6.6122270E+002, 6.4379094E+002, 6.0969876E+002, 5.3038019E+002, 3.2275809E+002, 1.6515013E+002, 1.3476293E+002, 1.0767856E+002
 1.8000311E+002, 1.7749775E+002, 1.7749775E+002, 1.7749775E+002, 5.9582172E+002, 5.8602304E+002, 5.7668181E+002, 5.1046820E+002, 3.1225833E+002, 1.7481370E+002, 1.2867989E+002, 1.0598109E+002
 1.8501639E+002, 1.8239815E+002, 1.8239815E+002, 1.8239815E+002, 6.1176498E+002, 6.0825505E+002, 5.9055388E+002, 4.4865418E+002, 3.1464442E+002, 1.7784184E+002, 1.3019834E+002, 1.0200436E+002
 1.9001669E+002, 1.8752594E+002, 1.8752594E+002, 1.8752594E+002, 4.9497409E+002, 4.7349103E+002, 4.0272111E+002, 3.2933872E+002, 2.5193096E+002, 1.2872126E+002, 9.6717813E+001, 8.0182361E+001
 1.9501700E+002, 1.9252625E+002, 1.9252625E+002, 1.9252625E+002, 4.2648263E+002, 3.8625932E+002, 3.1823548E+002, 2.7435593E+002, 2.1053976E+002, 1.1693785E+002, 8.7696998E+001, 7.2024588E+001
 2.0001730E+002, 1.9752655E+002, 1.9752655E+002, 1.9752655E+002, 3.7199693E+002, 3.3288217E+002, 2.8302905E+002, 2.4821819E+002, 2.0321831E+002, 1.1625636E+002, 7.9574555E+001, 6.2571780E+001
