 Z,TEMPERATURE
 m,C
 0.00000E+00, 0.38053E+02
 0.10000E+00, 0.38144E+02
 0.20000E+00, 0.38386E+02
 0.30000E+00, 0.38701E+02
 0.40000E+00, 0.39026E+02
 0.50000E+00, 0.40289E+02
 0.60000E+00, 0.42820E+02
 0.70000E+00, 0.46370E+02
 0.80000E+00, 0.52015E+02
 0.90000E+00, 0.60079E+02
 0.10000E+01, 0.70971E+02
 0.11000E+01, 0.88234E+02
 0.12000E+01, 0.11776E+03
 0.13000E+01, 0.17294E+03
 0.14000E+01, 0.25550E+03
 0.15000E+01, 0.33630E+03
 0.16000E+01, 0.39958E+03
 0.17000E+01, 0.45297E+03
 0.18000E+01, 0.49192E+03
 0.19000E+01, 0.50834E+03
 0.20000E+01, 0.51459E+03
 0.21000E+01, 0.52136E+03
 0.22000E+01, 0.52821E+03
 0.23000E+01, 0.53537E+03
 0.24000E+01, 0.54154E+03
 0.25000E+01, 0.54820E+03
 0.26000E+01, 0.55936E+03
 0.27000E+01, 0.61570E+03
 0.28000E+01, 0.66460E+03
