s,C,C,C,C,C,C,C,C,C,C
FDS Time,"TC01","TC02","TC03","TC04","TC05","TC06","TC07","TC08","TC09","TC10"
 0.0000000E+000, 2.0000000E+001, 2.0000000E+001, 2.0000000E+001, 2.0000000E+001, 2.0000000E+001, 2.0000000E+001, 2.0000000E+001, 2.0000000E+001, 2.0000000E+001, 2.0000000E+001
 5.0056024E+000, 2.0000070E+001, 2.0517719E+001, 2.0383824E+001, 2.0740177E+001, 2.0760953E+001, 2.0820520E+001, 2.0001376E+001, 2.2641512E+001, 2.1286415E+001, 2.1723084E+001
 1.0002661E+001, 2.0000117E+001, 4.7618557E+001, 3.9317564E+001, 3.4096800E+001, 3.2635417E+001, 3.1934514E+001, 2.6716372E+001, 2.5903145E+001, 2.3324879E+001, 2.4387508E+001
 1.5008999E+001, 2.0000135E+001, 1.1073676E+002, 1.0907271E+002, 9.7416949E+001, 7.2715254E+001, 4.9514482E+001, 3.1988926E+001, 2.8869770E+001, 2.5877311E+001, 2.7033502E+001
 2.0004665E+001, 2.0000137E+001, 1.6744925E+002, 1.6531508E+002, 1.3970822E+002, 8.7623213E+001, 4.8885721E+001, 2.3364813E+001, 3.3407339E+001, 2.9649347E+001, 3.0104380E+001
 2.5008591E+001, 2.0000134E+001, 2.2475671E+002, 2.2569167E+002, 2.1159106E+002, 1.5799156E+002, 7.4567686E+001, 3.2374578E+001, 3.9019495E+001, 3.3582833E+001, 3.2791171E+001
 3.0001972E+001, 2.0000114E+001, 3.0122932E+002, 3.0586204E+002, 2.8971612E+002, 2.1475148E+002, 1.0541286E+002, 4.0154789E+001, 4.8328934E+001, 4.3062594E+001, 3.9592988E+001
 3.5004517E+001, 2.0000097E+001, 3.6225703E+002, 3.6461032E+002, 3.4280915E+002, 3.1037468E+002, 1.2679873E+002, 3.8293861E+001, 5.8359377E+001, 4.9048348E+001, 4.4294308E+001
 4.0009022E+001, 2.0000076E+001, 4.2030396E+002, 4.1282376E+002, 3.8418168E+002, 3.2221353E+002, 1.5756790E+002, 3.7983005E+001, 5.5795835E+001, 4.9743687E+001, 4.9411763E+001
 4.5006950E+001, 2.0000006E+001, 4.7682656E+002, 4.6932963E+002, 4.2292373E+002, 3.4248883E+002, 1.7986267E+002, 4.2853330E+001, 5.7296808E+001, 5.3502035E+001, 5.6016564E+001
 5.0007092E+001, 1.9999987E+001, 5.0097281E+002, 4.8632065E+002, 4.6028262E+002, 4.3207041E+002, 2.1214098E+002, 5.8231610E+001, 7.3278995E+001, 5.9471479E+001, 5.4942501E+001
 5.5009197E+001, 1.9999965E+001, 5.3747239E+002, 5.2836193E+002, 5.0013261E+002, 4.9121956E+002, 2.4241900E+002, 7.0637925E+001, 8.5438105E+001, 6.8864311E+001, 6.4171183E+001
 6.0000137E+001, 1.9999931E+001, 5.6497844E+002, 5.5663908E+002, 5.2446466E+002, 4.8398022E+002, 2.7895837E+002, 9.1728428E+001, 9.1620430E+001, 7.2109506E+001, 6.9228860E+001
 6.5006149E+001, 1.9999911E+001, 5.9134367E+002, 5.8355111E+002, 5.5351170E+002, 5.0089855E+002, 2.8742817E+002, 1.0385920E+002, 1.0062913E+002, 7.5079194E+001, 7.5450010E+001
 7.0000580E+001, 1.9999885E+001, 6.3384463E+002, 6.0919657E+002, 5.6848971E+002, 5.4215717E+002, 3.0425433E+002, 1.0030589E+002, 1.1293250E+002, 9.7238415E+001, 7.9029296E+001
 7.5009933E+001, 1.9999878E+001, 6.3217755E+002, 6.1155632E+002, 5.7241985E+002, 5.3221297E+002, 3.3250466E+002, 1.1962507E+002, 1.1824553E+002, 9.5359851E+001, 8.3838787E+001
 8.0005280E+001, 1.9999855E+001, 6.5184866E+002, 6.1667250E+002, 5.7111643E+002, 5.0719261E+002, 3.1811299E+002, 1.3257404E+002, 1.2127392E+002, 9.0565824E+001, 8.0685739E+001
 8.5000458E+001, 1.9999874E+001, 6.2364515E+002, 5.9667401E+002, 5.6277841E+002, 5.4061271E+002, 3.3258079E+002, 1.3810274E+002, 1.2503637E+002, 9.5075749E+001, 8.3631487E+001
 9.0010437E+001, 1.9999877E+001, 6.3669008E+002, 6.1329239E+002, 5.8117771E+002, 5.0640026E+002, 3.5352239E+002, 1.3808219E+002, 1.3053870E+002, 1.0807862E+002, 9.3243717E+001
 9.5006279E+001, 1.9999837E+001, 6.1304557E+002, 5.9768395E+002, 5.6227795E+002, 5.4872351E+002, 3.4231964E+002, 1.4398808E+002, 1.1560582E+002, 1.0210575E+002, 8.0764808E+001
 1.0000200E+002, 1.9999856E+001, 6.0007284E+002, 5.8876692E+002, 5.5343342E+002, 5.7026484E+002, 3.8237568E+002, 1.5197346E+002, 1.2253034E+002, 1.1133378E+002, 8.0347849E+001
 1.0500617E+002, 1.9999861E+001, 5.9380178E+002, 5.9023085E+002, 5.5790030E+002, 5.7239216E+002, 3.7297595E+002, 1.4357976E+002, 1.2018271E+002, 1.1107399E+002, 8.3749273E+001
 1.1000598E+002, 1.9999904E+001, 6.0970376E+002, 5.9252607E+002, 5.5345308E+002, 5.6089295E+002, 3.5882620E+002, 1.4131108E+002, 1.2126782E+002, 1.0218282E+002, 9.4049929E+001
 1.1500648E+002, 1.9999892E+001, 6.1038493E+002, 5.9113144E+002, 5.5820924E+002, 5.3843173E+002, 3.3315490E+002, 1.3430449E+002, 1.2870322E+002, 1.1844827E+002, 8.2798597E+001
 1.2000912E+002, 1.9999890E+001, 5.8521892E+002, 5.7701033E+002, 5.4472502E+002, 5.4742907E+002, 3.3933734E+002, 1.4050934E+002, 1.2615173E+002, 1.0005217E+002, 8.5204350E+001
 1.2500333E+002, 1.9999920E+001, 5.9729457E+002, 5.8454508E+002, 5.4504157E+002, 5.3308797E+002, 3.2582646E+002, 1.4142140E+002, 1.2875428E+002, 1.1149180E+002, 8.4468720E+001
 1.3000056E+002, 1.9999943E+001, 5.7545570E+002, 5.6466233E+002, 5.1814385E+002, 5.0262746E+002, 3.2270364E+002, 1.3622711E+002, 1.2584255E+002, 1.0959866E+002, 8.1963112E+001
 1.3500369E+002, 1.9999951E+001, 6.2190055E+002, 5.8757393E+002, 5.3037488E+002, 4.7138929E+002, 3.1567383E+002, 1.4066205E+002, 1.2971356E+002, 1.1356206E+002, 9.1647692E+001
 1.4000772E+002, 1.9999965E+001, 5.8049602E+002, 5.5978394E+002, 5.1342138E+002, 5.0243126E+002, 3.0659889E+002, 1.4490074E+002, 1.2640629E+002, 1.1396334E+002, 7.8371064E+001
 1.4500482E+002, 1.9999984E+001, 5.8060825E+002, 5.6467448E+002, 5.3513844E+002, 4.5855435E+002, 2.8803083E+002, 1.3670073E+002, 1.3213547E+002, 1.1299260E+002, 8.8410351E+001
 1.5000555E+002, 1.9999995E+001, 5.8012769E+002, 5.4784436E+002, 4.8984034E+002, 4.6389097E+002, 2.9211866E+002, 1.3795454E+002, 1.2957924E+002, 1.0699790E+002, 8.0044869E+001
 1.5500764E+002, 2.0000012E+001, 5.5683246E+002, 5.3578856E+002, 4.8604567E+002, 4.5754277E+002, 2.8419890E+002, 1.4078957E+002, 1.2464905E+002, 1.0732149E+002, 8.3970509E+001
 1.6000400E+002, 2.0000028E+001, 5.5797322E+002, 5.4383915E+002, 4.9360296E+002, 4.5197666E+002, 2.8752211E+002, 1.3904628E+002, 1.2749429E+002, 1.1292840E+002, 9.3720803E+001
 1.6500848E+002, 2.0000047E+001, 5.5702942E+002, 5.3475170E+002, 4.8423376E+002, 4.4709078E+002, 2.7582404E+002, 1.3088663E+002, 1.3077760E+002, 1.0939169E+002, 8.5121459E+001
 1.7000871E+002, 2.0000067E+001, 5.2560725E+002, 5.1151429E+002, 4.7069169E+002, 4.3268634E+002, 2.6420909E+002, 1.4043041E+002, 1.2447155E+002, 9.9363723E+001, 8.4792899E+001
 1.7500002E+002, 2.0000079E+001, 5.3122828E+002, 5.1027451E+002, 4.5726509E+002, 4.1613319E+002, 2.5569701E+002, 1.3820450E+002, 1.2785567E+002, 1.0306744E+002, 7.5378450E+001
 1.8000139E+002, 2.0000090E+001, 5.1434623E+002, 5.0387262E+002, 4.6725536E+002, 4.0788066E+002, 2.4970231E+002, 1.3100740E+002, 1.2515883E+002, 1.0702277E+002, 7.3235710E+001
 1.8500172E+002, 2.0000107E+001, 5.1297654E+002, 5.0250402E+002, 4.6991021E+002, 3.9648254E+002, 2.6289784E+002, 1.3762237E+002, 1.2282978E+002, 1.0077357E+002, 7.2637472E+001
 1.9000237E+002, 2.0000128E+001, 4.9688074E+002, 4.7650858E+002, 4.4003543E+002, 3.9703639E+002, 2.3538197E+002, 1.3053021E+002, 1.1115044E+002, 9.7075131E+001, 7.9709543E+001
 1.9500670E+002, 2.0000132E+001, 4.9077157E+002, 4.8058976E+002, 4.4807934E+002, 3.9945525E+002, 2.3711115E+002, 1.2838303E+002, 1.2289579E+002, 1.0159918E+002, 7.8210670E+001
 2.0000468E+002, 2.0000136E+001, 5.0036481E+002, 4.8170680E+002, 4.3360517E+002, 3.9551053E+002, 2.4123877E+002, 1.2909173E+002, 1.1144796E+002, 9.2022849E+001, 8.0194946E+001
 2.0500339E+002, 2.0000139E+001, 4.9554961E+002, 4.8530164E+002, 4.6380446E+002, 3.8637686E+002, 2.2396571E+002, 1.3675415E+002, 1.1272186E+002, 1.0374637E+002, 7.8313363E+001
 2.1000305E+002, 2.0000140E+001, 4.9712307E+002, 4.8553225E+002, 4.3501790E+002, 4.0085264E+002, 2.5404400E+002, 1.2534619E+002, 1.1785164E+002, 9.7624120E+001, 7.1230071E+001
 2.1500867E+002, 2.0000150E+001, 5.0789473E+002, 4.8887467E+002, 4.4929232E+002, 3.9723870E+002, 2.3857485E+002, 1.3209547E+002, 1.1854419E+002, 1.0494908E+002, 7.6887489E+001
 2.2000189E+002, 2.0000142E+001, 5.0022160E+002, 4.9349126E+002, 4.5751418E+002, 3.9575990E+002, 2.4178658E+002, 1.2930145E+002, 1.1767060E+002, 1.0501283E+002, 7.8568681E+001
 2.2500613E+002, 2.0000148E+001, 5.1952237E+002, 5.0913953E+002, 4.6721909E+002, 4.0030510E+002, 2.4578323E+002, 1.3532748E+002, 1.2800970E+002, 1.1015386E+002, 8.0381673E+001
