s,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C
FDS Time,"TC_A1","TC_A2","TC_A3","TC_A4","TC_A5","TC_A6","TC_A7","TC_A8","TC_B1","TC_B2","TC_B3","TC_B4","TC_B5","TC_B6","TC_B7","TC_B8","TC_C1","TC_C2","TC_C3","TC_C4","TC_C5","TC_C6","TC_C7","TC_C8"
 2.2001219E+002, 5.0369449E+002, 6.0529651E+002, 6.0761211E+002, 5.9059875E+002, 5.3638838E+002, 3.0288866E+002, 1.3158443E+002, 7.8252805E+001, 3.9465448E+002, 3.5810290E+002, 3.2106351E+002, 6.5794093E+001, 4.0990822E+001, 3.6112301E+001, 3.0987174E+001, 3.0546304E+001, 2.1198387E+002, 1.8178503E+002, 1.2596463E+002, 5.0102248E+001, 3.1745115E+001, 2.7581331E+001, 2.5298286E+001, 2.2371924E+001
 2.2501228E+002, 4.6360459E+002, 5.4938758E+002, 5.4309608E+002, 5.1825273E+002, 4.8419302E+002, 3.2582824E+002, 1.1256097E+002, 7.3295991E+001, 3.9429474E+002, 3.5170858E+002, 2.9698222E+002, 5.9622667E+001, 4.0360466E+001, 3.4472795E+001, 3.0114862E+001, 2.9071842E+001, 2.1780675E+002, 1.7882668E+002, 1.2531878E+002, 5.7237487E+001, 3.0288868E+001, 2.7694294E+001, 2.5543878E+001, 2.1989955E+001
 2.3001175E+002, 4.5910197E+002, 5.2425688E+002, 5.2033337E+002, 5.1154579E+002, 5.1229364E+002, 3.5308152E+002, 1.1085149E+002, 7.3266880E+001, 3.8467228E+002, 3.5491692E+002, 2.4955329E+002, 6.2409504E+001, 3.9181705E+001, 3.4546878E+001, 2.9607643E+001, 2.8608505E+001, 2.0627697E+002, 1.6967999E+002, 1.1828459E+002, 4.3450489E+001, 2.9684754E+001, 2.7916574E+001, 2.4945290E+001, 2.2283498E+001
 2.3500015E+002, 4.6741575E+002, 5.4418789E+002, 5.4409867E+002, 5.4095191E+002, 5.4718238E+002, 3.5459178E+002, 1.1741405E+002, 7.8379249E+001, 3.9918749E+002, 3.6535669E+002, 3.1247100E+002, 6.6110002E+001, 4.0449238E+001, 3.6365149E+001, 3.1193206E+001, 2.9277204E+001, 2.1666607E+002, 1.6998287E+002, 1.1958117E+002, 4.4825331E+001, 3.0832349E+001, 2.8086472E+001, 2.5125047E+001, 2.2638358E+001
 2.4000557E+002, 4.8767513E+002, 5.6425683E+002, 5.5930871E+002, 5.6158170E+002, 5.9007284E+002, 3.9316023E+002, 1.1552917E+002, 7.9284020E+001, 3.9959112E+002, 3.6231922E+002, 3.3436627E+002, 6.8670558E+001, 4.1784849E+001, 3.4688693E+001, 3.2765391E+001, 3.2190957E+001, 2.2523414E+002, 1.7881823E+002, 1.2963594E+002, 6.2812018E+001, 3.0768815E+001, 2.8950752E+001, 2.6019164E+001, 2.2872999E+001
 2.4500423E+002, 5.3807637E+002, 6.6238253E+002, 6.6011787E+002, 6.0434522E+002, 5.3391421E+002, 3.1183908E+002, 1.3009416E+002, 8.1646541E+001, 4.1959579E+002, 3.7582526E+002, 3.5210033E+002, 7.6387652E+001, 4.1589607E+001, 3.7876016E+001, 3.2703135E+001, 3.0500101E+001, 2.4267260E+002, 1.9060448E+002, 1.3939586E+002, 6.9445718E+001, 3.1424117E+001, 2.9731713E+001, 2.5784341E+001, 2.2549732E+001
 2.5000815E+002, 4.8022123E+002, 5.6810391E+002, 5.5697997E+002, 5.3154927E+002, 5.0343594E+002, 3.2217094E+002, 1.2961672E+002, 8.2641219E+001, 4.0016394E+002, 3.5837037E+002, 2.8694979E+002, 7.1669223E+001, 4.0639878E+001, 3.7265542E+001, 3.0256165E+001, 2.9692015E+001, 2.1430782E+002, 1.9738253E+002, 1.4246514E+002, 6.1116040E+001, 3.0840491E+001, 2.8731675E+001, 2.5162842E+001, 2.2090743E+001
 2.5500331E+002, 4.9066795E+002, 5.5956139E+002, 5.5742055E+002, 5.4317528E+002, 5.7068019E+002, 2.5942102E+002, 1.2503374E+002, 8.3256679E+001, 3.9480033E+002, 3.3359451E+002, 2.5992864E+002, 6.1322452E+001, 3.8298051E+001, 3.6565083E+001, 3.0278244E+001, 2.9427260E+001, 2.1186401E+002, 1.8408097E+002, 1.2628696E+002, 4.7726695E+001, 3.1803832E+001, 2.9231293E+001, 2.5709233E+001, 2.2404934E+001
 2.6001611E+002, 4.8139335E+002, 5.5617888E+002, 5.5416702E+002, 5.4697555E+002, 5.6714221E+002, 2.7590025E+002, 1.0976161E+002, 7.9344742E+001, 3.9042845E+002, 3.5262699E+002, 2.8689972E+002, 6.7556803E+001, 3.9003199E+001, 3.6503404E+001, 3.3511519E+001, 2.9919635E+001, 2.1730581E+002, 1.7807315E+002, 1.2156745E+002, 4.6973602E+001, 3.1813553E+001, 2.9391376E+001, 2.6378857E+001, 2.2647042E+001
 2.6500586E+002, 5.0302996E+002, 6.0436556E+002, 5.9649298E+002, 5.5287008E+002, 4.9889662E+002, 2.9701962E+002, 1.3061170E+002, 8.2509453E+001, 4.2384826E+002, 3.6110106E+002, 3.2511294E+002, 6.8934023E+001, 3.9893491E+001, 3.7999034E+001, 3.2115868E+001, 2.9655369E+001, 2.2422175E+002, 1.7910167E+002, 1.2484187E+002, 5.8309462E+001, 3.1193963E+001, 2.9110470E+001, 2.5739925E+001, 2.2333240E+001
 2.7000171E+002, 4.8210926E+002, 5.6502738E+002, 5.5768256E+002, 5.4755863E+002, 5.4346159E+002, 3.0176591E+002, 1.1206417E+002, 8.5311744E+001, 4.0273072E+002, 3.6741352E+002, 2.8808784E+002, 6.2447294E+001, 4.0388612E+001, 3.6751806E+001, 3.3393248E+001, 3.0002434E+001, 2.2349217E+002, 1.7894311E+002, 1.3167808E+002, 5.8685876E+001, 3.1128101E+001, 2.8693211E+001, 2.5371294E+001, 2.2509189E+001
 2.7500351E+002, 5.2385529E+002, 6.1587439E+002, 6.1431808E+002, 6.1108659E+002, 5.8825607E+002, 2.7060417E+002, 1.3546867E+002, 8.7836263E+001, 4.1184198E+002, 3.5699177E+002, 3.1270087E+002, 6.8895039E+001, 4.0327942E+001, 3.7336460E+001, 3.4188839E+001, 2.9910329E+001, 2.2140650E+002, 1.7984441E+002, 1.2884073E+002, 5.7014336E+001, 3.1789772E+001, 2.8574029E+001, 2.5728261E+001, 2.3376155E+001
 2.8000522E+002, 4.9422184E+002, 5.7343738E+002, 5.6156226E+002, 5.4330786E+002, 5.2701676E+002, 3.0149706E+002, 1.0714433E+002, 8.4530588E+001, 4.0497325E+002, 3.6862934E+002, 3.1656495E+002, 6.5754954E+001, 3.9847898E+001, 3.8177047E+001, 3.2322617E+001, 3.0780090E+001, 2.2933635E+002, 1.7779082E+002, 1.2915693E+002, 5.9945066E+001, 3.1096348E+001, 2.5701765E+001, 2.4389728E+001, 2.3113327E+001
 2.8500784E+002, 4.8973834E+002, 5.7189523E+002, 5.6729600E+002, 5.6364619E+002, 5.6791447E+002, 2.6602326E+002, 1.2589323E+002, 8.3077713E+001, 4.0523184E+002, 3.5212914E+002, 2.7945180E+002, 6.3022609E+001, 4.0243622E+001, 3.7331944E+001, 3.2842144E+001, 3.0655029E+001, 2.0911247E+002, 1.7794504E+002, 1.2579291E+002, 5.0340356E+001, 3.1571741E+001, 2.8792454E+001, 2.5444418E+001, 2.2854763E+001
 2.9001462E+002, 4.9035941E+002, 5.5985312E+002, 5.5059422E+002, 5.4397086E+002, 5.4632450E+002, 2.4814351E+002, 1.0580892E+002, 8.1415048E+001, 3.9783849E+002, 3.6126517E+002, 2.5382216E+002, 6.1003445E+001, 4.0267460E+001, 3.9899317E+001, 3.1510247E+001, 2.9944740E+001, 2.0643462E+002, 1.7602080E+002, 1.2170697E+002, 5.1118109E+001, 3.2233318E+001, 2.9499383E+001, 2.6067728E+001, 2.2922974E+001
 2.9500656E+002, 5.1670221E+002, 5.9660213E+002, 5.9445603E+002, 5.6903724E+002, 5.3595405E+002, 2.6682333E+002, 1.2947828E+002, 8.5152559E+001, 4.0544864E+002, 3.5470365E+002, 2.8325316E+002, 6.2440124E+001, 4.2079548E+001, 3.9082697E+001, 3.2285208E+001, 3.1455892E+001, 2.1264457E+002, 1.7102644E+002, 1.2067158E+002, 5.3081396E+001, 3.3244709E+001, 3.0390864E+001, 2.5362939E+001, 2.2347830E+001
 3.0000742E+002, 4.7144057E+002, 5.5317161E+002, 5.4581922E+002, 5.3242291E+002, 5.2452887E+002, 3.7244045E+002, 1.0567151E+002, 8.3856773E+001, 4.0773401E+002, 3.5280116E+002, 2.9811009E+002, 6.3285409E+001, 4.3060928E+001, 3.8614614E+001, 3.2683725E+001, 2.9960389E+001, 2.1510175E+002, 1.6968244E+002, 1.2339670E+002, 5.1975597E+001, 3.2429363E+001, 2.8415765E+001, 2.5522185E+001, 2.2258691E+001
