s,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C
FDS Time,"TC_A1","TC_A2","TC_A3","TC_A4","TC_A5","TC_A6","TC_A7","TC_A8","TC_B1","TC_B2","TC_B3","TC_B4","TC_B5","TC_B6","TC_B7","TC_B8","TC_C1","TC_C2","TC_C3","TC_C4","TC_C5","TC_C6","TC_C7","TC_C8"
 7.0015343E+001, 3.5174196E+002, 4.1548156E+002, 4.1551592E+002, 4.1834549E+002, 4.2289182E+002, 4.3547220E+002, 2.7600717E+002, 5.7643614E+001, 4.0534917E+002, 3.5164022E+002, 3.0840728E+002, 7.2224557E+001, 3.7177903E+001, 3.3208846E+001, 3.0322960E+001, 2.7407757E+001, 1.7779733E+002, 1.0956992E+002, 8.7097440E+001, 4.8634220E+001, 2.5698595E+001, 2.2981749E+001, 2.2750652E+001, 2.2223791E+001
 7.5000870E+001, 3.7966287E+002, 4.6500443E+002, 4.6462984E+002, 4.6061354E+002, 4.5183661E+002, 4.4703007E+002, 3.6498554E+002, 6.4886237E+001, 4.4403914E+002, 3.6685080E+002, 3.3119887E+002, 7.7732615E+001, 3.7446211E+001, 3.4311854E+001, 2.9870256E+001, 2.7249059E+001, 2.2640922E+002, 1.5983730E+002, 1.1998048E+002, 6.6836672E+001, 2.5569909E+001, 2.2771480E+001, 2.2572861E+001, 2.2194059E+001
 8.0012871E+001, 3.7701383E+002, 4.5163130E+002, 4.5044430E+002, 4.5030674E+002, 4.4297225E+002, 4.8716716E+002, 1.4483434E+002, 6.1359327E+001, 3.8347155E+002, 3.3498736E+002, 3.0504802E+002, 7.6197250E+001, 3.4465829E+001, 3.1303194E+001, 2.8169387E+001, 2.6072576E+001, 2.2126997E+002, 1.7849869E+002, 1.2937254E+002, 6.5641111E+001, 2.5851689E+001, 2.4344541E+001, 2.1843588E+001, 2.1158175E+001
 8.5016197E+001, 3.7932191E+002, 4.4985684E+002, 4.4660767E+002, 4.3723466E+002, 4.2993375E+002, 4.7068715E+002, 1.2577251E+002, 5.8932449E+001, 3.6708362E+002, 3.3896148E+002, 2.7682311E+002, 6.4824201E+001, 3.3523526E+001, 3.0674788E+001, 2.7495454E+001, 2.6085527E+001, 2.1820339E+002, 1.6806474E+002, 1.3006281E+002, 6.6865796E+001, 2.6167256E+001, 2.3579594E+001, 2.1715241E+001, 2.1873851E+001
 9.0010147E+001, 3.9146757E+002, 4.6111046E+002, 4.5961787E+002, 4.6260219E+002, 4.6005884E+002, 4.2933750E+002, 1.1460006E+002, 5.8812946E+001, 3.5790784E+002, 3.3444027E+002, 2.8293808E+002, 6.1308637E+001, 3.4671301E+001, 3.0676729E+001, 2.8036938E+001, 2.6904748E+001, 2.0485288E+002, 1.8377929E+002, 1.3343217E+002, 5.4457116E+001, 3.0524994E+001, 2.4246720E+001, 2.2355849E+001, 2.1779110E+001
 9.5014198E+001, 4.4646623E+002, 5.2907715E+002, 5.3086339E+002, 5.2877962E+002, 4.9658223E+002, 3.0338183E+002, 1.1742961E+002, 5.9899377E+001, 3.6968826E+002, 3.3461449E+002, 3.0761759E+002, 5.9808764E+001, 3.6017270E+001, 3.2189220E+001, 2.8991973E+001, 2.6986569E+001, 2.1105708E+002, 1.7179526E+002, 1.2119590E+002, 5.1465010E+001, 3.1176333E+001, 2.5107081E+001, 2.2957771E+001, 2.2053508E+001
 1.0001218E+002, 4.1922756E+002, 4.9315223E+002, 4.9038962E+002, 4.8875021E+002, 5.1913206E+002, 3.9889914E+002, 1.1756117E+002, 6.3663113E+001, 3.7308703E+002, 3.4938943E+002, 3.0332979E+002, 6.6487578E+001, 3.6620370E+001, 3.3414748E+001, 2.8846559E+001, 2.8167419E+001, 2.2012774E+002, 1.8119201E+002, 1.3881670E+002, 5.5748149E+001, 2.7867723E+001, 2.3445420E+001, 2.2719422E+001, 2.1962918E+001
 1.0500409E+002, 4.1506885E+002, 4.7719624E+002, 4.7432558E+002, 4.7493763E+002, 4.8790535E+002, 4.1285144E+002, 1.1989581E+002, 5.9855023E+001, 3.8266129E+002, 3.3523205E+002, 3.0941862E+002, 5.7553864E+001, 3.7180040E+001, 3.3331275E+001, 2.9824227E+001, 2.9062268E+001, 2.2371601E+002, 1.7801314E+002, 1.2355828E+002, 5.3282997E+001, 2.8534456E+001, 2.4270131E+001, 2.2898360E+001, 2.2149582E+001
 1.1001097E+002, 4.2244623E+002, 4.8298276E+002, 4.8204564E+002, 4.7898154E+002, 4.8110322E+002, 5.1574716E+002, 1.0797530E+002, 6.4110741E+001, 3.6930922E+002, 3.3829604E+002, 2.8514248E+002, 5.5797572E+001, 3.5595486E+001, 3.1331923E+001, 2.8020046E+001, 2.8165915E+001, 2.0593896E+002, 1.8156396E+002, 1.2602783E+002, 4.9794319E+001, 2.8280006E+001, 2.3793059E+001, 2.2305836E+001, 2.1782856E+001
 1.1500138E+002, 4.3599347E+002, 5.0136310E+002, 4.9702522E+002, 4.9733589E+002, 5.3050160E+002, 4.1582118E+002, 1.1778615E+002, 6.4536318E+001, 3.7465422E+002, 3.5755473E+002, 3.0057239E+002, 6.7588452E+001, 3.6915665E+001, 3.2342502E+001, 2.8232470E+001, 2.7346477E+001, 2.1870871E+002, 1.8287726E+002, 1.2330660E+002, 5.3955931E+001, 2.7043379E+001, 2.4052608E+001, 2.2611967E+001, 2.2097281E+001
