s,C,C,C,C,C,C,C,C,C,C
FDS Time,"TC01","TC02","TC03","TC04","TC05","TC06","TC07","TC08","TC09","TC10"
 0.0000000E+000, 2.0000000E+001, 2.0000000E+001, 2.0000000E+001, 2.0000000E+001, 2.0000000E+001, 2.0000000E+001, 2.0000000E+001, 2.0000000E+001, 2.0000000E+001, 2.0000000E+001
 1.0003249E+001, 2.0000102E+001, 3.2528770E+001, 2.6858933E+001, 2.3562545E+001, 2.3489140E+001, 2.1979385E+001, 2.0052721E+001, 2.3258890E+001, 2.1666446E+001, 2.2192449E+001
 2.0004248E+001, 2.0000136E+001, 8.9810492E+001, 8.2503467E+001, 7.6539135E+001, 5.1602881E+001, 3.5273764E+001, 2.4521177E+001, 2.7108805E+001, 2.4637562E+001, 2.5692868E+001
 3.0004242E+001, 2.0000122E+001, 1.7777530E+002, 1.7130997E+002, 1.5962829E+002, 1.2015440E+002, 5.4404309E+001, 2.7032081E+001, 3.3181486E+001, 2.9242387E+001, 2.9071989E+001
 4.0006947E+001, 2.0000092E+001, 2.7070587E+002, 2.6340712E+002, 2.4713002E+002, 1.8562237E+002, 8.7082993E+001, 3.3137722E+001, 4.1076866E+001, 3.6165343E+001, 3.6990468E+001
 5.0001923E+001, 2.0000021E+001, 3.3819571E+002, 3.2817231E+002, 3.0414851E+002, 2.4213590E+002, 1.0649638E+002, 3.4080657E+001, 4.8095145E+001, 4.0901380E+001, 4.0280378E+001
 6.0006805E+001, 1.9999946E+001, 3.6254129E+002, 3.5739592E+002, 3.3224019E+002, 2.7380019E+002, 1.3474868E+002, 4.1938925E+001, 4.7262537E+001, 4.1976323E+001, 4.2492616E+001
 7.0002289E+001, 1.9999878E+001, 3.6891890E+002, 3.7102604E+002, 3.5651650E+002, 2.8700577E+002, 1.6878853E+002, 5.5022010E+001, 5.9475126E+001, 4.7617370E+001, 4.8621640E+001
 8.0007675E+001, 1.9999837E+001, 3.8485887E+002, 3.8934943E+002, 3.7550342E+002, 3.3256878E+002, 1.7799966E+002, 6.3155677E+001, 6.8800320E+001, 5.4357646E+001, 5.1828446E+001
 9.0008842E+001, 1.9999813E+001, 4.1711640E+002, 4.1592118E+002, 3.8691952E+002, 3.2769879E+002, 2.0101100E+002, 7.4204151E+001, 7.1171087E+001, 5.3004121E+001, 5.0858064E+001
 1.0000942E+002, 1.9999755E+001, 4.3225459E+002, 4.3261021E+002, 4.1659740E+002, 3.8344858E+002, 2.2252648E+002, 8.3256364E+001, 7.9056703E+001, 6.2930823E+001, 5.7756900E+001
 1.1000636E+002, 1.9999797E+001, 4.6817136E+002, 4.6402161E+002, 4.4722762E+002, 4.3316561E+002, 2.5452130E+002, 9.1680920E+001, 8.9412929E+001, 7.2220191E+001, 6.7513423E+001
 1.2000257E+002, 1.9999797E+001, 5.2625683E+002, 5.1821540E+002, 4.8629549E+002, 4.1305755E+002, 2.7675277E+002, 1.0321021E+002, 1.0440961E+002, 8.3390940E+001, 7.5132852E+001
 1.3000009E+002, 1.9999821E+001, 5.5533723E+002, 5.5316626E+002, 5.2679654E+002, 5.0980587E+002, 3.0606323E+002, 1.1110350E+002, 1.0802537E+002, 8.7815424E+001, 7.4495528E+001
 1.4000551E+002, 1.9999846E+001, 5.8760144E+002, 5.7794536E+002, 5.4665549E+002, 5.4359535E+002, 3.3640221E+002, 1.3326620E+002, 1.1998930E+002, 1.0315695E+002, 7.6687679E+001
 1.5001021E+002, 1.9999890E+001, 6.5963735E+002, 6.3849435E+002, 5.9553158E+002, 5.5414558E+002, 3.5791044E+002, 1.4270649E+002, 1.3289987E+002, 1.1391156E+002, 9.2178758E+001
 1.6000256E+002, 1.9999932E+001, 7.4756508E+002, 6.9769182E+002, 6.0621401E+002, 5.4751748E+002, 3.6415189E+002, 1.5537729E+002, 1.5660640E+002, 1.3649136E+002, 1.0096678E+002
 1.7000040E+002, 1.9999961E+001, 7.7589975E+002, 7.1950246E+002, 5.9579887E+002, 5.5647168E+002, 3.7469913E+002, 1.7157617E+002, 1.6693734E+002, 1.4077149E+002, 1.0691204E+002
 1.8000540E+002, 1.9999994E+001, 7.6023284E+002, 7.1002164E+002, 6.1691493E+002, 5.5682298E+002, 3.7015519E+002, 1.7109199E+002, 1.6477824E+002, 1.5413066E+002, 1.1222573E+002
 1.9000415E+002, 2.0000022E+001, 7.5076850E+002, 7.0307279E+002, 6.1230240E+002, 5.6991704E+002, 3.8823044E+002, 1.7276842E+002, 1.7167075E+002, 1.5550915E+002, 1.1621301E+002
 2.0000055E+002, 2.0000045E+001, 7.6114126E+002, 7.0333095E+002, 6.0424910E+002, 5.6692610E+002, 3.7394154E+002, 1.8757219E+002, 1.6927490E+002, 1.4929363E+002, 1.1565422E+002
 2.1000911E+002, 2.0000041E+001, 7.3881656E+002, 6.9900757E+002, 6.1546110E+002, 5.6565713E+002, 3.7840754E+002, 1.8843665E+002, 1.8059592E+002, 1.5830750E+002, 1.2026533E+002
 2.2000093E+002, 2.0000047E+001, 6.9282264E+002, 6.6319487E+002, 5.9827280E+002, 5.6433176E+002, 3.6822286E+002, 1.8706671E+002, 1.8097505E+002, 1.5558487E+002, 1.2173282E+002
 2.3000426E+002, 2.0000056E+001, 7.6141405E+002, 7.0047964E+002, 6.0280036E+002, 5.5986130E+002, 3.6620048E+002, 2.0039667E+002, 1.7674694E+002, 1.6086558E+002, 1.1489675E+002
 2.4000943E+002, 2.0000077E+001, 7.5630820E+002, 6.9706970E+002, 5.9728038E+002, 5.5708866E+002, 3.5732545E+002, 2.0474735E+002, 1.7636802E+002, 1.6146033E+002, 1.2629931E+002
 2.5000032E+002, 2.0000070E+001, 6.9737607E+002, 6.6285128E+002, 5.9904536E+002, 5.5806813E+002, 3.6201591E+002, 2.0405526E+002, 1.8537180E+002, 1.6521773E+002, 1.2752570E+002
 2.6000131E+002, 2.0000078E+001, 6.7288466E+002, 6.4305888E+002, 5.6967654E+002, 5.4645635E+002, 3.5992880E+002, 2.0232478E+002, 1.7115682E+002, 1.4909103E+002, 1.1416334E+002
 2.7000290E+002, 2.0000089E+001, 6.8262084E+002, 6.4039223E+002, 5.6991961E+002, 5.2116371E+002, 3.2832498E+002, 2.0955196E+002, 1.6976802E+002, 1.4630034E+002, 1.1449702E+002
 2.8000208E+002, 2.0000080E+001, 6.5248412E+002, 6.1288459E+002, 5.4809386E+002, 5.1016328E+002, 3.2608762E+002, 1.9305208E+002, 1.6447465E+002, 1.4337022E+002, 1.1101946E+002
 2.9000891E+002, 2.0000088E+001, 6.4045798E+002, 5.9794018E+002, 5.3125895E+002, 4.8460477E+002, 3.0842473E+002, 1.9637134E+002, 1.5262386E+002, 1.3534667E+002, 1.0758392E+002
 3.0000967E+002, 2.0000106E+001, 5.8761360E+002, 5.6119991E+002, 5.1012050E+002, 4.7172547E+002, 2.8531903E+002, 2.0267895E+002, 1.5105355E+002, 1.3176641E+002, 9.8901126E+001
 3.1000067E+002, 2.0000111E+001, 5.7278772E+002, 5.5126156E+002, 4.9040571E+002, 4.4731935E+002, 2.7860191E+002, 1.8972698E+002, 1.4723076E+002, 1.2922219E+002, 9.9616951E+001
 3.2000070E+002, 2.0000122E+001, 5.4369984E+002, 5.2475104E+002, 4.6974181E+002, 4.3476686E+002, 2.6992356E+002, 1.6828248E+002, 1.4545736E+002, 1.1689049E+002, 9.4755826E+001
 3.3000320E+002, 2.0000130E+001, 5.2637944E+002, 5.0645043E+002, 4.5325986E+002, 4.1245860E+002, 2.4460678E+002, 1.6818464E+002, 1.2751729E+002, 1.2036391E+002, 8.6784573E+001
 3.4000821E+002, 2.0000143E+001, 5.0170191E+002, 4.8943018E+002, 4.4092436E+002, 4.0490935E+002, 2.3301861E+002, 1.6869864E+002, 1.3046566E+002, 1.1483656E+002, 8.9943663E+001
 3.5000348E+002, 2.0000136E+001, 5.2385908E+002, 5.0046651E+002, 4.5547879E+002, 4.0386334E+002, 2.4667798E+002, 1.7885379E+002, 1.3129076E+002, 1.1465687E+002, 8.5023932E+001
 3.6000235E+002, 2.0000142E+001, 5.1482863E+002, 5.0004047E+002, 4.5380027E+002, 4.0561757E+002, 2.3287989E+002, 1.7151527E+002, 1.3488204E+002, 1.1446734E+002, 8.7257289E+001
 3.7000189E+002, 2.0000150E+001, 5.0866318E+002, 4.8369990E+002, 4.3658604E+002, 3.8110006E+002, 2.3284777E+002, 1.6305272E+002, 1.2717382E+002, 1.1052254E+002, 9.1619195E+001
 3.8000546E+002, 2.0000163E+001, 4.6909215E+002, 4.5436142E+002, 4.1578659E+002, 3.7426518E+002, 2.0735101E+002, 1.6357533E+002, 1.1953839E+002, 1.0499152E+002, 7.6853613E+001
 3.9000104E+002, 2.0000179E+001, 4.4827455E+002, 4.3853487E+002, 3.9795501E+002, 3.4261519E+002, 1.9690340E+002, 1.6917505E+002, 1.1006195E+002, 9.1912150E+001, 8.0671047E+001
 4.0000708E+002, 2.0000191E+001, 4.1856927E+002, 4.0767154E+002, 3.6973022E+002, 3.2188509E+002, 1.8215603E+002, 1.4669266E+002, 1.0251500E+002, 8.5387491E+001, 7.0845179E+001
