s,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,,s
FDS Time,"TC_A1","TC_A2","TC_A3","TC_A4","TC_A5","TC_A6","TC_A7","TC_A8","TC_B1","TC_B2","TC_B3","TC_B4","TC_B5","TC_B6","TC_B7","TC_B8","Device_17","timer"
 0.0000000E+000, 2.0000000E+001, 2.0000000E+001, 2.0000000E+001, 2.0000000E+001, 2.0000000E+001, 2.0000000E+001, 2.0000000E+001, 2.0000000E+001, 2.0000000E+001, 2.0000000E+001, 2.0000000E+001, 2.0000000E+001, 2.0000000E+001, 2.0000000E+001, 2.0000000E+001, 2.0000000E+001, 0.0000000E+000, 0.0000000E+000
 1.1785113E-001, 2.0000000E+001, 2.0000007E+001, 1.9999979E+001, 2.0000014E+001, 1.9999998E+001, 2.0000012E+001, 2.0000001E+001, 1.9999989E+001, 2.0000002E+001, 1.9999988E+001, 1.9999998E+001, 1.9999995E+001, 1.9999997E+001, 1.9999999E+001, 1.9999973E+001, 1.9999997E+001, 0.0000000E+000, 1.1785113E-001
 2.3570226E-001, 2.0000003E+001, 2.0000010E+001, 1.9999970E+001, 2.0000020E+001, 1.9999997E+001, 2.0000018E+001, 2.0000002E+001, 1.9999985E+001, 2.0000002E+001, 1.9999984E+001, 1.9999997E+001, 1.9999993E+001, 1.9999995E+001, 1.9999998E+001, 1.9999961E+001, 1.9999996E+001, 0.0000000E+000, 2.3570226E-001
 3.5355338E-001, 2.0000003E+001, 2.0000013E+001, 1.9999962E+001, 2.0000026E+001, 1.9999996E+001, 2.0000023E+001, 2.0000002E+001, 1.9999980E+001, 2.0000003E+001, 1.9999979E+001, 1.9999996E+001, 1.9999990E+001, 1.9999993E+001, 1.9999998E+001, 1.9999949E+001, 1.9999994E+001, 0.0000000E+000, 3.5355339E-001
 4.7140452E-001, 2.0000005E+001, 2.0000015E+001, 1.9999953E+001, 2.0000032E+001, 1.9999995E+001, 2.0000068E+001, 2.0000003E+001, 1.9999976E+001, 2.0000003E+001, 1.9999974E+001, 1.9999995E+001, 1.9999988E+001, 1.9999991E+001, 1.9999997E+001, 1.9999937E+001, 1.9999993E+001, 0.0000000E+000, 4.7140452E-001
 5.8925563E-001, 2.0000005E+001, 2.0000017E+001, 1.9999945E+001, 2.0000037E+001, 1.9999994E+001, 2.0000072E+001, 2.0000003E+001, 1.9999971E+001, 2.0000004E+001, 1.9999969E+001, 1.9999994E+001, 1.9999986E+001, 1.9999989E+001, 1.9999996E+001, 1.9999926E+001, 1.9999992E+001, 0.0000000E+000, 5.8925565E-001
 7.0710677E-001, 2.0000006E+001, 2.0000019E+001, 1.9999937E+001, 2.0000043E+001, 1.9999994E+001, 2.0000076E+001, 2.0000002E+001, 1.9999967E+001, 2.0000004E+001, 1.9999964E+001, 1.9999993E+001, 1.9999984E+001, 1.9999987E+001, 1.9999994E+001, 1.9999914E+001, 1.9999991E+001, 0.0000000E+000, 7.0710678E-001
 8.2495791E-001, 2.0000006E+001, 2.0000021E+001, 1.9999928E+001, 2.0000048E+001, 1.9999994E+001, 2.0000341E+001, 2.0000001E+001, 1.9999964E+001, 2.0000005E+001, 1.9999959E+001, 1.9999992E+001, 1.9999981E+001, 1.9999985E+001, 1.9999993E+001, 1.9999903E+001, 1.9999990E+001, 0.0000000E+000, 8.2495791E-001
 9.4280905E-001, 2.0000007E+001, 2.0000022E+001, 1.9999919E+001, 2.0000054E+001, 1.9999995E+001, 2.0000347E+001, 2.0000000E+001, 1.9999960E+001, 2.0000005E+001, 1.9999955E+001, 1.9999991E+001, 1.9999979E+001, 1.9999982E+001, 1.9999992E+001, 1.9999891E+001, 1.9999988E+001, 0.0000000E+000, 9.4280904E-001
 1.0066817E+000, 2.0000007E+001, 2.0000022E+001, 1.9999914E+001, 2.0000057E+001, 1.9999996E+001, 2.0000351E+001, 2.0000000E+001, 1.9999958E+001, 2.0000005E+001, 1.9999952E+001, 1.9999991E+001, 1.9999978E+001, 1.9999981E+001, 1.9999991E+001, 1.9999885E+001, 1.9999988E+001, 0.0000000E+000, 1.0066817E+000
 1.0645593E+000, 2.0000008E+001, 2.0000021E+001, 1.9999910E+001, 2.0000060E+001, 1.9999998E+001, 2.0002722E+001, 2.0000036E+001, 2.0000008E+001, 2.0000005E+001, 1.9999950E+001, 1.9999990E+001, 1.9999977E+001, 1.9999980E+001, 1.9999990E+001, 1.9999879E+001, 1.9999987E+001, 0.0000000E+000, 1.0645593E+000
 1.1059518E+000, 2.0000008E+001, 2.0000021E+001, 1.9999906E+001, 2.0000063E+001, 2.0000001E+001, 2.0002750E+001, 2.0000036E+001, 2.0000006E+001, 2.0000006E+001, 1.9999948E+001, 1.9999990E+001, 1.9999976E+001, 1.9999979E+001, 1.9999990E+001, 1.9999875E+001, 1.9999987E+001, 0.0000000E+000, 1.1059518E+000
 1.2027670E+000, 2.0000036E+001, 2.0000687E+001, 2.0000708E+001, 2.0001729E+001, 2.0002029E+001, 2.0029737E+001, 2.0007856E+001, 2.0000713E+001, 2.0000006E+001, 1.9999946E+001, 1.9999989E+001, 1.9999975E+001, 1.9999978E+001, 1.9999989E+001, 1.9999869E+001, 1.9999986E+001, 0.0000000E+000, 1.1728241E+000
 1.3019960E+000, 2.0000260E+001, 2.0002889E+001, 2.0008009E+001, 2.0115172E+001, 2.0171290E+001, 2.0353439E+001, 2.0094258E+001, 2.0007520E+001, 2.0000006E+001, 1.9999942E+001, 1.9999988E+001, 1.9999973E+001, 1.9999976E+001, 1.9999988E+001, 1.9999860E+001, 1.9999986E+001, 0.0000000E+000, 1.2647851E+000
 1.4116139E+000, 2.0079566E+001, 2.0367379E+001, 2.0338458E+001, 2.0734591E+001, 2.0902639E+001, 2.1015965E+001, 2.0341925E+001, 2.0081428E+001, 2.0000006E+001, 1.9999938E+001, 1.9999987E+001, 1.9999971E+001, 1.9999973E+001, 1.9999986E+001, 1.9999850E+001, 1.9999985E+001, 0.0000000E+000, 1.3692086E+000
 1.5149074E+000, 2.0510353E+001, 2.1630228E+001, 2.1710910E+001, 2.1349439E+001, 2.1151909E+001, 2.1028173E+001, 2.0410176E+001, 2.0136607E+001, 2.0000006E+001, 1.9999934E+001, 1.9999984E+001, 1.9999969E+001, 1.9999974E+001, 1.9999988E+001, 1.9999841E+001, 1.9999985E+001, 0.0000000E+000, 1.4746780E+000
 1.6073205E+000, 2.1029197E+001, 2.2192706E+001, 2.2546427E+001, 2.2487419E+001, 2.2352376E+001, 2.1111303E+001, 2.0462341E+001, 2.0149710E+001, 2.0000007E+001, 1.9999930E+001, 1.9999984E+001, 1.9999971E+001, 1.9999975E+001, 1.9999993E+001, 1.9999838E+001, 1.9999993E+001, 0.0000000E+000, 1.5703553E+000
 1.7068776E+000, 2.1276404E+001, 2.2868389E+001, 2.3347070E+001, 2.3805068E+001, 2.4188761E+001, 2.1805652E+001, 2.1029490E+001, 2.0532459E+001, 2.0000007E+001, 1.9999925E+001, 2.0000054E+001, 2.0000313E+001, 2.0000886E+001, 2.0001124E+001, 2.0000448E+001, 2.0000211E+001, 0.0000000E+000, 1.6663404E+000
 1.8041667E+000, 2.1478083E+001, 2.2916316E+001, 2.3378422E+001, 2.4041924E+001, 2.4411104E+001, 2.2148012E+001, 2.1509764E+001, 2.0975804E+001, 2.0000009E+001, 1.9999921E+001, 2.0000298E+001, 2.0001020E+001, 2.0002619E+001, 2.0003286E+001, 2.0001774E+001, 2.0000746E+001, 0.0000000E+000, 1.7636296E+000
 1.9014559E+000, 2.1346852E+001, 2.2840107E+001, 2.3100625E+001, 2.3846036E+001, 2.4267645E+001, 2.3287781E+001, 2.1902341E+001, 2.1174683E+001, 2.0000024E+001, 1.9999939E+001, 2.0000551E+001, 2.0001318E+001, 2.0002932E+001, 2.0003595E+001, 2.0002110E+001, 2.0001040E+001, 0.0000000E+000, 1.8609188E+000
 2.0013726E+000, 2.1281779E+001, 2.3183104E+001, 2.3379658E+001, 2.4036527E+001, 2.4421661E+001, 2.3846907E+001, 2.2327427E+001, 2.1475923E+001, 2.0000130E+001, 2.0000121E+001, 2.0001908E+001, 2.0010856E+001, 2.0018605E+001, 2.0016036E+001, 2.0007780E+001, 2.0002983E+001, 0.0000000E+000, 1.9595217E+000
 2.1071968E+000, 2.1264283E+001, 2.3946840E+001, 2.4349032E+001, 2.5108294E+001, 2.5236538E+001, 2.4040473E+001, 2.2457610E+001, 2.1563671E+001, 2.0000323E+001, 2.0000418E+001, 2.0003991E+001, 2.0015792E+001, 2.0025330E+001, 2.0021777E+001, 2.0011785E+001, 2.0005915E+001, 0.0000000E+000, 2.0623433E+000
 2.2072430E+000, 2.1076870E+001, 2.4627349E+001, 2.5183897E+001, 2.6289267E+001, 2.6499217E+001, 2.4400033E+001, 2.2894650E+001, 2.1921354E+001, 2.0000927E+001, 2.0001440E+001, 2.0005744E+001, 2.0017026E+001, 2.0025796E+001, 2.0023454E+001, 2.0014843E+001, 2.0008756E+001, 0.0000000E+000, 2.1634728E+000
 2.3072891E+000, 2.0779089E+001, 2.5073957E+001, 2.5773604E+001, 2.7174503E+001, 2.7397361E+001, 2.5021473E+001, 2.3225744E+001, 2.2117825E+001, 2.0002180E+001, 2.0003284E+001, 2.0005858E+001, 2.0016625E+001, 2.0025234E+001, 2.0023234E+001, 2.0015171E+001, 2.0009256E+001, 0.0000000E+000, 2.2635189E+000
 2.4073350E+000, 3.2485757E+001, 2.5157829E+001, 2.6102702E+001, 2.7776468E+001, 2.8110460E+001, 2.5948793E+001, 2.4086016E+001, 2.2820860E+001, 2.0003115E+001, 2.0004864E+001, 2.0006010E+001, 2.0017445E+001, 2.0026700E+001, 2.0024255E+001, 2.0015588E+001, 2.0009430E+001, 0.0000000E+000, 2.3635649E+000
 2.5073812E+000, 1.4659273E+002, 2.6200158E+001, 2.6785663E+001, 2.8484928E+001, 2.8587533E+001, 2.6817250E+001, 2.4660268E+001, 2.3237828E+001, 2.0003237E+001, 2.0005071E+001, 2.0006909E+001, 2.0018644E+001, 2.0028198E+001, 2.0025698E+001, 2.0016992E+001, 2.0010710E+001, 0.0000000E+000, 2.4636110E+000
 2.6074271E+000, 1.2542236E+002, 3.1292346E+001, 2.6926200E+001, 2.8771990E+001, 2.8997279E+001, 2.7475711E+001, 2.5388886E+001, 2.3877740E+001, 2.0003392E+001, 2.0005301E+001, 2.0008563E+001, 2.0023907E+001, 2.0036109E+001, 2.0032269E+001, 2.0020954E+001, 2.0012580E+001, 0.0000000E+000, 2.5636571E+000
 2.7074733E+000, 1.3954103E+002, 3.9637053E+001, 2.7033346E+001, 2.8448588E+001, 2.8812792E+001, 2.7865514E+001, 2.5719411E+001, 2.4155832E+001, 2.0004043E+001, 2.0006218E+001, 2.0009810E+001, 2.0025827E+001, 2.0038767E+001, 2.0034799E+001, 2.0023191E+001, 2.0014548E+001, 0.0000000E+000, 2.6637031E+000
 2.8075194E+000, 1.6242059E+002, 5.6628094E+001, 2.8210861E+001, 2.8031488E+001, 2.8498005E+001, 2.8114288E+001, 2.6046982E+001, 2.4509083E+001, 2.0004950E+001, 2.0007776E+001, 2.0011455E+001, 2.0031767E+001, 2.0047244E+001, 2.0041398E+001, 2.0027087E+001, 2.0016480E+001, 0.0000000E+000, 2.7637492E+000
 2.9075654E+000, 1.9354922E+002, 9.6730540E+001, 3.5491828E+001, 2.7181551E+001, 2.7719390E+001, 2.7786268E+001, 2.5802652E+001, 2.4376876E+001, 2.0005906E+001, 2.0009181E+001, 2.0012670E+001, 2.0034020E+001, 2.0050594E+001, 2.0044494E+001, 2.0029746E+001, 2.0018947E+001, 0.0000000E+000, 2.8637953E+000
 3.0076115E+000, 1.3739561E+002, 1.5352599E+002, 6.7931149E+001, 2.6644585E+001, 2.7294543E+001, 2.7517331E+001, 2.5633854E+001, 2.4236281E+001, 2.0006891E+001, 2.0010846E+001, 2.0013776E+001, 2.0037084E+001, 2.0055543E+001, 2.0048753E+001, 2.0032570E+001, 2.0020628E+001, 0.0000000E+000, 2.9638413E+000
 3.1089082E+000, 1.5079915E+002, 1.8114645E+002, 1.4797091E+002, 2.6557495E+001, 2.6929361E+001, 2.6874057E+001, 2.5097058E+001, 2.3834973E+001, 2.0007984E+001, 2.0012460E+001, 2.0014632E+001, 2.0040525E+001, 2.0060678E+001, 2.0052627E+001, 2.0035319E+001, 2.0023354E+001, 0.0000000E+000, 3.0640437E+000
 3.2052026E+000, 1.6214105E+002, 1.7900259E+002, 2.0013703E+002, 2.9621354E+001, 2.6859800E+001, 2.6608566E+001, 2.4861079E+001, 2.3641510E+001, 2.0008667E+001, 2.0013607E+001, 2.0015132E+001, 2.0042900E+001, 2.0064265E+001, 2.0055083E+001, 2.0036727E+001, 2.0024335E+001, 0.0000000E+000, 3.1639335E+000
 3.3066106E+000, 1.2891668E+002, 1.7623652E+002, 1.8014066E+002, 4.6161133E+001, 2.8146112E+001, 2.6615683E+001, 2.4772606E+001, 2.3536211E+001, 2.0009139E+001, 2.0014315E+001, 2.0015254E+001, 2.0043801E+001, 2.0065594E+001, 2.0055912E+001, 2.0037292E+001, 2.0024927E+001, 0.0000000E+000, 3.2633248E+000
 3.4100640E+000, 1.2927906E+002, 1.7743895E+002, 1.7401806E+002, 8.7191517E+001, 2.9080679E+001, 2.6677144E+001, 2.4843800E+001, 2.3626387E+001, 2.0009323E+001, 2.0014618E+001, 2.0015054E+001, 2.0042780E+001, 2.0064106E+001, 2.0054662E+001, 2.0036698E+001, 2.0024849E+001, 0.0000000E+000, 3.3635715E+000
 3.5048962E+000, 1.4584336E+002, 1.7827102E+002, 1.9116236E+002, 1.5057049E+002, 3.1357854E+001, 2.7619791E+001, 2.5559301E+001, 2.4200223E+001, 2.0009174E+001, 2.0014396E+001, 2.0015092E+001, 2.0046342E+001, 2.0070012E+001, 2.0058261E+001, 2.0037668E+001, 2.0024540E+001, 0.0000000E+000, 3.4642538E+000
 3.6132760E+000, 1.6104055E+002, 1.7864779E+002, 2.0231142E+002, 2.0016876E+002, 3.4863933E+001, 2.8541754E+001, 2.6366884E+001, 2.4926569E+001, 2.0008735E+001, 2.0013699E+001, 2.0015448E+001, 2.0048189E+001, 2.0072734E+001, 2.0059915E+001, 2.0038454E+001, 2.0025196E+001, 0.0000000E+000, 3.5658599E+000
 3.7081084E+000, 1.9931765E+002, 1.7675578E+002, 1.9730191E+002, 2.0203069E+002, 3.9458037E+001, 3.0310958E+001, 2.7688685E+001, 2.6006737E+001, 2.0008183E+001, 2.0012899E+001, 2.0017069E+001, 2.0057375E+001, 2.0083323E+001, 2.0065407E+001, 2.0040938E+001, 2.0026469E+001, 0.0000000E+000, 3.6674660E+000
 3.8029408E+000, 1.9920949E+002, 1.7000241E+002, 1.8727506E+002, 1.8121631E+002, 4.3971046E+001, 3.1898776E+001, 2.8966695E+001, 2.7167513E+001, 2.0008046E+001, 2.0012664E+001, 2.0018186E+001, 2.0060763E+001, 2.0087312E+001, 2.0068038E+001, 2.0042997E+001, 2.0028413E+001, 0.0000000E+000, 3.7622983E+000
 3.9113207E+000, 1.7534695E+002, 1.7170569E+002, 1.8097113E+002, 1.6927552E+002, 4.6015519E+001, 3.2727962E+001, 2.9606260E+001, 2.7833667E+001, 2.0008652E+001, 2.0013568E+001, 2.0019871E+001, 2.0062050E+001, 2.0088383E+001, 2.0069811E+001, 2.0045914E+001, 2.0032054E+001, 0.0000000E+000, 3.8639044E+000
 4.0061531E+000, 3.0409944E+002, 2.0711936E+002, 1.8622596E+002, 1.6919880E+002, 4.5725911E+001, 3.3750540E+001, 3.0273078E+001, 2.8271645E+001, 2.0009317E+001, 2.0014704E+001, 2.0021456E+001, 2.0064675E+001, 2.0091827E+001, 2.0073186E+001, 2.0049113E+001, 2.0034614E+001, 0.0000000E+000, 3.9655105E+000
 4.1009851E+000, 2.3909359E+002, 2.8314963E+002, 2.1281211E+002, 1.7105907E+002, 4.3862186E+001, 3.4266986E+001, 3.0822151E+001, 2.8592370E+001, 2.0010596E+001, 2.0016519E+001, 2.0022456E+001, 2.0062140E+001, 2.0089034E+001, 2.0073074E+001, 2.0051410E+001, 2.0038683E+001, 0.0000000E+000, 4.0603428E+000
 4.2093649E+000, 2.3590228E+002, 3.3821867E+002, 2.8088893E+002, 1.7057674E+002, 4.2410623E+001, 3.4418168E+001, 3.1117105E+001, 2.8643339E+001, 2.0011724E+001, 2.0018485E+001, 2.0023158E+001, 2.0061501E+001, 2.0089303E+001, 2.0074495E+001, 2.0052897E+001, 2.0039648E+001, 0.0000000E+000, 4.1619489E+000
 4.3109713E+000, 3.2396145E+002, 3.5010474E+002, 3.4323015E+002, 1.7162373E+002, 4.1809911E+001, 3.4069046E+001, 3.1236810E+001, 2.8704201E+001, 2.0013003E+001, 2.0020233E+001, 2.0023342E+001, 2.0060208E+001, 2.0088011E+001, 2.0074719E+001, 2.0055562E+001, 2.0046038E+001, 0.0000000E+000, 4.2664580E+000
