 Z,TEMPERATURE
 m,C
 0.00000E+00, 0.56644E+02
 0.10000E+00, 0.56666E+02
 0.20000E+00, 0.59230E+02
 0.30000E+00, 0.63054E+02
 0.40000E+00, 0.65918E+02
 0.50000E+00, 0.69326E+02
 0.60000E+00, 0.73663E+02
 0.70000E+00, 0.80168E+02
 0.80000E+00, 0.89577E+02
 0.90000E+00, 0.10257E+03
 0.10000E+01, 0.12582E+03
 0.11000E+01, 0.16377E+03
 0.12000E+01, 0.20808E+03
 0.13000E+01, 0.26516E+03
 0.14000E+01, 0.33886E+03
 0.15000E+01, 0.41073E+03
 0.16000E+01, 0.47241E+03
 0.17000E+01, 0.53418E+03
 0.18000E+01, 0.59391E+03
 0.19000E+01, 0.63040E+03
 0.20000E+01, 0.65074E+03
 0.21000E+01, 0.66868E+03
 0.22000E+01, 0.68202E+03
 0.23000E+01, 0.69453E+03
 0.24000E+01, 0.70507E+03
 0.25000E+01, 0.71288E+03
 0.26000E+01, 0.73060E+03
 0.27000E+01, 0.78438E+03
 0.28000E+01, 0.82457E+03
