 Z,TEMPERATURE
 m,C
 0.00000E+00, 0.62504E+02
 0.10000E+00, 0.62758E+02
 0.20000E+00, 0.64711E+02
 0.30000E+00, 0.67795E+02
 0.40000E+00, 0.70363E+02
 0.50000E+00, 0.73033E+02
 0.60000E+00, 0.77021E+02
 0.70000E+00, 0.83138E+02
 0.80000E+00, 0.90900E+02
 0.90000E+00, 0.10089E+03
 0.10000E+01, 0.11731E+03
 0.11000E+01, 0.14732E+03
 0.12000E+01, 0.19287E+03
 0.13000E+01, 0.24901E+03
 0.14000E+01, 0.31507E+03
 0.15000E+01, 0.39373E+03
 0.16000E+01, 0.46788E+03
 0.17000E+01, 0.54289E+03
 0.18000E+01, 0.62419E+03
 0.19000E+01, 0.67743E+03
 0.20000E+01, 0.69876E+03
 0.21000E+01, 0.71088E+03
 0.22000E+01, 0.72403E+03
 0.23000E+01, 0.73532E+03
 0.24000E+01, 0.74218E+03
 0.25000E+01, 0.74823E+03
 0.26000E+01, 0.75970E+03
 0.27000E+01, 0.82902E+03
 0.28000E+01, 0.89043E+03
