s,s,s,s,C,C,C,C,C,C,C,C
FDS Time,"TIMER","open stair door","open hall door","TC03","TC04","TC05","TC06","TC07","TC08","TC09","TC010"
 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 2.0000000E+001, 2.0000000E+001, 2.0000000E+001, 2.0000000E+001, 2.0000000E+001, 2.0000000E+001, 2.0000000E+001, 2.0000000E+001
 5.0050344E+000, 3.2686613E+000, 3.2686613E+000, 3.2686613E+000, 2.0453929E+001, 2.0543123E+001, 2.0666156E+001, 2.0711757E+001, 2.0815077E+001, 2.1582982E+001, 2.2487882E+001, 2.1008203E+001
 1.0004001E+001, 7.6910087E+000, 7.6910087E+000, 7.6910087E+000, 4.7293633E+001, 4.4849189E+001, 4.3537665E+001, 3.7645051E+001, 3.6244023E+001, 3.4122906E+001, 2.9066152E+001, 2.2813858E+001
 1.5005442E+001, 1.2563346E+001, 1.2563346E+001, 1.2563346E+001, 1.4692907E+002, 1.3549928E+002, 1.2378502E+002, 8.4530158E+001, 5.5015598E+001, 3.4510195E+001, 3.1838448E+001, 2.6803521E+001
 2.0006744E+001, 1.7511971E+001, 1.7511971E+001, 1.7511971E+001, 1.8150319E+002, 1.8137725E+002, 1.8228548E+002, 1.5978777E+002, 5.8669988E+001, 3.8625303E+001, 3.4649816E+001, 2.8569458E+001
 2.5002100E+001, 2.2530436E+001, 2.2530436E+001, 2.2530436E+001, 2.7764585E+002, 2.6640142E+002, 2.6127196E+002, 2.4541359E+002, 1.1057876E+002, 5.8264516E+001, 4.7218598E+001, 3.9152390E+001
 3.0003725E+001, 2.7537620E+001, 2.7537620E+001, 2.7537620E+001, 3.6790842E+002, 3.5635582E+002, 3.5438775E+002, 3.3299827E+002, 1.2061793E+002, 6.2488212E+001, 4.8928803E+001, 3.9477307E+001
 3.5009308E+001, 3.2480392E+001, 3.2480392E+001, 3.2480392E+001, 4.3231667E+002, 4.2457095E+002, 4.1479557E+002, 3.4850478E+002, 1.4064492E+002, 6.9735487E+001, 5.5165773E+001, 4.5366516E+001
 4.0005699E+001, 3.7503771E+001, 3.7503771E+001, 3.7503771E+001, 4.6728331E+002, 4.5165054E+002, 4.3639767E+002, 4.1768679E+002, 1.9761539E+002, 7.9022605E+001, 6.3426411E+001, 5.2679474E+001
 4.5000694E+001, 4.2504688E+001, 4.2504688E+001, 4.2504688E+001, 4.9754969E+002, 4.9004682E+002, 4.8450806E+002, 4.2424397E+002, 2.1543939E+002, 8.6510020E+001, 7.0573854E+001, 5.7222253E+001
 5.0006573E+001, 4.7496961E+001, 4.7496961E+001, 4.7496961E+001, 5.5011662E+002, 5.3957398E+002, 5.3069815E+002, 5.1912906E+002, 3.0727787E+002, 9.8140129E+001, 7.6350691E+001, 6.4662162E+001
 5.5010120E+001, 5.2477585E+001, 5.2477585E+001, 5.2477585E+001, 6.8446192E+002, 6.6410361E+002, 6.5382766E+002, 5.5621092E+002, 2.9008455E+002, 1.2110707E+002, 9.6157632E+001, 7.7344066E+001
 6.0011086E+001, 5.7516146E+001, 5.7516146E+001, 5.7516146E+001, 7.2235941E+002, 7.0582114E+002, 6.8302980E+002, 5.3184342E+002, 3.0701671E+002, 1.3886445E+002, 1.1150042E+002, 8.8336293E+001
 6.5001793E+001, 6.2499160E+001, 6.2499160E+001, 6.2499160E+001, 7.5512399E+002, 7.2052110E+002, 7.0066209E+002, 5.3688621E+002, 3.1252394E+002, 1.4336108E+002, 1.1014811E+002, 9.7804814E+001
 7.0007164E+001, 6.7521091E+001, 6.7521091E+001, 6.7521091E+001, 7.5869549E+002, 7.4467004E+002, 7.3918254E+002, 5.6149913E+002, 3.4890723E+002, 1.4785468E+002, 1.1814039E+002, 1.0459248E+002
 7.5004448E+001, 7.2524270E+001, 7.2524270E+001, 7.2524270E+001, 7.6128709E+002, 7.3294177E+002, 7.1706296E+002, 6.2772084E+002, 3.5264295E+002, 1.6401747E+002, 1.2615940E+002, 1.0552818E+002
 8.0006447E+001, 7.7512936E+001, 7.7512936E+001, 7.7512936E+001, 7.6225183E+002, 7.2328361E+002, 7.0962671E+002, 5.7461063E+002, 3.5645832E+002, 1.6776127E+002, 1.3793782E+002, 9.8624294E+001
 8.5010025E+001, 8.2513093E+001, 8.2513093E+001, 8.2513093E+001, 6.6598103E+002, 6.4896106E+002, 6.3952774E+002, 5.8761430E+002, 4.0042680E+002, 1.7059063E+002, 1.3767611E+002, 9.8518358E+001
 9.0003471E+001, 8.7548967E+001, 8.7548967E+001, 8.7548967E+001, 7.6757623E+002, 7.4508209E+002, 7.2087611E+002, 5.7902497E+002, 3.5749894E+002, 1.8000913E+002, 1.4737043E+002, 1.0404279E+002
 9.5008774E+001, 9.2528495E+001, 9.2528495E+001, 9.2528495E+001, 7.4240673E+002, 7.1955767E+002, 6.8260462E+002, 5.5513882E+002, 3.9478791E+002, 1.6973559E+002, 1.3556174E+002, 1.0493735E+002
 1.0000951E+002, 9.7510552E+001, 9.7510552E+001, 9.7510552E+001, 6.8734839E+002, 6.7685809E+002, 6.4298304E+002, 5.6909487E+002, 3.9356924E+002, 1.6990396E+002, 1.4030084E+002, 1.1230299E+002
 1.0500989E+002, 1.0253527E+002, 1.0253527E+002, 1.0253527E+002, 7.2383809E+002, 7.0215029E+002, 6.5699453E+002, 5.7122776E+002, 3.9634232E+002, 1.6515252E+002, 1.3042689E+002, 1.1428394E+002
 1.1000862E+002, 1.0749567E+002, 1.0749567E+002, 1.0749567E+002, 6.9321912E+002, 6.7861675E+002, 6.3743170E+002, 5.4455144E+002, 3.4868337E+002, 1.6576325E+002, 1.4315021E+002, 1.1005983E+002
 1.1500531E+002, 1.1247689E+002, 1.1247689E+002, 1.1247689E+002, 7.4294126E+002, 7.1463429E+002, 6.3302421E+002, 5.3661705E+002, 3.4936695E+002, 1.8552727E+002, 1.3873270E+002, 1.1040305E+002
 1.2000311E+002, 1.1750445E+002, 1.1750445E+002, 1.1750445E+002, 7.7288978E+002, 7.3963564E+002, 6.8033421E+002, 5.3714184E+002, 3.5351949E+002, 1.9227082E+002, 1.5117494E+002, 1.1816308E+002
 1.2500180E+002, 1.2248683E+002, 1.2248683E+002, 1.2248683E+002, 7.6276939E+002, 7.3347446E+002, 7.0946204E+002, 6.0618791E+002, 3.8672910E+002, 2.0043851E+002, 1.5671612E+002, 1.1454309E+002
 1.3000272E+002, 1.2753746E+002, 1.2753746E+002, 1.2753746E+002, 8.1357393E+002, 7.9505201E+002, 7.5947801E+002, 6.2564170E+002, 3.8613167E+002, 2.1457226E+002, 1.5839400E+002, 1.1674089E+002
 1.3500478E+002, 1.3247534E+002, 1.3247534E+002, 1.3247534E+002, 7.8866606E+002, 7.6099560E+002, 7.0144600E+002, 6.1954423E+002, 3.7614516E+002, 2.4164701E+002, 1.7259235E+002, 1.1997531E+002
 1.4000307E+002, 1.3751939E+002, 1.3751939E+002, 1.3751939E+002, 8.1943922E+002, 7.9250352E+002, 7.6470432E+002, 7.0760527E+002, 4.1101734E+002, 2.5618972E+002, 1.6796771E+002, 1.2598427E+002
 1.4500186E+002, 1.4249123E+002, 1.4249123E+002, 1.4249123E+002, 8.2197964E+002, 7.9468276E+002, 7.7493048E+002, 6.4022879E+002, 3.8882169E+002, 2.3258170E+002, 1.7354993E+002, 1.3675354E+002
 1.5000742E+002, 1.4748642E+002, 1.4748642E+002, 1.4748642E+002, 8.0516944E+002, 7.7433454E+002, 7.6344864E+002, 6.2637855E+002, 3.8567560E+002, 2.3806877E+002, 1.8903858E+002, 1.4775355E+002
