 Z,TEMPERATURE
 m,C
 0.00000E+00, 0.89585E+02
 0.10000E+00, 0.87983E+02
 0.20000E+00, 0.86148E+02
 0.30000E+00, 0.86900E+02
 0.40000E+00, 0.89947E+02
 0.50000E+00, 0.94878E+02
 0.60000E+00, 0.10242E+03
 0.70000E+00, 0.11392E+03
 0.80000E+00, 0.12999E+03
 0.90000E+00, 0.15198E+03
 0.10000E+01, 0.18487E+03
 0.11000E+01, 0.22690E+03
 0.12000E+01, 0.27215E+03
 0.13000E+01, 0.32189E+03
 0.14000E+01, 0.39246E+03
 0.15000E+01, 0.49616E+03
 0.16000E+01, 0.60476E+03
 0.17000E+01, 0.70423E+03
 0.18000E+01, 0.78027E+03
 0.19000E+01, 0.81302E+03
 0.20000E+01, 0.82432E+03
 0.21000E+01, 0.82941E+03
 0.22000E+01, 0.83325E+03
 0.23000E+01, 0.83751E+03
 0.24000E+01, 0.84167E+03
 0.25000E+01, 0.84753E+03
 0.26000E+01, 0.85836E+03
 0.27000E+01, 0.90205E+03
 0.28000E+01, 0.93791E+03
