 Z,TEMPERATURE
 m,C
 0.00000E+00, 0.44698E+02
 0.10000E+00, 0.45151E+02
 0.20000E+00, 0.46978E+02
 0.30000E+00, 0.48822E+02
 0.40000E+00, 0.50292E+02
 0.50000E+00, 0.52880E+02
 0.60000E+00, 0.56128E+02
 0.70000E+00, 0.60521E+02
 0.80000E+00, 0.67006E+02
 0.90000E+00, 0.76511E+02
 0.10000E+01, 0.91317E+02
 0.11000E+01, 0.11855E+03
 0.12000E+01, 0.16550E+03
 0.13000E+01, 0.23570E+03
 0.14000E+01, 0.32472E+03
 0.15000E+01, 0.41170E+03
 0.16000E+01, 0.48906E+03
 0.17000E+01, 0.54821E+03
 0.18000E+01, 0.58179E+03
 0.19000E+01, 0.59828E+03
 0.20000E+01, 0.60658E+03
 0.21000E+01, 0.61564E+03
 0.22000E+01, 0.62493E+03
 0.23000E+01, 0.63417E+03
 0.24000E+01, 0.64250E+03
 0.25000E+01, 0.64526E+03
 0.26000E+01, 0.65328E+03
 0.27000E+01, 0.70509E+03
 0.28000E+01, 0.74813E+03
