s,C,C,C,C,C,C,C,C,C,C
FDS Time,"TC01","TC02","TC03","TC04","TC05","TC06","TC07","TC08","TC09","TC10"
 0.0000000E+000, 2.0000000E+001, 2.0000000E+001, 2.0000000E+001, 2.0000000E+001, 2.0000000E+001, 2.0000000E+001, 2.0000000E+001, 2.0000000E+001, 2.0000000E+001, 2.0000000E+001
 5.0148129E+000, 2.0000068E+001, 2.0250956E+001, 2.0251173E+001, 2.0468064E+001, 2.0493168E+001, 2.0518886E+001, 2.0000750E+001, 2.1683549E+001, 2.0778410E+001, 2.1004422E+001
 1.0008112E+001, 2.0000117E+001, 3.8421584E+001, 2.9572901E+001, 2.4943895E+001, 2.5150119E+001, 2.2635062E+001, 2.0078296E+001, 2.4000138E+001, 2.2089184E+001, 2.2753949E+001
 1.5004569E+001, 2.0000134E+001, 6.7342696E+001, 6.6486344E+001, 6.1259031E+001, 5.5002930E+001, 4.6797495E+001, 2.9953212E+001, 2.6325865E+001, 2.3896869E+001, 2.5097716E+001
 2.0001371E+001, 2.0000139E+001, 1.0988799E+002, 1.0398363E+002, 9.3473607E+001, 6.2458159E+001, 2.9821880E+001, 2.0504463E+001, 2.7898772E+001, 2.5399017E+001, 2.6325106E+001
 2.5007284E+001, 2.0000132E+001, 1.5311719E+002, 1.5120644E+002, 1.4776141E+002, 1.1293933E+002, 4.8071163E+001, 2.4147797E+001, 2.9783697E+001, 2.7254298E+001, 2.8004999E+001
 3.0003458E+001, 2.0000122E+001, 2.0836293E+002, 1.9495833E+002, 1.8490364E+002, 1.4594231E+002, 6.7511751E+001, 2.9950981E+001, 3.7322232E+001, 3.1205233E+001, 3.0421864E+001
 3.5009373E+001, 2.0000101E+001, 2.5846315E+002, 2.4417237E+002, 2.3355634E+002, 1.6360450E+002, 7.1034737E+001, 3.0800335E+001, 4.0715013E+001, 3.1923497E+001, 3.4863486E+001
 4.0005547E+001, 2.0000083E+001, 2.8397526E+002, 2.8020133E+002, 2.6434557E+002, 1.8993694E+002, 9.2260249E+001, 3.0405416E+001, 4.4730368E+001, 3.6065288E+001, 3.4998480E+001
 4.5004063E+001, 2.0000046E+001, 2.9693290E+002, 2.7388476E+002, 2.5188819E+002, 2.0819647E+002, 1.1304030E+002, 3.1201411E+001, 4.6412611E+001, 3.9841422E+001, 3.8854362E+001
 5.0003540E+001, 2.0000008E+001, 3.2540643E+002, 3.1034806E+002, 2.9441123E+002, 2.3490452E+002, 1.1668093E+002, 3.6251846E+001, 4.9177157E+001, 4.1387026E+001, 3.8476130E+001
 5.5001720E+001, 1.9999980E+001, 3.4086501E+002, 3.2789820E+002, 3.1963651E+002, 2.4873832E+002, 1.1363017E+002, 4.0247856E+001, 5.0639746E+001, 4.2960968E+001, 4.2364928E+001
 6.0002361E+001, 1.9999951E+001, 3.5626340E+002, 3.5026226E+002, 3.3718876E+002, 2.6205801E+002, 1.4755659E+002, 4.3066009E+001, 5.3596265E+001, 4.2312273E+001, 4.0668783E+001
 6.5006264E+001, 1.9999908E+001, 3.7506480E+002, 3.7723687E+002, 3.5520919E+002, 2.8919778E+002, 1.5548868E+002, 4.9863579E+001, 5.0315516E+001, 4.4465587E+001, 4.6612948E+001
 7.0003044E+001, 1.9999855E+001, 3.7574212E+002, 3.7709348E+002, 3.6364837E+002, 3.2093009E+002, 1.6233179E+002, 5.9925587E+001, 6.2776871E+001, 5.0203697E+001, 4.9434596E+001
 7.5005386E+001, 1.9999865E+001, 3.8195131E+002, 3.9097634E+002, 3.8044177E+002, 3.4729903E+002, 1.9052832E+002, 6.5233555E+001, 6.9125426E+001, 5.1907416E+001, 4.9657528E+001
 8.0005539E+001, 1.9999832E+001, 4.1069345E+002, 4.0846111E+002, 3.8777179E+002, 3.0040462E+002, 2.0339644E+002, 7.9557446E+001, 6.4191225E+001, 5.2095558E+001, 4.9630534E+001
 8.5002831E+001, 1.9999823E+001, 4.4374479E+002, 4.3688630E+002, 3.9695996E+002, 3.3398406E+002, 1.9158861E+002, 6.7552283E+001, 7.0115850E+001, 5.2881733E+001, 5.2308484E+001
 9.0001862E+001, 1.9999782E+001, 4.4729806E+002, 4.4563969E+002, 4.0961228E+002, 3.8035871E+002, 2.1440581E+002, 8.0870029E+001, 7.6273408E+001, 5.9981066E+001, 5.6451594E+001
 9.5009567E+001, 1.9999778E+001, 4.6096574E+002, 4.6165565E+002, 4.4349659E+002, 4.0170766E+002, 2.2322412E+002, 8.8764553E+001, 8.2200697E+001, 6.2823955E+001, 5.6243046E+001
 1.0000191E+002, 1.9999767E+001, 4.5252868E+002, 4.4433557E+002, 4.2886001E+002, 3.8373065E+002, 2.3021661E+002, 8.8683599E+001, 7.8135763E+001, 6.4397643E+001, 5.7321791E+001
 1.0500349E+002, 1.9999742E+001, 4.6364200E+002, 4.6478178E+002, 4.3472556E+002, 3.8151191E+002, 2.1984973E+002, 8.9404573E+001, 7.9640826E+001, 5.9792694E+001, 5.7876054E+001
 1.1000289E+002, 1.9999741E+001, 4.3971749E+002, 4.4829532E+002, 4.3140301E+002, 3.9739287E+002, 2.2647680E+002, 9.0278506E+001, 8.1958090E+001, 6.4648218E+001, 6.2976718E+001
 1.1500586E+002, 1.9999748E+001, 4.4080817E+002, 4.4697287E+002, 4.2794774E+002, 4.0371381E+002, 2.4148308E+002, 8.9582803E+001, 8.7974145E+001, 7.1833146E+001, 6.3508273E+001
 1.2000219E+002, 1.9999748E+001, 4.4450435E+002, 4.5146663E+002, 4.3991777E+002, 4.3986139E+002, 2.3967787E+002, 9.1559540E+001, 8.9095801E+001, 7.0318260E+001, 5.5586110E+001
 1.2500519E+002, 1.9999777E+001, 4.8537982E+002, 4.8344505E+002, 4.6080166E+002, 4.6185157E+002, 2.6185138E+002, 9.4520426E+001, 9.2882094E+001, 7.8382783E+001, 6.9412719E+001
 1.3000902E+002, 1.9999786E+001, 5.1162621E+002, 5.0860862E+002, 4.7889731E+002, 4.8288495E+002, 2.9872715E+002, 1.0480365E+002, 9.8740382E+001, 8.4001737E+001, 6.2673452E+001
 1.3500615E+002, 1.9999839E+001, 5.7191672E+002, 5.5489323E+002, 5.2392839E+002, 5.2235097E+002, 3.3914207E+002, 1.2267160E+002, 1.0945757E+002, 9.4284187E+001, 7.7638763E+001
 1.4000925E+002, 1.9999844E+001, 6.0394724E+002, 5.8410737E+002, 5.4371148E+002, 5.1905018E+002, 3.3384196E+002, 1.2927291E+002, 1.1619605E+002, 1.0291190E+002, 8.2393529E+001
 1.4500002E+002, 1.9999876E+001, 6.2512508E+002, 6.0911963E+002, 5.7043035E+002, 5.4363890E+002, 3.2284732E+002, 1.2953724E+002, 1.2845934E+002, 1.1159795E+002, 8.8681165E+001
 1.5000320E+002, 1.9999894E+001, 6.4595539E+002, 6.2061813E+002, 5.7558885E+002, 5.1189294E+002, 3.1000988E+002, 1.3459497E+002, 1.3310664E+002, 1.1673766E+002, 8.7072059E+001
 1.5501025E+002, 1.9999915E+001, 6.4761359E+002, 6.1313463E+002, 5.4754003E+002, 5.0457768E+002, 3.4212793E+002, 1.4799689E+002, 1.3714859E+002, 1.1459644E+002, 8.5913562E+001
 1.6000020E+002, 1.9999938E+001, 6.6635280E+002, 6.1970316E+002, 5.4958596E+002, 4.8815793E+002, 3.3957633E+002, 1.4745038E+002, 1.3907714E+002, 1.2401841E+002, 9.2998158E+001
 1.6500136E+002, 1.9999953E+001, 6.7194139E+002, 6.3165171E+002, 5.6367237E+002, 4.9653490E+002, 3.4369658E+002, 1.4420513E+002, 1.4251219E+002, 1.2668574E+002, 9.9130785E+001
 1.7000151E+002, 1.9999962E+001, 6.8158006E+002, 6.4816996E+002, 5.8656573E+002, 5.2946138E+002, 3.3977996E+002, 1.4327744E+002, 1.4114898E+002, 1.2655403E+002, 9.1724450E+001
 1.7500797E+002, 1.9999982E+001, 6.7127719E+002, 6.4016962E+002, 5.7477120E+002, 5.1261709E+002, 3.3189646E+002, 1.4267452E+002, 1.3948513E+002, 1.1992067E+002, 1.0071558E+002
 1.8000461E+002, 1.9999986E+001, 6.5205906E+002, 6.1519775E+002, 5.4701567E+002, 5.1774102E+002, 3.3192500E+002, 1.4097750E+002, 1.5302799E+002, 1.3307781E+002, 9.6478221E+001
 1.8500171E+002, 2.0000002E+001, 6.4044169E+002, 6.0509426E+002, 5.3810190E+002, 4.9063271E+002, 3.2539369E+002, 1.5095751E+002, 1.4228415E+002, 1.1952798E+002, 9.4602622E+001
 1.9000764E+002, 2.0000023E+001, 6.1603744E+002, 5.9650833E+002, 5.5094897E+002, 5.0689137E+002, 3.1964469E+002, 1.4874382E+002, 1.4754262E+002, 1.3014389E+002, 9.7995247E+001
 1.9500160E+002, 2.0000019E+001, 6.3815306E+002, 6.0951292E+002, 5.4492350E+002, 4.9737564E+002, 3.4166688E+002, 1.4500935E+002, 1.4526153E+002, 1.3032628E+002, 9.7286675E+001
 2.0000464E+002, 2.0000028E+001, 6.0093348E+002, 5.8804631E+002, 5.4331844E+002, 4.9386974E+002, 3.1896211E+002, 1.4875278E+002, 1.4766997E+002, 1.2366582E+002, 9.6570316E+001
 2.0500349E+002, 2.0000029E+001, 6.0685619E+002, 5.9023707E+002, 5.3786923E+002, 4.9284740E+002, 3.0375923E+002, 1.4489819E+002, 1.5627132E+002, 1.2681545E+002, 8.6456418E+001
 2.1000560E+002, 2.0000032E+001, 6.0179507E+002, 5.9072586E+002, 5.4818790E+002, 4.8545113E+002, 3.1023977E+002, 1.4614123E+002, 1.4007275E+002, 1.2301262E+002, 9.2534116E+001
 2.1500047E+002, 2.0000048E+001, 5.8747137E+002, 5.6525036E+002, 5.1451503E+002, 4.7763625E+002, 2.9877075E+002, 1.5510690E+002, 1.3466502E+002, 1.2755528E+002, 8.5848334E+001
 2.2000780E+002, 2.0000056E+001, 5.6585964E+002, 5.4769824E+002, 5.1307643E+002, 4.5729420E+002, 2.8513007E+002, 1.5854060E+002, 1.3353419E+002, 1.1755218E+002, 8.4979274E+001
 2.2500880E+002, 2.0000056E+001, 5.4771598E+002, 5.3460255E+002, 4.9352443E+002, 4.5832726E+002, 2.8518252E+002, 1.5023943E+002, 1.2557055E+002, 1.1456794E+002, 8.5384759E+001
