s,s,s,s,C,C,C,C,C,C,C,C
FDS Time,"TIMER","open stair door","open hall door","TC03","TC04","TC05","TC06","TC07","TC08","TC09","TC010"
 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 2.0000000E+001, 2.0000000E+001, 2.0000000E+001, 2.0000000E+001, 2.0000000E+001, 2.0000000E+001, 2.0000000E+001, 2.0000000E+001
 5.0069952E+000, 3.2501385E+000, 3.2501385E+000, 3.2501385E+000, 2.0280357E+001, 2.0344903E+001, 2.0434965E+001, 2.0458969E+001, 2.0508194E+001, 2.0979171E+001, 2.1558984E+001, 2.0595870E+001
 1.0000630E+001, 7.6504834E+000, 7.6504834E+000, 7.6504834E+000, 3.6528790E+001, 3.5756389E+001, 3.5632168E+001, 3.2434067E+001, 2.2742613E+001, 2.2452033E+001, 2.3742544E+001, 2.1550901E+001
 1.5003282E+001, 1.2599251E+001, 1.2599251E+001, 1.2599251E+001, 7.5251522E+001, 7.5659079E+001, 6.6074190E+001, 5.8433384E+001, 4.8861676E+001, 3.5521479E+001, 2.5615048E+001, 2.2654034E+001
 2.0002811E+001, 1.7541248E+001, 1.7541248E+001, 1.7541248E+001, 1.1977609E+002, 1.1825229E+002, 1.1417706E+002, 8.9940761E+001, 2.9973337E+001, 2.6501688E+001, 2.7076371E+001, 2.4222951E+001
 2.5004620E+001, 2.2474343E+001, 2.2474343E+001, 2.2474343E+001, 1.5494536E+002, 1.5131315E+002, 1.4744224E+002, 1.3898051E+002, 5.3038297E+001, 3.4939029E+001, 3.1095998E+001, 2.6832581E+001
 3.0008656E+001, 2.7578963E+001, 2.7578963E+001, 2.7578963E+001, 2.1617517E+002, 2.0829642E+002, 2.0471941E+002, 1.8598651E+002, 8.2372029E+001, 4.6145716E+001, 3.8126464E+001, 3.0820880E+001
 3.5002117E+001, 3.2510263E+001, 3.2510263E+001, 3.2510263E+001, 2.6061094E+002, 2.5138164E+002, 2.4561851E+002, 2.3610184E+002, 8.7159571E+001, 4.1952195E+001, 3.6643464E+001, 2.9565087E+001
 4.0005333E+001, 3.7508601E+001, 3.7508601E+001, 3.7508601E+001, 2.9405022E+002, 2.8914134E+002, 2.8468308E+002, 2.7204861E+002, 9.6319432E+001, 4.5058725E+001, 3.8245390E+001, 3.4991661E+001
 4.5001595E+001, 4.2511417E+001, 4.2511417E+001, 4.2511417E+001, 3.3023432E+002, 3.2472788E+002, 3.1962293E+002, 3.0974496E+002, 1.1938760E+002, 4.7915778E+001, 4.0788980E+001, 3.6051556E+001
 5.0002285E+001, 4.7466506E+001, 4.7466506E+001, 4.7466506E+001, 3.6469736E+002, 3.6070806E+002, 3.6225627E+002, 3.4542296E+002, 1.1430554E+002, 5.7667275E+001, 4.9023092E+001, 3.7781054E+001
 5.5004204E+001, 5.2499329E+001, 5.2499329E+001, 5.2499329E+001, 3.7018473E+002, 3.6820403E+002, 3.6074075E+002, 3.1187692E+002, 1.2942239E+002, 5.7704948E+001, 4.7608052E+001, 3.9173797E+001
 6.0000813E+001, 5.7519248E+001, 5.7519248E+001, 5.7519248E+001, 3.9382587E+002, 3.9016382E+002, 3.9148160E+002, 3.5191265E+002, 1.5451632E+002, 6.6053341E+001, 5.3431558E+001, 4.3362574E+001
 6.5009201E+001, 6.2494883E+001, 6.2494883E+001, 6.2494883E+001, 3.7979598E+002, 3.7078831E+002, 3.6422702E+002, 3.5328993E+002, 1.6460618E+002, 6.6752312E+001, 5.5772446E+001, 4.6697843E+001
 7.0007584E+001, 6.7539687E+001, 6.7539687E+001, 6.7539687E+001, 4.1833208E+002, 4.0878320E+002, 4.0417599E+002, 3.9563187E+002, 2.3195625E+002, 7.4108414E+001, 6.0978526E+001, 5.0606296E+001
 7.5008095E+001, 7.2496570E+001, 7.2496570E+001, 7.2496570E+001, 3.9780252E+002, 3.9376088E+002, 3.8891495E+002, 3.8585423E+002, 1.7300641E+002, 6.9328040E+001, 5.6839199E+001, 4.7571347E+001
 8.0002533E+001, 7.7491700E+001, 7.7491700E+001, 7.7491700E+001, 4.2420874E+002, 4.1996672E+002, 4.1754126E+002, 4.0405124E+002, 2.2507572E+002, 7.7182269E+001, 5.7333025E+001, 5.2334249E+001
 8.5004364E+001, 8.2516454E+001, 8.2516454E+001, 8.2516454E+001, 4.3135611E+002, 4.2394247E+002, 4.2111676E+002, 3.8850490E+002, 2.0589753E+002, 7.4677625E+001, 5.8294782E+001, 5.0440846E+001
 9.0000221E+001, 8.7485002E+001, 8.7485002E+001, 8.7485002E+001, 4.4265660E+002, 4.3690106E+002, 4.3947530E+002, 4.1454000E+002, 2.0828215E+002, 7.8431623E+001, 6.4294398E+001, 5.7580755E+001
 9.5000755E+001, 9.2494834E+001, 9.2494834E+001, 9.2494834E+001, 4.5178709E+002, 4.5127018E+002, 4.4604401E+002, 4.4044085E+002, 2.5481444E+002, 7.8638101E+001, 6.5058530E+001, 5.5755167E+001
 1.0000517E+002, 9.7509271E+001, 9.7509271E+001, 9.7509271E+001, 4.3652490E+002, 4.3066509E+002, 4.2662369E+002, 4.1953907E+002, 3.0114439E+002, 1.0273897E+002, 6.7454079E+001, 5.6568645E+001
 1.0500014E+002, 1.0247512E+002, 1.0247512E+002, 1.0247512E+002, 4.3059986E+002, 4.2686387E+002, 4.2401139E+002, 4.1353887E+002, 2.7017602E+002, 8.7214268E+001, 6.5627752E+001, 5.8916655E+001
 1.1000825E+002, 1.0750824E+002, 1.0750824E+002, 1.0750824E+002, 4.5606004E+002, 4.4800604E+002, 4.4603981E+002, 4.4413386E+002, 2.9552965E+002, 9.4071674E+001, 6.9573559E+001, 5.7236632E+001
 1.1500718E+002, 1.1252711E+002, 1.1252711E+002, 1.1252711E+002, 4.6141152E+002, 4.5731376E+002, 4.4990332E+002, 4.4474581E+002, 3.1647407E+002, 9.7534452E+001, 7.7004222E+001, 5.9138524E+001
 1.2000434E+002, 1.1751186E+002, 1.1751186E+002, 1.1751186E+002, 4.5102757E+002, 4.4780033E+002, 4.4501437E+002, 4.3768669E+002, 2.9417921E+002, 1.0558428E+002, 8.1022293E+001, 6.2075389E+001
 1.2500153E+002, 1.2253918E+002, 1.2253918E+002, 1.2253918E+002, 4.7696028E+002, 4.7062408E+002, 4.6276563E+002, 4.5687238E+002, 3.2150654E+002, 1.0140899E+002, 8.2709344E+001, 6.7714482E+001
 1.3000214E+002, 1.2750802E+002, 1.2750802E+002, 1.2750802E+002, 4.8338651E+002, 4.7768404E+002, 4.7204606E+002, 4.6671126E+002, 2.7464625E+002, 1.1221901E+002, 8.2986863E+001, 6.4921020E+001
 1.3500705E+002, 1.3249303E+002, 1.3249303E+002, 1.3249303E+002, 4.7213685E+002, 4.7244272E+002, 4.6915262E+002, 4.6251310E+002, 3.6240010E+002, 1.1257248E+002, 9.0647147E+001, 6.6224961E+001
 1.4000914E+002, 1.3749481E+002, 1.3749481E+002, 1.3749481E+002, 4.8589723E+002, 4.7510820E+002, 4.7275531E+002, 4.6657849E+002, 2.8639648E+002, 1.0865218E+002, 8.6541348E+001, 7.0102166E+001
 1.4500627E+002, 1.4252534E+002, 1.4252534E+002, 1.4252534E+002, 5.1866273E+002, 5.0756837E+002, 5.0290440E+002, 4.8007387E+002, 3.1050477E+002, 1.3142538E+002, 9.9035589E+001, 7.8434402E+001
 1.5000542E+002, 1.4751470E+002, 1.4751470E+002, 1.4751470E+002, 5.2220467E+002, 5.1368244E+002, 5.0672069E+002, 4.9108562E+002, 3.3023175E+002, 1.3257792E+002, 9.8053823E+001, 7.4048528E+001
