s,C,C,C,C,C,C,C,C,C,C
FDS Time,"TC01","TC02","TC03","TC04","TC05","TC06","TC07","TC08","TC09","TC10"
 0.0000000E+000, 2.0000000E+001, 2.0000000E+001, 2.0000000E+001, 2.0000000E+001, 2.0000000E+001, 2.0000000E+001, 2.0000000E+001, 2.0000000E+001, 2.0000000E+001, 2.0000000E+001
 5.0028167E+000, 2.0000068E+001, 2.0238741E+001, 2.0238120E+001, 2.0439666E+001, 2.0465132E+001, 2.0488207E+001, 2.0000701E+001, 2.1582436E+001, 2.0729382E+001, 2.0938135E+001
 1.0011411E+001, 2.0000117E+001, 3.7380551E+001, 2.9295753E+001, 2.4524598E+001, 2.5188482E+001, 2.2614076E+001, 2.0066938E+001, 2.3828020E+001, 2.1981082E+001, 2.2603196E+001
 1.5006935E+001, 2.0000134E+001, 6.0101535E+001, 6.1321655E+001, 5.7491855E+001, 4.9240643E+001, 4.3452842E+001, 2.9745016E+001, 2.5990971E+001, 2.3616083E+001, 2.4823861E+001
 2.0001184E+001, 2.0000138E+001, 1.0243660E+002, 9.9433629E+001, 9.9372320E+001, 4.9626502E+001, 2.6601661E+001, 2.0011806E+001, 2.7444576E+001, 2.5109507E+001, 2.6075881E+001
 2.5001625E+001, 2.0000133E+001, 1.4760396E+002, 1.4329075E+002, 1.3567799E+002, 1.0361786E+002, 4.1868814E+001, 2.2467610E+001, 2.9601794E+001, 2.7013685E+001, 2.7868863E+001
 3.0001562E+001, 2.0000115E+001, 1.9289924E+002, 1.8564098E+002, 1.7765240E+002, 1.5150736E+002, 6.0242637E+001, 2.8340163E+001, 3.5727539E+001, 3.0857426E+001, 2.9438828E+001
 3.5009388E+001, 2.0000097E+001, 2.4620207E+002, 2.3545650E+002, 2.2477696E+002, 1.4935606E+002, 6.8915752E+001, 2.9065624E+001, 3.9877955E+001, 3.3937737E+001, 3.3352037E+001
 4.0009399E+001, 2.0000082E+001, 2.8637583E+002, 2.8113370E+002, 2.5999543E+002, 1.9870754E+002, 1.0246518E+002, 3.0868805E+001, 4.5547510E+001, 3.6962620E+001, 3.7815546E+001
 4.5003025E+001, 2.0000047E+001, 3.2540439E+002, 3.2079169E+002, 2.6713832E+002, 2.3752231E+002, 1.1815771E+002, 3.1740332E+001, 4.8147085E+001, 4.2622566E+001, 4.0845216E+001
 5.0001495E+001, 1.9999995E+001, 3.8195602E+002, 3.5785954E+002, 3.2152791E+002, 2.9046283E+002, 1.1915048E+002, 4.0977536E+001, 5.4980615E+001, 4.5012190E+001, 4.2351056E+001
 5.5009354E+001, 1.9999959E+001, 3.9658272E+002, 3.9631018E+002, 3.7765200E+002, 2.9423574E+002, 1.5635281E+002, 4.5179020E+001, 5.4979763E+001, 4.7423951E+001, 4.6556662E+001
 6.0005569E+001, 1.9999924E+001, 4.3500012E+002, 4.2761603E+002, 4.1158531E+002, 3.5444783E+002, 1.6949595E+002, 5.0985203E+001, 6.1738127E+001, 5.6150968E+001, 5.2133150E+001
 6.5004921E+001, 1.9999889E+001, 4.5719506E+002, 4.5085599E+002, 4.3261831E+002, 3.5780712E+002, 1.9102392E+002, 6.1042793E+001, 6.6725536E+001, 5.7081270E+001, 5.3824212E+001
 7.0008904E+001, 1.9999850E+001, 4.5231729E+002, 4.5434457E+002, 4.4290203E+002, 4.2865796E+002, 2.2527415E+002, 7.2173066E+001, 7.0609500E+001, 5.7978113E+001, 5.5929684E+001
 7.5005524E+001, 1.9999850E+001, 4.7551423E+002, 4.7146789E+002, 4.5248750E+002, 4.5702728E+002, 2.4626360E+002, 7.3715712E+001, 8.8561996E+001, 6.8308624E+001, 6.1335805E+001
 8.0001465E+001, 1.9999825E+001, 4.9902878E+002, 4.8829518E+002, 4.6685553E+002, 4.2517752E+002, 2.3774490E+002, 8.1057279E+001, 8.5076169E+001, 7.0805548E+001, 6.6352640E+001
 8.5004967E+001, 1.9999801E+001, 5.0149565E+002, 4.9288659E+002, 4.6880797E+002, 3.9002467E+002, 2.4017609E+002, 9.5699592E+001, 8.6247953E+001, 6.9313298E+001, 6.3286233E+001
 9.0007378E+001, 1.9999784E+001, 4.8533515E+002, 4.8929851E+002, 4.7083132E+002, 4.2864482E+002, 2.5913699E+002, 9.3078981E+001, 9.1049760E+001, 7.1532123E+001, 6.9279795E+001
 9.5006714E+001, 1.9999815E+001, 5.2332903E+002, 5.1746866E+002, 4.8678108E+002, 4.5139570E+002, 2.7993996E+002, 1.0479867E+002, 9.4500034E+001, 7.2990021E+001, 7.6558267E+001
 1.0000507E+002, 1.9999785E+001, 5.2429817E+002, 5.1681816E+002, 4.9491938E+002, 4.6243560E+002, 2.6615590E+002, 9.9179607E+001, 9.8225405E+001, 7.3683219E+001, 6.8915847E+001
 1.0500143E+002, 1.9999741E+001, 5.1588609E+002, 5.1138852E+002, 4.8106150E+002, 4.3226888E+002, 2.7422245E+002, 1.1626911E+002, 9.7419452E+001, 7.7380927E+001, 6.5447440E+001
 1.1000425E+002, 1.9999753E+001, 5.0472271E+002, 5.0782243E+002, 4.8065412E+002, 4.9898369E+002, 2.8858564E+002, 1.1645264E+002, 1.0457129E+002, 8.1500693E+001, 6.5709962E+001
 1.1500618E+002, 1.9999787E+001, 5.3967620E+002, 5.2953215E+002, 5.0185430E+002, 4.8687564E+002, 2.8495035E+002, 1.0376297E+002, 1.0560574E+002, 8.4763129E+001, 6.9554202E+001
 1.2000207E+002, 1.9999774E+001, 5.4286337E+002, 5.3248386E+002, 4.9286448E+002, 4.5916046E+002, 2.7292999E+002, 1.1665181E+002, 1.0736166E+002, 8.3454556E+001, 7.8197994E+001
 1.2500786E+002, 1.9999800E+001, 5.3739608E+002, 5.2876613E+002, 4.9810723E+002, 5.0135455E+002, 2.8569735E+002, 1.1421807E+002, 1.0981416E+002, 1.0010010E+002, 7.1219408E+001
 1.3000816E+002, 1.9999808E+001, 5.2825580E+002, 5.2015649E+002, 4.9194135E+002, 5.0302674E+002, 3.0429564E+002, 1.2453286E+002, 1.1015504E+002, 1.0030781E+002, 6.9202111E+001
 1.3500705E+002, 1.9999833E+001, 5.4897272E+002, 5.3989439E+002, 5.1161848E+002, 4.9693055E+002, 3.1815642E+002, 1.3082748E+002, 1.1476386E+002, 1.0492447E+002, 7.4719892E+001
 1.4000436E+002, 1.9999868E+001, 5.7935746E+002, 5.4341969E+002, 4.8489844E+002, 4.4426305E+002, 2.9695325E+002, 1.2441223E+002, 1.1067218E+002, 9.9888590E+001, 7.5393596E+001
 1.4500272E+002, 1.9999879E+001, 5.6854859E+002, 5.5008372E+002, 5.0422987E+002, 4.6720979E+002, 2.8858190E+002, 1.2690704E+002, 1.2122487E+002, 1.0939037E+002, 8.1367321E+001
 1.5000833E+002, 1.9999903E+001, 5.6511064E+002, 5.3657410E+002, 4.7846412E+002, 4.5807585E+002, 2.7556939E+002, 1.2014012E+002, 1.1897529E+002, 1.0247599E+002, 7.4270073E+001
 1.5500160E+002, 1.9999918E+001, 5.5552177E+002, 5.4404262E+002, 4.9908158E+002, 4.5515826E+002, 2.7831814E+002, 1.2472487E+002, 1.2208910E+002, 1.0351536E+002, 7.3309996E+001
 1.6000563E+002, 1.9999934E+001, 5.6448176E+002, 5.3754076E+002, 4.8396815E+002, 4.3816295E+002, 2.7675221E+002, 1.2137958E+002, 1.2650597E+002, 1.0920867E+002, 8.3092798E+001
 1.6500130E+002, 1.9999952E+001, 5.3347669E+002, 5.2163686E+002, 4.8515194E+002, 4.4365540E+002, 2.8205229E+002, 1.2294770E+002, 1.2139513E+002, 1.1092171E+002, 8.3083996E+001
 1.7000682E+002, 1.9999974E+001, 5.3155939E+002, 5.1760535E+002, 4.8370559E+002, 4.3302698E+002, 2.7484350E+002, 1.1549574E+002, 1.2127020E+002, 1.1411849E+002, 7.9107501E+001
 1.7500320E+002, 1.9999998E+001, 5.2968993E+002, 5.1999888E+002, 4.8436881E+002, 4.3001992E+002, 2.8412255E+002, 1.1779411E+002, 1.2498309E+002, 1.0827318E+002, 7.7640686E+001
 1.8000485E+002, 2.0000019E+001, 5.4202295E+002, 5.2240075E+002, 4.6783104E+002, 4.3679690E+002, 2.5804586E+002, 1.1873566E+002, 1.1795264E+002, 9.8003905E+001, 8.1349657E+001
 1.8500812E+002, 2.0000033E+001, 5.2744558E+002, 5.1090568E+002, 4.6126355E+002, 4.2897081E+002, 2.6438305E+002, 1.2911807E+002, 1.1801754E+002, 9.9183972E+001, 7.4882849E+001
 1.9000476E+002, 2.0000043E+001, 5.1007410E+002, 5.0852557E+002, 4.9060696E+002, 4.5113172E+002, 2.4874460E+002, 1.2001492E+002, 1.2623283E+002, 1.0808789E+002, 7.6257466E+001
 1.9500737E+002, 2.0000059E+001, 5.1772611E+002, 5.0284543E+002, 4.7061628E+002, 4.0932451E+002, 2.5145894E+002, 1.1817314E+002, 1.2061005E+002, 1.0582394E+002, 7.1241081E+001
 2.0000482E+002, 2.0000076E+001, 4.9650189E+002, 4.8384219E+002, 4.5385760E+002, 4.3123749E+002, 2.5973954E+002, 1.2255656E+002, 1.1086895E+002, 9.2843595E+001, 7.5976992E+001
 2.0500374E+002, 2.0000090E+001, 4.8357336E+002, 4.8646226E+002, 4.6632798E+002, 4.0217638E+002, 2.4114424E+002, 1.2000631E+002, 1.1937534E+002, 1.0380115E+002, 7.8586195E+001
 2.1000270E+002, 2.0000099E+001, 4.8088945E+002, 4.6494668E+002, 4.5141404E+002, 4.1930935E+002, 2.5866936E+002, 1.1617802E+002, 1.1776731E+002, 1.0199826E+002, 7.4523524E+001
 2.1500613E+002, 2.0000112E+001, 4.7077086E+002, 4.6737378E+002, 4.2905045E+002, 3.8125158E+002, 2.3858513E+002, 1.1581012E+002, 1.0801356E+002, 9.1197091E+001, 7.6873815E+001
 2.2000421E+002, 2.0000117E+001, 4.7030850E+002, 4.7043336E+002, 4.5248149E+002, 3.9076411E+002, 2.3396209E+002, 1.2266715E+002, 1.1900418E+002, 1.0077943E+002, 7.9084077E+001
 2.2500047E+002, 2.0000119E+001, 4.6103070E+002, 4.5311874E+002, 4.3857795E+002, 3.8636810E+002, 2.3791695E+002, 1.2146888E+002, 1.0927626E+002, 9.9525809E+001, 8.0889842E+001
