Time,Pres
0.00E+00,0.00E+00
1.00E+00,6.68E+02
2.00E+00,1.34E+03
3.00E+00,2.00E+03
4.00E+00,2.67E+03
5.02E+00,3.32E+03
6.02E+00,2.82E+03
7.02E+00,2.63E+03
8.02E+00,2.56E+03
9.02E+00,2.54E+03
1.00E+01,2.53E+03
1.10E+01,2.52E+03
1.20E+01,2.52E+03
1.30E+01,2.52E+03
1.40E+01,2.52E+03
1.50E+01,2.52E+03
1.60E+01,9.09E+02
1.70E+01,3.35E+02
1.80E+01,1.23E+02
1.90E+01,4.53E+01
2.00E+01,1.67E+01
2.10E+01,6.13E+00
2.20E+01,2.25E+00
2.30E+01,8.29E-01
2.40E+01,3.05E-01
2.50E+01,1.12E-01
