x,CO2,H20
19.0848,0.254882,0.467258
30.4876,0.251501,0.437639
39.3495,0.250509,0.41462
41.2173,0.2503,0.409769
43.0851,0.250091,0.404917
46.8577,0.249669,0.400068
47.6159,0.249584,0.398099
48.7255,0.249614,0.395217
50.5933,0.249664,0.390365
52.4611,0.249714,0.385513
56.2373,0.249816,0.38115
58.1051,0.249866,0.376298
59.9729,0.249917,0.371447
61.8407,0.249967,0.366595
65.6133,0.250069,0.361746
66.6674,0.250097,0.359008
67.4811,0.250213,0.356894
71.2537,0.250752,0.352046
73.1215,0.251019,0.347194
76.8941,0.251558,0.342345
78.7619,0.251825,0.337493
80.6297,0.252092,0.332642
83.8289,0.252549,0.328945
84.4059,0.252676,0.328278
88.1785,0.253504,0.323429
91.9511,0.254332,0.318581
93.8189,0.254742,0.313729
97.1846,0.255481,0.309403
97.5915,0.255571,0.30888
99.4593,0.255981,0.304028
103.236,0.25681,0.299665
107.008,0.257638,0.294816
110.54,0.258413,0.290276
110.781,0.258495,0.289967
116.458,0.260428,0.285121
120.231,0.261712,0.280272
121.999,0.262314,0.278229
124.007,0.263184,0.275909
141.009,0.270551,0.257487
141.109,0.270594,0.257359
144.782,0.271844,0.252638
150.463,0.273778,0.248277
152.568,0.274494,0.245572
154.236,0.275259,0.243428
159.913,0.277863,0.238582
162.125,0.278877,0.236885
165.594,0.280292,0.234222
171.271,0.282608,0.229376
171.678,0.282774,0.229063
176.952,0.285193,0.225015
181.235,0.287157,0.221359
182.63,0.287726,0.220169
188.311,0.290044,0.215808
190.789,0.291055,0.213693
193.988,0.29236,0.210962
200.342,0.294952,0.207312
201.574,0.295371,0.206604
207.255,0.297305,0.202244
211.801,0.298852,0.198364
212.933,0.299371,0.197397
220.518,0.30285,0.19304
221.358,0.303235,0.192557
228.104,0.305987,0.188682
230.911,0.307132,0.186888
235.686,0.308758,0.183838
242.37,0.311033,0.179999
243.272,0.31134,0.17948
250.858,0.313922,0.175123
253.828,0.314933,0.173416
258.444,0.316504,0.170765
265.286,0.318833,0.167625
267.935,0.31951,0.16641
275.524,0.321452,0.162537
278.646,0.32225,0.161105
285.015,0.324149,0.158182
