Time ,Mass_1 (kg),Q_1 (kJ),Mass_2 (kg),Q_2 (kJ),Mass_3 (kg),Q_3 (kJ),Mass_4 (kg),Q_4 (kJ)
60,0.00226,27.12,0.00339,40.68,0.00452,54.24,0.00565,67.86
70,0.00226,27.12,0.00339,40.68,0.00452,54.24,0.00565,67.86
80,0.00226,27.12,0.00339,40.68,0.00452,54.24,0.00565,67.86
90,0.00226,27.12,0.00339,40.68,0.00452,54.24,0.00565,67.86
100,0.00226,27.12,0.00339,40.68,0.00452,54.24,0.00565,67.86
