Time,M_1 (kg/m2),L_1 (m),M_2 (kg/m2),L_2 (m),M_3 (kg/m2),L_3 (m),M_4 (kg/m2),L_4 (m),M_5 (kg/m2),L_5 (m),M_6 (kg/m2),L_6 (m)
0,0.5,0.001,0.5,0.001,0.5,0.001,1,0.001,1,0.001,1,0.001
15,0.5,0.0005,0.5,0.0005,0.5,0.001,1,0.002,1,0.002,1,0.001
