Time ,Mass_1 (kg),Q_1 (kJ),Mass_2 (kg),Q_2 (kJ),Mass_3 (kg),Q_3 (kJ),Mass_4 (kg),Q_4 (kJ)
40,0.000259,3.108,0.000386,4.632,0.00055,6.6,0.000754,9.05
50,0.000259,3.108,0.000386,4.632,0.00055,6.6,0.000754,9.05
60,0.000259,3.108,0.000386,4.632,0.00055,6.6,0.000754,9.05
70,0.000259,3.108,0.000386,4.632,0.00055,6.6,0.000754,9.05
80,0.000259,3.108,0.000386,4.632,0.00055,6.6,0.000754,9.05
90,0.000259,3.108,0.000386,4.632,0.00055,6.6,0.000754,9.05
100,0.000259,3.108,0.000386,4.632,0.00055,6.6,0.000754,9.05
