Temperature (C),HRR (W/g)
99.094,-1.542
99.114,-2.2034
99.112,-2.9224
99.122,-3.3336
99.15,-3.5621
99.148,-3.6341
99.199,-3.8241
99.234,-3.8448
99.272,-3.9305
99.313,-3.9433
99.393,-3.7119
99.453,-3.2421
99.501,-2.5501
99.596,-1.916
99.693,-1.5259
99.803,-1.0271
99.93,-0.7146
100.01,-0.48709
100.13,-0.44762
100.22,-0.2484
100.41,-0.10216
100.52,-0.23434
100.69,-0.23874
100.85,-0.1529
101.03,-0.055473
101.17,0.014706
101.33,0.039548
101.51,0.062013
101.72,0.12794
101.89,0.20156
102.1,0.28223
102.29,0.2135
102.52,0.27799
102.73,0.26686
102.91,0.16917
103.12,0.13795
103.38,0.29387
103.61,0.19522
103.85,0.10748
104.05,0.1756
104.33,0.19504
104.54,0.20081
104.81,0.0083873
105.09,0.088945
105.34,0.218
105.56,0.14963
105.86,0.19057
106.13,0.18417
106.42,0.21959
106.68,0.23026
106.97,0.22066
107.26,0.21678
107.58,0.064349
107.83,0.22042
108.16,0.29793
108.48,0.33161
108.79,0.46143
109.08,0.41569
109.41,0.5182
109.76,0.48417
110.07,0.66201
110.39,0.50869
110.72,0.39716
111.09,0.42173
111.41,0.4044
111.76,0.3494
112.08,0.48801
112.43,0.46006
112.77,0.48528
113.14,0.62607
113.52,0.58151
113.86,0.57469
114.25,0.73307
114.62,0.66562
114.99,0.61431
115.38,0.61744
115.75,0.67321
116.11,0.57202
116.51,0.55608
116.9,0.62343
117.29,0.41866
117.67,0.40898
118.03,0.54897
118.48,0.47199
118.85,0.5566
119.26,0.63144
119.65,0.65977
120.1,0.63087
120.49,0.81804
120.92,0.7955
121.36,0.67072
121.78,0.63932
122.24,0.66419
122.64,0.73036
123.08,0.68668
123.49,0.89642
123.92,0.89496
124.37,0.91494
124.79,0.87666
125.25,1.1304
125.67,0.99316
126.12,0.93614
126.57,0.85732
127,0.74976
127.47,0.74435
127.88,0.84716
128.35,0.75801
128.8,0.80697
129.25,0.99011
129.72,0.98072
130.18,1.0615
130.65,0.99232
131.08,0.9557
131.56,0.97613
132.02,0.98593
132.53,0.97584
133,1.0896
133.45,1.1686
133.96,1.1975
