Temperature (C),HRR (W/g)
100.14,0.283
100.14,-0.77218
100.15,-1.6356
100.18,-2.8146
100.2,-3.1234
100.22,-3.5659
100.25,-4.012
100.29,-4.3255
100.31,-4.1671
100.36,-4.3398
100.4,-4.0255
100.48,-3.448
100.48,-2.6901
100.58,-2.0917
100.67,-1.5908
100.73,-1.2742
100.85,-0.9463
100.97,-0.68338
101.04,-0.32396
101.18,-0.20996
101.32,-0.11292
101.4,0.044281
101.57,0.037399
101.72,0.15377
101.87,0.46252
102.03,0.45203
102.19,0.44208
102.35,0.56176
102.57,0.67289
102.68,0.69403
102.83,0.72343
103.05,0.86678
103.23,0.67533
103.46,0.91729
103.67,0.89099
103.83,0.93696
104.08,0.81428
104.29,0.83798
104.52,0.84187
104.73,0.90018
104.96,1.0911
105.19,0.98281
105.4,1.0004
105.71,1.0564
105.94,1.0355
106.21,0.94188
106.41,0.90758
106.75,1.0106
106.96,0.9683
107.3,1.1061
107.52,1.0193
107.83,1.1065
108.11,1.1714
108.44,1.1569
108.71,1.2182
109.07,1.2286
109.3,1.3152
109.67,1.4071
109.96,1.4738
110.26,1.4693
110.56,1.4728
110.9,1.5397
111.27,1.6237
111.6,1.7197
111.91,1.6439
112.27,1.5752
112.63,1.5715
112.96,1.4695
113.31,1.4751
113.65,1.4462
113.98,1.5054
114.36,1.555
114.7,1.6051
115.11,1.7436
115.46,1.8181
115.82,1.8412
116.18,1.8654
116.57,1.8668
117,1.7775
117.35,1.8262
117.77,1.6793
118.13,1.8055
118.54,1.7
118.92,1.6954
119.37,1.6406
119.75,1.7002
120.17,1.5272
120.55,1.5427
120.97,1.5779
121.36,1.564
121.85,1.4796
122.27,1.5787
122.68,1.5833
123.11,1.5329
123.5,1.6601
124,1.4425
124.4,1.5551
124.84,1.6158
125.25,1.4863
125.7,1.5311
126.16,1.646
126.59,1.5627
127.03,1.5819
127.51,1.526
127.93,1.4923
128.37,1.5495
128.8,1.4143
129.28,1.6032
129.72,1.4976
130.18,1.4616
130.64,1.5302
131.1,1.6558
131.59,1.4936
132.01,1.4335
132.49,1.5746
132.95,1.4973
133.44,1.5407
133.9,1.4497
134.38,1.4817
134.86,1.6116
135.33,1.5398
135.79,1.5246
136.26,1.5621
136.75,1.4835
137.2,1.4958
137.7,1.5621
138.17,1.5224
138.65,1.5842
139.16,1.6063
139.65,1.7007
140.1,1.5669
140.65,1.5886
141.1,1.4695
141.57,1.4857
142.05,1.4449
142.56,1.4619
143.07,1.3666
143.55,1.3776
144.03,1.3006
144.56,1.5021
145.03,1.3663
145.56,1.2926
146.04,1.3914
146.56,1.234
147.09,1.1832
147.59,1.2216
148.1,1.2823
148.56,1.188
149.1,1.249
149.6,1.3464
150.1,1.3098
150.63,1.2959
151.15,1.2253
151.63,1.1502
152.17,1.1293
152.68,1.114
153.18,1.0954
153.72,1.0272
154.22,0.98551
154.76,0.92363
155.26,1.0199
155.74,0.87279
156.28,0.90973
156.78,1.1448
157.35,1.0777
157.86,0.98564
158.4,1.1126
158.9,1.0968
159.42,1.0634
159.93,1.1682
160.47,1.0563
160.96,0.94179
161.48,1.0553
162.06,0.9927
162.59,1.0069
163.14,1.1056
163.69,0.98805
164.19,1.0142
164.71,0.86101
165.26,0.83131
165.78,0.83882
166.29,0.97199
166.82,0.91596
167.37,0.99751
167.93,1.0348
168.47,1.0765
168.99,1.0123
169.51,1.0859
170.05,1.0047
170.59,1.0156
171.14,1.091
171.66,1.2065
172.24,1.3069
172.76,1.1447
173.32,1.3387
173.83,1.3388
174.36,1.309
174.9,1.3158
175.43,1.4279
175.99,1.3601
176.54,1.4657
177.04,1.346
177.62,1.3346
178.15,1.2695
178.68,1.4
179.26,1.2933
179.8,1.3382
180.31,1.4972
180.88,1.3859
181.41,1.45
181.97,1.6261
182.52,1.4908
183.06,1.4296
183.63,1.4246
184.14,1.4934
184.69,1.4787
185.24,1.4694
185.81,1.5792
186.33,1.5948
186.87,1.7478
187.44,1.7366
187.98,1.7634
188.53,1.84
189.03,1.8662
189.6,1.8147
190.15,1.8903
190.71,1.9945
191.27,1.9987
191.88,2.223
192.38,2.0854
192.96,2.1958
193.52,2.014
194.02,1.9652
194.63,1.8987
195.13,1.8548
195.73,2.0565
196.24,2.2145
196.8,2.1876
197.33,2.4061
197.91,2.3416
198.44,2.3205
199,2.2167
199.56,2.1499
200.13,2.2589
200.7,2.2257
201.24,2.1516
201.79,2.203
202.35,2.3632
202.92,2.2701
203.43,2.3847
204,2.4676
204.6,2.4255
205.16,2.5474
205.69,2.6566
206.27,2.5682
206.8,2.8273
207.39,2.6096
207.91,2.7162
