Time,m_dot
0.,1.60e-4
10.,0.97e-4
20.,0.59e-4
30.,0.36e-4
40.,0.22e-4
50.,0.13e-4
60.,0.08e-4
70.,0.048e-4
80.,0.03e-4
90.,0.018e-4
100.,0.011e-4
