FDS Case,Wall Clock Time (s),CPU Time (s),Number of Cells,Number of Time Steps,Performance Metric (1e-6)
mplume5c8_bench.fds,407.651, 3.994E+02,64,900,6934
plume5c_bench.fds,288.826, 2.809E+02,8192,900,38
thouse5_bench.fds,679.007, 6.703E+02,23040,900,32
cell_test.fds,2.249, 1.977E-02,60,1,0
colorbar.fds,3.287, 1.867E+00,2000,64,14
colorconv.fds,527.469, 5.258E+02,10000,900,58
fed_test.fds,27.162, 2.307E+01,27,900,949
mplume5c8.fds,579.297, 5.708E+02,64,900,9909
objects_dynamic.fds,, 2.577E-01,65536,0,0
objects_elem.fds,, 7.014E-01,65536,0,0
objects_static.fds,, 1.020E+00,1024,0,0
plume5c.fds,340.400, 3.324E+02,8192,900,45
plume5cdelta.fds,647.067, 6.390E+02,8192,900,86
plumeiso.fds,633.109, 6.251E+02,8192,900,84
plume5c_bounddef.fds,, 9.454E-01,8192,0,0
script_test.fds,147.585, 1.397E+02,8192,900,18
script_slice_test.fds,670.613, 6.628E+02,8192,900,89
sillytexture.fds,, 5.189E-01,800,0,0
slicemask.fds,15.508, 1.129E+01,2000,529,10
smoke_sensor.fds,37.867, 2.205E+01,256000,13,6
smoke_test.fds,51.244, 2.774E+01,256000,13,8
smoke_test2.fds,9.400, 2.517E+00,32000,7,11
sprinkler_many.fds,20.426, 8.651E+00,65536,23,5
thouse5.fds,783.653, 7.750E+02,23040,900,37
thouse5delta.fds,712.381, 7.040E+02,23040,900,33
transparency.fds,, 2.721E-01,1000,0,0
vcirctest.fds,13.317, 5.879E+00,8000,90,8
vcirctest2.fds,, 9.460E-02,1000,0,0
version.fds,, 3.666E-02,8192,0,0
version2.fds,, 4.121E-02,8192,0,0
geom_arch.fds,, 3.231E+00,1000,0,0
geom_azim.fds,3.969, 6.687E-02,1000,7,0
geom_elev.fds,3.962, 6.540E-02,1000,7,0
geom_obst.fds,9.145, 1.816E+00,8000,26,8
geom_scale.fds,4.031, 4.744E-02,1000,5,0
geom_simple.fds,, 1.365E+00,1000,0,0
geom_slice.fds,345.370, 3.377E+02,8192,900,45
geom_sphere1a.fds,, 1.458E+00,8000,0,0
geom_sphere1b.fds,, 1.346E+00,8000,0,0
geom_sphere1c.fds,, 1.498E+00,8000,0,0
geom_sphere1d.fds,, 1.812E+00,8000,0,0
geom_sphere1e.fds,, 2.826E+00,8000,0,0
geom_sphere1f.fds,, 1.824E+01,8000,0,0
geom_sphere2.fds,, 3.277E+00,10000,0,0
geom_sphere3a.fds,, 1.533E+00,8000,0,0
geom_sphere3b.fds,, 1.522E+00,8000,0,0
geom_sphere3c.fds,, 1.583E+00,8000,0,0
geom_sphere3d.fds,, 1.773E+00,8000,0,0
geom_sphere3e.fds,, 4.404E+00,8000,0,0
geom_sphere3f.fds,, 4.057E+01,8000,0,0
geom_terrain.fds,, 1.715E+00,8000,0,0
geom_texture.fds,3.946, 6.015E-02,1000,7,0
geom_texture2.fds,3.953, 6.075E-02,1000,7,0
geom_texture3a.fds,4.125, 7.383E-02,1000,5,0
geom_texture3b.fds,4.057, 6.634E-02,1000,5,0
geom_texture4a.fds,4.667, 9.961E-02,1000,5,0
geom_texture4b.fds,4.032, 7.312E-02,1000,5,0
geom_time.fds,, 1.469E+00,1000,0,0
geom_time2.fds,, 1.462E+00,1000,0,0
geom_time3.fds,, 1.435E+00,1000,0,0
geom_time4.fds,, 1.487E+00,1000,0,0
geom_volume.fds,, 1.440E+00,1000,0,0
wind_test2_bench.fds,334.428, 3.255E+02,100,614,5301
hill_structure_bench.fds,333.823, 3.249E+02,100,614,5291
BT10m_2x2km_LS.fds,, 1.940E+00,200000,0,0
hill_structure.fds,345.684, 3.363E+02,100,614,5477
levelset1.fds,, 1.063E+00,562500,0,0
pine_tree.fds,887.384, 8.791E+02,16000,900,61
tree_test2.fds,19.623, 1.250E+01,1000,900,13
wind_test1.fds,, 4.616E-02,8192,0,0
wind_test2.fds,345.471, 3.364E+02,100,614,5478
fef4a56
9081.949
