FDS Case,Wall Clock Time (s),CPU Time (s),Number of Cells,Number of Time Steps,Performance Metric (1e-6)
Adaptive_Mesh_Refinement/random_meshes.out,663.229,663.229,100,900,7369
Atmospheric_Effects/lapse_rate.out,4.842,4.842,40,4,30262
Atmospheric_Effects/lee_waves.out,1405.699,1405.699,10000,900,156
Atmospheric_Effects/stack_effect.out,953.351,953.351,30000,633,50
Controls/activate_vents.out,17.827,17.827,2100,400,21
Controls/control_test_2.out,12.628,12.628,8800,101,14
Controls/control_test.out,,,8000,300,14
Controls/create_remove.out,131.165,131.165,40,701,4677
Controls/cycle_test.out,13.272,13.272,40,127,2612
Controls/device_test.out,1154.469,1154.469,60,900,21379
Controls/hrr_freeze.out,350.094,350.094,8000,900,48
Controls/rms_cov_corr.out,566.728,566.728,1000,900,629
Detectors/aspiration_detector.out,13.474,13.474,1000,900,14
Detectors/beam_detector.out,75.456,75.456,400000,13,14
Detectors/smoke_detector.out,9.760,9.760,125,317,246
Energy_Budget/energy_budget_adiabatic_two_fuels.out,605.037,605.037,4000,900,168
Energy_Budget/energy_budget_adiabatic_walls.out,5939.388,5939.388,32000,900,206
Energy_Budget/energy_budget_cold_walls.out,5708.430,5708.430,32000,900,198
Energy_Budget/energy_budget_dns_100.out,3627.519,3627.519,2500,900,1612
Energy_Budget/energy_budget_solid.out,1044.382,1044.382,1000,900,1160
Energy_Budget/energy_budget_tmix.out,15.311,15.311,121,900,140
Extinction/extinction.out,18.746,18.746,400,25,1874
Fires/box_burn_away1.out,426.111,426.111,1000,900,473
Fires/box_burn_away_2D.out,26.402,26.402,100,900,293
Fires/box_burn_away_2D_residue.out,237.691,237.691,100,900,2641
Fires/box_burn_away2.out,196.854,196.854,1000,900,218
Fires/box_burn_away3.out,23.231,23.231,1000,602,38
Fires/box_burn_away4.out,25.508,25.508,1000,600,42
Fires/circular_burner.out,497.834,497.834,160,900,3457
Fires/couch.out,3021.586,3021.586,5760,900,582
Fires/fire_whirl_pool.out,3085.093,3085.093,16384,900,209
Fires/HoC_Ideal.out,18.625,18.625,1000,182,102
Fires/HoC_NonIdeal.out,14.711,14.711,1000,185,79
Fires/spray_burner.out,1235.190,1235.190,24000,900,57
Flowfields/blasius_16.out,23.642,23.642,384,900,68
Flowfields/blasius_32.out,751.900,751.900,1536,900,543
Flowfields/blasius_64.out,2389.199,2389.199,6144,900,432
Flowfields/cyl_test_1.out,30.790,30.790,2400,504,25
Flowfields/cyl_test_2.out,27.503,27.503,2400,504,22
Flowfields/cyl_test_3.out,2916.638,2916.638,5000,900,648
Flowfields/cyl_test_4.out,2539.235,2539.235,5000,900,564
Flowfields/divergence_test.out,26.915,26.915,8000,258,13
Flowfields/gas_filling.out,706.191,706.191,15360,900,51
Flowfields/helium_2d_isothermal.out,2759.938,2759.938,10368,900,295
Flowfields/helium_air_jet_floor.out,181.096,181.096,108000,70,23
Flowfields/hole.out,186.660,186.660,8000,438,53
Flowfields/hot_layer_360.out,1023.562,1023.562,1800,900,631
Flowfields/jet_fan.out,476.789,476.789,20000,494,48
Flowfields/mass_heat_wall_device_test_2.out,1788.307,1788.307,256000,620,11
Flowfields/mass_heat_wall_device_test.out,1692.123,1692.123,256000,620,10
Flowfields/mean_forcing_hole.out,1429.245,1429.245,32000,900,49
Flowfields/mwtest_cfl.out,25.499,25.499,120,900,236
Flowfields/no_hole.out,146.103,146.103,8000,438,41
Flowfields/realizable_mass_fractions.out,801.821,801.821,12000,900,74
Flowfields/simple_duct_2.out,7359.645,7359.645,250,900,32709
Flowfields/simple_duct.out,7266.587,7266.587,250,900,32295
Flowfields/species_conservation_1.out,267.644,267.644,8000,548,61
Flowfields/species_conservation_2.out,12.116,12.116,2000,178,34
Flowfields/species_conservation_3.out,185.977,185.977,1000,900,206
Flowfields/species_conservation_4.out,92.514,92.514,1000,900,102
Flowfields/symmetry_test_mpi.out,259.229,259.229,80,900,3600
Flowfields/symmetry_test.out,10.417,10.417,1000,317,32
Flowfields/tangential_velocity.out,326.332,326.332,25000,282,46
Flowfields/velocity_bc_test.out,4558.740,4558.740,375,900,13507
Heat_Transfer/adiabatic_net_flux.out,13.157,13.157,1000,312,42
Heat_Transfer/back_wall_test.out,515.519,515.519,84,900,6819
Heat_Transfer/convective_cooling.out,10.709,10.709,27,900,440
Heat_Transfer/convective_cooling_p00125.out,329.403,329.403,27,900,13555
Heat_Transfer/convective_cooling_p0025.out,85.849,85.849,27,900,3532
Heat_Transfer/convective_cooling_p005.out,21.644,21.644,27,900,890
Heat_Transfer/convective_cooling_p01.out,7.019,7.019,27,900,288
Heat_Transfer/convective_cooling_p025.out,0.667,0.667,27,900,27
Heat_Transfer/convective_cooling_p05.out,0.265,0.265,27,720,13
Heat_Transfer/convective_cooling_p1.out,0.241,0.241,27,180,49
Heat_Transfer/heat_conduction_a.out,0.992,0.992,27,900,40
Heat_Transfer/heat_conduction_b.out,11.511,11.511,27,900,473
Heat_Transfer/heat_conduction_c.out,36.777,36.777,27,900,1513
Heat_Transfer/heat_conduction_d.out,39.123,39.123,27,900,1610
Heat_Transfer/heat_conduction_kc.out,35.956,35.956,36,900,1109
Heat_Transfer/insulated_steel_column.out,1075.323,1075.323,2000,900,597
Heat_Transfer/insulated_steel_pipe.out,8.612,8.612,27,900,354
Heat_Transfer/insulated_steel_plate.out,6.358,6.358,27,900,261
HVAC/ashrae7_fixed_flow.out,14.149,14.149,8000,120,14
HVAC/ashrae7_quadratic.out,12.965,12.965,8000,120,13
HVAC/ashrae7_table.out,15.345,15.345,8000,120,15
HVAC/door_crack.out,3063.360,3063.360,8000,900,425
HVAC/fan_test.out,15.247,15.247,40,296,1287
