1/m,1/m,1/m,1/m,1/m,1/m
Wavenumber,Toluene,Methanol,Water,Benzene,Diesel
96,0,0,1489,0,0
2507,0,43,8850,0,0
4917,0,75,13216,216,0
7328,0,99,17989,226,0
9738,0,121,24877,215,0
12149,0,140,33892,167,0
14560,0,122,42903,123,0
16970,0,95,49360,128,0
19381,0,90,51899,109,0
21791,0,87,51036,107,0
24202,0,84,48847,105,0
26612,0,80,48021,111,0
29023,0,71,49974,115,0
31434,0,63,54195,115,0
33844,0,56,59776,114,0
36255,0,52,66211,146,0
38665,0,58,73217,233,0
41076,0,66,80629,326,0
43486,0,79,88310,218,0
45897,13961,94,96308,190,0
48308,1098,115,1.047e+05,174,0
50718,606,141,1.1343e+05,179,0
53129,488,174,1.2236e+05,257,0
55539,228,215,1.3112e+05,388,0
57950,245,270,1.3922e+05,636,0
60360,271,322,1.4621e+05,1186,0
62771,684,362,1.5024e+05,2809,0
65182,896,388,1.5227e+05,11855,0
67592,7404,394,1.5293e+05,3.7052e+05,0
70003,21992,374,1.5232e+05,10084,0
72413,1.0537e+05,339,1.5064e+05,2870,0
74824,8947,297,1.4655e+05,1355,0
77234,2188,254,1.3764e+05,797,0
79645,1576,207,1.2589e+05,553,0
82056,1196,164,1.1169e+05,699,0
84466,1446,127,95411,2176,0
86877,1272,99,78533,1069,0
89287,3550,82,63041,590,0
91698,1245,77,50434,550,0
94108,1577,83,41187,774,0
96519,1840,111,34883,1694,0
98930,1957,203,30869,2249,0
1.0134e+05,2799,1030,28225,3769,0
1.0375e+05,6845,3020,26460,35603,0
1.0616e+05,3862,366,25330,1524,0
1.0857e+05,7203,224,24597,653,0
1.1098e+05,2934,294,24070,678,0
1.1339e+05,1396,207,23941,1240,0
1.158e+05,2194,123,23968,2047,0
1.1821e+05,2803,108,24031,3129,0
1.2062e+05,2074,107,24412,1142,0
1.2304e+05,901,104,24435,724,0
1.2545e+05,1172,105,25029,887,0
1.2786e+05,957,113,25513,320,0
1.3027e+05,1247,126,25768,532,0
1.3268e+05,1531,143,26004,363,0
1.3509e+05,2047,177,26241,314,0
1.375e+05,5886,250,26540,567,0
1.3991e+05,3745,377,26876,2176,0
1.4232e+05,5247,440,27391,525,0
1.4473e+05,13044,519,28022,1119,0
1.4714e+05,12945,410,28809,21639,0
1.4955e+05,52671,249,30091,4049,0
1.5196e+05,6489,159,32015,3948,0
1.5437e+05,3097,119,35470,1470,0
