x,JP-8,EthTol,Ethanol,Heptane
0.372671,0.785185,0.539683,0.338272,0.91358
0.496894,0.716049,0.469136,0.270932,0.847737
0.621118,0.659259,0.424456,0.230335,0.788148
0.745342,0.607407,0.384245,0.198181,0.74274
1.38509,0.424691,0.260445,0.126604,0.562237
2.02484,0.330864,0.202469,0.0990291,0.462687
2.65839,0.271605,0.165432,0.0818171,0.39327
3.17391,0.22963,0.148555,0.0766034,0.353086
