m,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C
Height,TCA_60,TCB_60,TCC_60,TCA_120,TCB_120,TCC_120,TCA_180,TCB_180,TCC_180,TCA_360,TCB_360,TCC_360,TCA_720,TCB_720,TCC_720,TCA_1080,TCB_1080,TCC_1080
2.4,111.3,70.4,56.2,244.5,94.3,59.12,380.5,137,78.7,383.2,174.2,102.7,609.4,788,239.5,689,641.6,355.4
2.1,112.6,66.72,49.73,187.6,66.71,43.06,257.5,99.9,48.86,290.7,153.2,75.3,561.2,509.1,167.7,684.3,594.7,326.9
1.8,93.7,53.49,44.85,121.9,55.49,41.13,190.9,68.96,45.54,251.2,109.8,61.02,535.6,302.1,134.1,674.1,524.9,250.6
1.5,77.5,31.47,31.01,82.2,37.89,30.97,117.6,37.68,32.8,178.9,45.65,35.21,525.7,121.9,75.3,673.1,394.5,210.2
1.2,57.46,29.3,27.83,60.98,29.62,27.65,85,29.09,29.54,131.8,31.97,31.89,681.3,81.1,56.14,735,174,121.9
0.9,48.78,28.32,27.93,50.92,28.62,27.67,58.78,28.71,27.93,68.18,31.83,30.12,193.1,59.77,55.17,562.7,112.8,106.4
0.6,31.95,28.84,25.98,31.17,27.87,26.4,34.61,30.54,26.04,37.15,32.17,30.2,94,59.42,47.97,240.5,110,92.7
0.3,31.95,28.54,23.87,31.17,26.81,24.31,34.61,28.49,25.03,37.15,29.7,26.89,94,47.59,38.47,240.5,90,63.95
