x (m), T (C) kappa = 100 1/m, T (C) kappa = 2000 1/m
0.000000000000000000e+00,7.000000000000000000e+02,7.000000000000000000e+02
2.004008016032064125e-04,6.976188361845594272e+02,6.988768469947053745e+02
4.008016032064128250e-04,6.955266571453963707e+02,6.979090751769239205e+02
6.012024048096192104e-04,6.936758610803869942e+02,6.970056405941264757e+02
8.016032064128256500e-04,6.920271368002789814e+02,6.961302681586046219e+02
1.002004008016031981e-03,6.905478853945224955e+02,6.952673981923977635e+02
1.202404809619238421e-03,6.892109968124540273e+02,6.944099851770744181e+02
1.402805611222444860e-03,6.879938758724514400e+02,6.935546931409345461e+02
1.603206412825651300e-03,6.868776561070332036e+02,6.926998802812967142e+02
1.803607214428857740e-03,6.858465597561211098e+02,6.918447104100365550e+02
2.004008016032063962e-03,6.848873736384329050e+02,6.909887442540907614e+02
2.204408817635270402e-03,6.839890180363863692e+02,6.901317443257181594e+02
2.404809619238476841e-03,6.831421908901078268e+02,6.892735786047929878e+02
2.605210420841683281e-03,6.823390733586869601e+02,6.884141715573142619e+02
2.805611222444889721e-03,6.815730856354867910e+02,6.875534785551063806e+02
3.006012024048096160e-03,6.808386840776715871e+02,6.866914721974978875e+02
3.206412825651302600e-03,6.801311924072064130e+02,6.858281348429998161e+02
3.406813627254509039e-03,6.794466610823234305e+02,6.849634544559577307e+02
3.607214428857715479e-03,6.787817500096732601e+02,6.840974222590918998e+02
3.807615230460921919e-03,6.781336306294064116e+02,6.832300313877095732e+02
4.008016032064127925e-03,6.774999041035700884e+02,6.823612761084328895e+02
4.208416833667334364e-03,6.768785329066190570e+02,6.814911513605975415e+02
4.408817635270540804e-03,6.762677835817069081e+02,6.806196524844018541e+02
4.609218436873747243e-03,6.756661788079558164e+02,6.797467750583409725e+02
4.809619238476953683e-03,6.750724572380783002e+02,6.788725148012335922e+02
5.010020040080160122e-03,6.744855398250520011e+02,6.779968675127561255e+02
5.210420841683366562e-03,6.739045015711118367e+02,6.771198290371222583e+02
5.410821643286573002e-03,6.733285478101547596e+02,6.762413952407662237e+02
5.611222444889779441e-03,6.727569942822854046e+02,6.753615619985548619e+02
5.811623246492985881e-03,6.721892503819532294e+02,6.744803251852290487e+02
6.012024048096192320e-03,6.716248050632392506e+02,6.735976806700570023e+02
6.212424849699398760e-03,6.710632149709224450e+02,6.727136243134827964e+02
6.412825651302605200e-03,6.705040944368429336e+02,6.718281519650096243e+02
6.613226452905811639e-03,6.699471070402319128e+02,6.709412594618538606e+02
6.813627254509018079e-03,6.693919584800189568e+02,6.700529426280842245e+02
7.014028056112224518e-03,6.688383905483385661e+02,6.691631972740608489e+02
7.214428857715430958e-03,6.682861760288794812e+02,6.682720191960704597e+02
7.414829659318637398e-03,6.677351143724531539e+02,6.673794041760783102e+02
7.615230460921843837e-03,6.671850280262125352e+02,6.664853479815581068e+02
7.815631262525050277e-03,6.666357593130072701e+02,6.655898463653710451e+02
8.016032064128255849e-03,6.660871677741680514e+02,6.646928950656764528e+02
8.216432865731463156e-03,6.655391279030486658e+02,6.637944898058598255e+02
8.416833667334668728e-03,6.649915272083784430e+02,6.628946262944774617e+02
8.617234468937876035e-03,6.644442645563176484e+02,6.619933002252062124e+02
8.817635270541081607e-03,6.638972487483017630e+02,6.610905072768013042e+02
9.018036072144288914e-03,6.633503972986425197e+02,6.601862431130549567e+02
9.218436873747494487e-03,6.628036353815951998e+02,6.592805033827603438e+02
9.418837675350701794e-03,6.622568949224248627e+02,6.583732837196754417e+02
9.619238476953907366e-03,6.617101138110205056e+02,6.574645797424885814e+02
9.819639278557114673e-03,6.611632352199874276e+02,6.565543870547855931e+02
1.002004008016032024e-02,6.606162070119805776e+02,6.556427012450167240e+02
1.022044088176352755e-02,6.600689812233950988e+02,6.547295178864641230e+02
1.042084168336673312e-02,6.595215136135351486e+02,6.538148325372119416e+02
1.062124248496994043e-02,6.589737632700386030e+02,6.528986407401131373e+02
1.082164328657314600e-02,6.584256922627408812e+02,6.519809380227615065e+02
1.102204408817635331e-02,6.578772653393345990e+02,6.510617198974592839e+02
1.122244488977955888e-02,6.573284496571733371e+02,6.501409818611905393e+02
1.142284569138276619e-02,6.567792145464052282e+02,6.492187193955893463e+02
1.162324649298597176e-02,6.562295313003139654e+02,6.482949279669123825e+02
1.182364729458917907e-02,6.556793729893558975e+02,6.473696030260122143e+02
1.202404809619238464e-02,6.551287142958602772e+02,6.464427400083076236e+02
1.222444889779559195e-02,6.545775313668077615e+02,6.455143343337581427e+02
1.242484969939879752e-02,6.540258016824445804e+02,6.445843814068367692e+02
1.262525050100200483e-02,6.534735039388045834e+02,6.436528766165046136e+02
1.282565130260521040e-02,6.529206179424675156e+02,6.427198153361849791e+02
1.302605210420841597e-02,6.523671245161062870e+02,6.417851929237386912e+02
1.322645290581162328e-02,6.518130054135668843e+02,6.408490047214410197e+02
1.342685370741482885e-02,6.512582432433781605e+02,6.399112460559559850e+02
1.362725450901803616e-02,6.507028213997430157e+02,6.389719122383140757e+02
1.382765531062124173e-02,6.501467240001677510e+02,6.380309985638909893e+02
1.402805611222444904e-02,6.495899358289969996e+02,6.370885003123842125e+02
1.422845691382765461e-02,6.490324422862126994e+02,6.361444127477922166e+02
1.442885771543086192e-02,6.484742293409281046e+02,6.351987311183953580e+02
1.462925851703406749e-02,6.479152834890762733e+02,6.342514506567333683e+02
1.482965931863727480e-02,6.473555917148539720e+02,6.333025665795888699e+02
1.503006012024048037e-02,6.467951414555282099e+02,6.323520740879670257e+02
1.523046092184368767e-02,6.462339205692651376e+02,6.313999683670787135e+02
