Time,Center,Side,Corner,T,c,c2
0,20,20,20,0,1.089,NaN
1800,31,764,835,99.9,1.089,NaN
3600,85,904,943,100,5.790,1.089
5400,147,978,1005,120,1.,1
7200,272,1028,1048,200,1.,NaN
9000,393,1066,1082,400,1.,NaN
10800,500,1097,1109,500,1.,NaN
