Time,Ts
0.000000,1000.000000
36.734694,815.774230
73.469388,754.955706
110.204082,713.144806
146.938776,680.776635
183.673469,654.228635
220.408163,631.680633
257.142857,612.072069
293.877551,594.724576
330.612245,579.175253
367.346939,565.092800
404.081633,552.231232
440.816327,540.402506
477.551020,529.459408
514.285714,519.284390
551.020408,509.782011
587.755102,500.873661
624.489796,492.493788
661.224490,484.587131
697.959184,477.106656
734.693878,470.011989
771.428571,463.268208
808.163265,456.844897
844.897959,450.715401
881.632653,444.856226
918.367347,439.246559
955.102041,433.867872
991.836735,428.703600
1028.571429,423.738872
1065.306122,418.960289
1102.040816,414.355734
1138.775510,409.914215
1175.510204,405.625730
1212.244898,401.481151
1248.979592,397.472127
1285.714286,393.590996
1322.448980,389.830715
1359.183673,386.184792
1395.918367,382.647232
1432.653061,379.212487
1469.387755,375.875414
1506.122449,372.631236
1542.857143,369.475508
1579.591837,366.404088
1616.326531,363.413110
1653.061224,360.498959
1689.795918,357.658252
1726.530612,354.887817
1763.265306,352.184678
1800.000000,349.546036
