s,C,C,C,C,C,C
Time,Ts_x195_40,Ts_x145_30,Ts_x095_20,Ts_x025_40,Ts_x195_1,Ts_x025_1
0.0,309.5,20.0,20.0,20.0,20.0,20.0
100.0,726.3,176.6,28.3,20.2,20.0,20.0
200.0,748.8,303.0,59.6,24.5,20.5,20.0
300.0,758.4,373.9,94.7,36.5,23.0,20.2
400.0,764.0,419.4,126.0,53.8,28.0,20.9
500.0,767.8,451.3,152.7,72.8,35.3,22.4
600.0,770.5,475.2,175.3,91.7,44.2,24.7
700.0,772.6,493.7,194.7,109.6,54.2,27.9
800.0,774.2,508.6,211.5,126.1,64.8,31.8
900.0,775.5,520.8,226.1,141.1,75.7,36.2
1000.0,776.6,530.9,239.1,154.8,86.6,41.1
1100.0,777.5,539.5,250.6,167.2,97.5,46.3
1200.0,778.2,546.9,261.0,178.5,108.1,51.7
1300.0,778.9,553.4,270.4,188.9,118.5,57.3
1400.0,779.4,559.0,279.0,198.3,128.6,63.0
1500.0,779.9,564.0,287.0,207.1,138.4,68.7
1600.0,780.4,568.5,294.3,215.2,147.8,74.4
1700.0,780.7,572.5,301.2,222.7,156.8,80.2
1800.0,781.1,576.2,307.6,229.7,165.5,85.9
1900.0,781.4,579.6,313.7,236.3,173.9,91.5
2000.0,781.7,582.7,319.4,242.5,182.0,97.1
2100.0,781.9,585.5,324.8,248.4,189.7,102.6
2200.0,782.2,588.2,330.0,253.9,197.2,108.1
2300.0,782.4,590.7,334.9,259.2,204.3,113.4
2400.0,782.6,593.1,339.6,264.3,211.2,118.7
2500.0,782.8,595.3,344.1,269.1,217.9,123.9
2600.0,783.0,597.4,348.5,273.7,224.3,129.1
2700.0,783.2,599.5,352.7,278.2,230.4,134.1
2800.0,783.3,601.4,356.7,282.5,236.4,139.1
2900.0,783.5,603.2,360.6,286.7,242.1,144.0
3000.0,783.7,605.0,364.4,290.8,247.7,148.8
3100.0,783.8,606.7,368.1,294.7,253.1,153.5
3200.0,783.9,608.4,371.7,298.5,258.3,158.2
3300.0,784.1,610.0,375.1,302.2,263.3,162.8
3400.0,784.2,611.5,378.5,305.9,268.2,167.3
3500.0,784.3,613.0,381.8,309.4,273.0,171.7
