y,T_long,x,T_wide
0.00,183,0.00,194
0.25,182,0.25,181
0.50,181,0.50,111
0.75,167,0.75, 39
1.00,102,1.00, 25
1.25, 37,NaN,NaN
1.50, 22,NaN,NaN
1.75, 20,NaN,NaN
2.00, 20,NaN,NaN
