m,C
Depth,Temperature
 0.0000000E+000, 3.6503311E+002
 9.0909091E-004, 3.5980734E+002
 2.7272727E-003, 3.4935583E+002
 6.3636364E-003, 3.2845286E+002
 1.3636364E-002, 2.8664725E+002
 1.7272727E-002, 2.6574463E+002
 1.9090909E-002, 2.5529337E+002
 2.0000000E-002, 2.5197614E+002
 2.2500000E-002, 2.5001027E+002
 2.7500000E-002, 2.4989533E+002
 3.0000000E-002, 2.4793017E+002
 3.0909091E-002, 2.4461416E+002
 3.2727273E-002, 2.3416678E+002
 3.6363636E-002, 2.1327212E+002
 4.3636364E-002, 1.7148316E+002
 4.7272727E-002, 1.5058885E+002
 4.9090909E-002, 1.4014172E+002
 5.0000000E-002, 1.3491816E+002
