dx,dx^2,relative error
1.000e-03, 1.000e-03, 3.22446e-04
5.000e-04, 2.500e-04, 7.97790e-05
2.500e-04, 6.250e-05, 1.99079e-05
1.000e-04, 1.000e-05, 3.11145e-06
5.000e-05, 2.500e-06, 7.74855e-07
2.500e-05, 6.250e-07, 1.98750e-07
1.250e-05, 1.563e-07, 4.96835e-08
