m,C
TS-x,TS
-0.45, 191.0
-0.35, 173.0
-0.25, 155.0
-0.15, 137.0
-0.05, 119.0
 0.05, 101.0
 0.15, 83.0
 0.25, 65.0
 0.35, 47.0
 0.45, 29.0
