m,C
Depth,Temperature
 0.0000000E+000, 4.4013736E+002
 9.0909091E-004, 4.3831149E+002
 2.7272727E-003, 4.3457350E+002
 6.3636364E-003, 4.2672346E+002
 1.3636364E-002, 4.0923757E+002
 1.7272727E-002, 3.9946008E+002
 1.9090909E-002, 3.9425883E+002
 2.0000000E-002, 3.9256394E+002
 2.2500000E-002, 3.9154062E+002
 2.7500000E-002, 3.9147200E+002
 3.0000000E-002, 3.9011229E+002
 3.0909091E-002, 3.8775881E+002
 3.2727273E-002, 3.8004721E+002
 3.6363636E-002, 3.6290208E+002
 4.3636364E-002, 3.1799928E+002
 4.7272727E-002, 2.8767580E+002
 4.9090909E-002, 2.6919753E+002
 5.0000000E-002, 2.5879545E+002
