Time,Back,8 cm,6 cm,4 cm,2 cm,Front
0,20,20,20,20,20,20
50,20,20,20,20,23.66,112.1
100,20,20,20,20.38,33.85,114.39
200,20,20.01,20.23,24.06,49.43,116.02
300,20.01,20.1,21.28,29.44,59.17,116.75
400,20.07,20.42,23.11,34.74,65.81,117.18
500,20.28,21.06,25.39,39.5,70.69,117.48
600,20.71,21.99,27.84,43.68,74.45,117.7
700,21.39,23.17,30.33,47.34,77.48,117.87
800,22.32,24.54,32.78,50.56,79.97,118.01
900,23.46,26.07,35.15,53.41,82.07,118.12
1000,24.79,27.7,37.43,55.97,83.88,118.22
1100,26.27,29.42,39.62,58.28,85.45,118.3
1200,27.86,31.19,41.72,60.38,86.85,118.37
1300,29.53,32.99,43.74,62.3,88.09,118.44
1400,31.27,34.81,45.68,64.09,89.21,118.49
1500,33.05,36.64,47.55,65.75,90.24,118.55
1600,34.85,38.47,49.37,67.31,91.18,118.59
1700,36.66,40.29,51.12,68.78,92.06,118.64
1800,38.47,42.08,52.82,70.17,92.87,118.68
1900,40.27,43.86,54.46,71.5,93.64,118.72
2000,42.06,45.61,56.06,72.77,94.37,118.75
