Time,T_0.5,T_3.0,T_8.0
0.000,20.000,20.000,20.000
0.500,26.321,21.535,20.606
1.000,28.647,22.835,21.175
1.500,29.502,23.935,21.710
2.000,29.817,24.866,22.212
2.500,29.933,25.654,22.684
3.000,29.975,26.321,23.127
3.500,29.991,26.886,23.544
4.000,29.997,27.364,23.935
4.500,29.999,27.769,24.302
5.000,30.000,28.111,24.647
5.500,30.000,28.401,24.972
6.000,30.000,28.647,25.276
6.500,30.000,28.854,25.563
7.000,30.000,29.030,25.831
7.500,30.000,29.179,26.084
8.000,30.000,29.305,26.321
8.500,30.000,29.412,26.544
9.000,30.000,29.502,26.753
9.500,30.000,29.579,26.950
10.000,30.000,29.643,27.135
10.500,30.000,29.698,27.309
11.000,30.000,29.744,27.472
11.500,30.000,29.784,27.625
12.000,30.000,29.817,27.769
12.500,30.000,29.845,27.904
13.000,30.000,29.869,28.031
13.500,30.000,29.889,28.150
14.000,30.000,29.906,28.262
14.500,30.000,29.920,28.368
15.000,30.000,29.933,28.466
15.500,30.000,29.943,28.559
16.000,30.000,29.952,28.647
16.500,30.000,29.959,28.729
17.000,30.000,29.965,28.806
17.500,30.000,29.971,28.878
18.000,30.000,29.975,28.946
18.500,30.000,29.979,29.010
19.000,30.000,29.982,29.070
19.500,30.000,29.985,29.126
20.000,30.000,29.987,29.179
