Time,Back,8 cm,6 cm,4 cm,2 cm,Front
0,20,20,20,20,20,20
50,20,20,20,20,21.26,67.68
100,20,20,20,20.14,26.33,77.24
150,20,20,20.02,20.79,31.93,82.68
200,20,20,20.1,21.99,36.99,86.38
400,20.03,20.22,21.75,29.14,51.53,94.46
800,21.43,22.94,28.82,42.4,66.74,101.12
1200,25.44,28,36.32,51.76,74.94,104.32
1600,30.99,33.98,43.14,58.71,80.31,106.32
2000,37.07,40.14,49.3,64.28,84.28,107.75
4000,64.26,66.51,73.09,83.48,96.85,112.1
6000,82.93,84.43,88.82,95.74,104.62,114.76
8000,95.36,96.36,99.27,103.87,109.78,116.51
10000,103.62,104.28,106.22,109.28,113.21,117.68
12000,109.11,109.55,110.84,112.87,115.48,118.46
14000,112.76,113.05,113.91,115.26,117,118.98
