Radius,Temp
0.0100,259.67
0.0105,265.52
0.0110,271.09
0.0115,276.42
0.0120,281.52
0.0125,286.41
0.0130,291.11
0.0135,295.64
0.0140,299.99
0.0145,304.20
0.0150,308.26
0.0155,312.19
0.0160,316.00
0.0165,319.68
0.0170,323.26
0.0175,326.74
0.0180,330.11
0.0185,333.39
0.0190,336.59
0.0195,339.70
0.0200,342.74
0.0205,345.70
0.0210,348.58
0.0215,351.40
0.0220,354.16
0.0225,356.85
0.0230,359.49
0.0235,362.06
0.0240,364.59
0.0245,367.06
0.0250,369.48
0.0255,371.85
0.0260,374.18
0.0265,376.46
0.0270,378.70
0.0275,380.90
0.0280,383.06
0.0285,385.18
0.0290,387.26
0.0295,389.31
0.0300,391.33
0.0305,391.33
0.0310,391.34
0.0315,391.35
0.0320,391.36
0.0325,391.37
0.0330,391.37
0.0335,391.38
0.0340,391.39
0.0345,391.39
0.0350,391.40
0.0355,391.41
0.0360,391.41
0.0365,391.42
0.0370,391.43
0.0375,391.43
0.0380,391.44
0.0385,391.45
0.0390,391.45
0.0395,391.46
0.0400,391.46
0.0405,392.95
0.0410,394.42
0.0415,395.88
0.0420,397.31
0.0425,398.73
0.0430,400.13
0.0435,401.52
0.0440,402.89
0.0445,404.24
0.0450,405.58
0.0455,406.90
0.0460,408.21
0.0465,409.51
0.0470,410.79
0.0475,412.06
0.0480,413.31
0.0485,414.56
0.0490,415.78
0.0495,417.00
0.0500,418.21
0.0505,419.40
0.0510,420.58
0.0515,421.75
0.0520,422.91
0.0525,424.05
0.0530,425.19
0.0535,426.31
0.0540,427.43
0.0545,428.53
0.0550,429.63
0.0555,430.71
0.0560,431.79
0.0565,432.85
0.0570,433.91
0.0575,434.95
0.0580,435.99
0.0585,437.02
0.0590,438.04
0.0595,439.05
0.0600,440.05
