Time,Back,8 cm,6 cm,4 cm,2 cm,Front
0,20,20,20,20,20,20
500,20.02,20.11,20.63,22.74,28.69,40.96
1000,20.69,21.22,23.16,27.48,35.38,47.64
2000,24.94,26.03,29.43,35.39,44.12,55.66
3000,30.82,32.04,35.72,41.84,50.36,61.11
4000,36.9,38.1,41.67,47.55,55.59,65.58
5000,42.75,43.88,47.24,52.76,60.26,69.55
6000,48.23,49.29,52.43,57.57,64.55,73.17
7000,53.34,54.33,57.25,62.02,68.51,76.52
8000,58.1,59.01,61.73,66.16,72.19,79.63
9000,62.51,63.36,65.88,70,75.6,82.51
10000,66.61,67.4,69.74,73.57,78.77,85.18
15000,83.13,83.67,85.29,87.93,91.52,95.95
20000,94.53,94.91,96.03,97.85,100.33,103.39
25000,102.41,102.67,103.44,104.7,106.41,108.53
30000,107.85,108.03,108.56,109.43,110.62,112.08
35000,111.61,111.73,112.1,112.7,113.52,114.53
40000,114.2,114.29,114.54,114.96,115.52,116.22
45000,116,116.06,116.23,116.52,116.91,117.39
50000,117.24,117.28,117.4,117.6,117.86,118.2
