Z,TEMP_LL,TEMP_MM,TEMP_RR
 m,C,C,C
 0.00000E+00, 0.20002E+02, 0.20000E+02, 0.20000E+02
 0.10000E+00, 0.20001E+02, 0.39079E+02, 0.35621E+02
 0.20000E+00, 0.20001E+02, 0.37584E+02, 0.34802E+02
 0.30000E+00, 0.40971E+03, 0.37273E+02, 0.34323E+02
 0.40000E+00, 0.42251E+03, 0.39120E+02, 0.35680E+02
 0.50000E+00, 0.44682E+03, 0.40949E+02, 0.38441E+02
 0.60000E+00, 0.46591E+03, 0.43175E+02, 0.41809E+02
 0.70000E+00, 0.47404E+03, 0.45170E+02, 0.44495E+02
 0.80000E+00, 0.47346E+03, 0.46831E+02, 0.46503E+02
 0.90000E+00, 0.46891E+03, 0.48593E+02, 0.48628E+02
 0.10000E+01, 0.46412E+03, 0.53765E+02, 0.55916E+02
 0.11000E+01, 0.46547E+03, 0.75237E+02, 0.78166E+02
 0.12000E+01, 0.46861E+03, 0.14085E+03, 0.12273E+03
 0.13000E+01, 0.46786E+03, 0.27368E+03, 0.17792E+03
 0.14000E+01, 0.46861E+03, 0.40654E+03, 0.21928E+03
 0.15000E+01, 0.47216E+03, 0.45780E+03, 0.24563E+03
 0.16000E+01, 0.47604E+03, 0.45964E+03, 0.27261E+03
 0.17000E+01, 0.48228E+03, 0.45492E+03, 0.30359E+03
 0.18000E+01, 0.49177E+03, 0.45003E+03, 0.33322E+03
 0.19000E+01, 0.50543E+03, 0.45143E+03, 0.36561E+03
 0.20000E+01, 0.52344E+03, 0.45996E+03, 0.40092E+03
 0.21000E+01, 0.54076E+03, 0.47376E+03, 0.42918E+03
 0.22000E+01, 0.54822E+03, 0.48669E+03, 0.44271E+03
 0.23000E+01, 0.42047E+03, 0.49164E+03, 0.44474E+03
 0.24000E+01, 0.42621E+03, 0.20000E+02, 0.19975E+02
