Z,TEMP_LL,TEMP_MM,TEMP_RR
 m,C,C,C
 0.00000E+00, 0.20000E+02, 0.20000E+02, 0.20000E+02
 0.10000E+00, 0.20000E+02, 0.97584E+02, 0.95127E+02
 0.20000E+00, 0.20000E+02, 0.98738E+02, 0.96310E+02
 0.30000E+00, 0.76514E+02, 0.10030E+03, 0.97718E+02
 0.40000E+00, 0.79749E+02, 0.10103E+03, 0.98667E+02
 0.50000E+00, 0.86186E+02, 0.10160E+03, 0.99474E+02
 0.60000E+00, 0.93466E+02, 0.10232E+03, 0.10059E+03
 0.70000E+00, 0.98571E+02, 0.10289E+03, 0.10214E+03
 0.80000E+00, 0.94661E+02, 0.10306E+03, 0.10353E+03
 0.90000E+00, 0.97548E+02, 0.10396E+03, 0.10499E+03
 0.10000E+01, 0.11073E+03, 0.10621E+03, 0.10591E+03
 0.11000E+01, 0.11887E+03, 0.10933E+03, 0.10663E+03
 0.12000E+01, 0.12304E+03, 0.11202E+03, 0.10786E+03
 0.13000E+01, 0.12499E+03, 0.11346E+03, 0.11084E+03
 0.14000E+01, 0.12590E+03, 0.11438E+03, 0.11562E+03
 0.15000E+01, 0.12684E+03, 0.11558E+03, 0.12012E+03
 0.16000E+01, 0.12789E+03, 0.11683E+03, 0.12338E+03
 0.17000E+01, 0.12911E+03, 0.11792E+03, 0.12589E+03
 0.18000E+01, 0.13126E+03, 0.11936E+03, 0.12779E+03
 0.19000E+01, 0.13464E+03, 0.12108E+03, 0.12956E+03
 0.20000E+01, 0.13946E+03, 0.12261E+03, 0.13156E+03
 0.21000E+01, 0.14480E+03, 0.12353E+03, 0.13318E+03
 0.22000E+01, 0.14729E+03, 0.12324E+03, 0.13249E+03
 0.23000E+01, 0.11376E+03, 0.12267E+03, 0.13120E+03
 0.24000E+01, 0.11234E+03, 0.20000E+02, 0.20001E+02
