Z,TEMP_LL,TEMP_MM,TEMP_RR
 m,C,C,C
 0.00000E+00, 0.20000E+02, 0.20000E+02, 0.20000E+02
 0.10000E+00, 0.20000E+02, 0.17153E+03, 0.18183E+03
 0.20000E+00, 0.20000E+02, 0.17724E+03, 0.19580E+03
 0.30000E+00, 0.13722E+03, 0.18557E+03, 0.22415E+03
 0.40000E+00, 0.14795E+03, 0.19401E+03, 0.24871E+03
 0.50000E+00, 0.16865E+03, 0.20410E+03, 0.26748E+03
 0.60000E+00, 0.18205E+03, 0.21212E+03, 0.28470E+03
 0.70000E+00, 0.18806E+03, 0.22085E+03, 0.30004E+03
 0.80000E+00, 0.19314E+03, 0.23311E+03, 0.30887E+03
 0.90000E+00, 0.19673E+03, 0.24463E+03, 0.31343E+03
 0.10000E+01, 0.19847E+03, 0.25324E+03, 0.31783E+03
 0.11000E+01, 0.20019E+03, 0.26055E+03, 0.32181E+03
 0.12000E+01, 0.20058E+03, 0.26593E+03, 0.32598E+03
 0.13000E+01, 0.19744E+03, 0.27000E+03, 0.32917E+03
 0.14000E+01, 0.19243E+03, 0.27132E+03, 0.33119E+03
 0.15000E+01, 0.18733E+03, 0.26866E+03, 0.33252E+03
 0.16000E+01, 0.18310E+03, 0.26484E+03, 0.33468E+03
 0.17000E+01, 0.18202E+03, 0.26145E+03, 0.33673E+03
 0.18000E+01, 0.18323E+03, 0.25763E+03, 0.33791E+03
 0.19000E+01, 0.18378E+03, 0.25532E+03, 0.34080E+03
 0.20000E+01, 0.18387E+03, 0.25379E+03, 0.34536E+03
 0.21000E+01, 0.18395E+03, 0.25448E+03, 0.35231E+03
 0.22000E+01, 0.18389E+03, 0.25486E+03, 0.35428E+03
 0.23000E+01, 0.15070E+03, 0.25343E+03, 0.35191E+03
 0.24000E+01, 0.15243E+03, 0.20000E+02, 0.20006E+02
