Z,TEMP_LL,TEMP_MM,TEMP_RR
 m,C,C,C
 0.00000E+00, 0.19999E+02, 0.20000E+02, 0.20000E+02
 0.10000E+00, 0.19999E+02, 0.23370E+02, 0.21452E+02
 0.20000E+00, 0.19999E+02, 0.23085E+02, 0.21750E+02
 0.30000E+00, 0.43346E+02, 0.22897E+02, 0.22724E+02
 0.40000E+00, 0.51796E+02, 0.23152E+02, 0.24175E+02
 0.50000E+00, 0.10593E+03, 0.23830E+02, 0.25181E+02
 0.60000E+00, 0.21710E+03, 0.24561E+02, 0.25573E+02
 0.70000E+00, 0.34187E+03, 0.24739E+02, 0.25984E+02
 0.80000E+00, 0.46404E+03, 0.24953E+02, 0.26560E+02
 0.90000E+00, 0.54847E+03, 0.25017E+02, 0.27663E+02
 0.10000E+01, 0.56029E+03, 0.24950E+02, 0.29535E+02
 0.11000E+01, 0.53699E+03, 0.25155E+02, 0.33525E+02
 0.12000E+01, 0.51858E+03, 0.33179E+02, 0.46111E+02
 0.13000E+01, 0.50760E+03, 0.74596E+02, 0.74266E+02
 0.14000E+01, 0.49617E+03, 0.16390E+03, 0.11077E+03
 0.15000E+01, 0.48608E+03, 0.28004E+03, 0.13816E+03
 0.16000E+01, 0.47771E+03, 0.38178E+03, 0.15709E+03
 0.17000E+01, 0.47440E+03, 0.43003E+03, 0.18004E+03
 0.18000E+01, 0.47538E+03, 0.43845E+03, 0.20577E+03
 0.19000E+01, 0.47948E+03, 0.43527E+03, 0.23012E+03
 0.20000E+01, 0.48738E+03, 0.44183E+03, 0.25758E+03
 0.21000E+01, 0.49700E+03, 0.46265E+03, 0.28889E+03
 0.22000E+01, 0.50945E+03, 0.48231E+03, 0.32064E+03
 0.23000E+01, 0.51986E+03, 0.48827E+03, 0.33654E+03
 0.24000E+01, 0.52293E+03, 0.47602E+03, 0.18866E+02
