s,s,s,s,s,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C
FDS Time,"TIMER1","TIMER2","TIMER3","rear_door","TC_A1","TC_A2","TC_A3","TC_A4","TC_A5","TC_A6","TC_A7","TC_B1","TC_B2","TC_B3","TC_B4","TC_B5","TC_B6","TC_B7","TC_C1","TC_C2","TC_C3","TC_C4","TC_C5","TC_C6","TC_C7"
 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 2.0000000E+001, 2.0000000E+001, 2.0000000E+001, 2.0000000E+001, 2.0000000E+001, 2.0000000E+001, 2.0000000E+001, 2.0000000E+001, 2.0000000E+001, 2.0000000E+001, 2.0000000E+001, 2.0000000E+001, 2.0000000E+001, 2.0000000E+001, 2.0000000E+001, 2.0000000E+001, 2.0000000E+001, 2.0000000E+001, 2.0000000E+001, 2.0000000E+001, 2.0000000E+001
 5.0066390E+000, 2.9988328E+000, 2.9988328E+000, 2.9988328E+000, 2.9988328E+000, 1.8404168E+002, 1.9544306E+002, 9.4060578E+001, 5.4550043E+001, 3.5175511E+001, 3.0885097E+001, 2.8466523E+001, 2.1138256E+001, 2.1082706E+001, 2.1817925E+001, 2.2521282E+001, 2.2309748E+001, 2.1229710E+001, 2.0835585E+001, 2.0016356E+001, 2.0017655E+001, 2.0029449E+001, 2.1122880E+001, 2.1753320E+001, 2.1411915E+001, 2.0687517E+001
 1.0005685E+001, 7.4785758E+000, 7.4785758E+000, 7.4785758E+000, 7.4785758E+000, 4.3155101E+002, 4.3639621E+002, 2.5916741E+002, 2.3037184E+002, 1.0252098E+002, 6.1534037E+001, 3.8113392E+001, 1.0554500E+002, 5.7960029E+001, 2.9978161E+001, 2.5757612E+001, 2.3973244E+001, 2.1649438E+001, 2.1187587E+001, 2.0023610E+001, 2.0024387E+001, 2.0046923E+001, 2.1016249E+001, 2.1801536E+001, 2.1598062E+001, 2.0903251E+001
 1.5002501E+001, 1.2549003E+001, 1.2549003E+001, 1.2549003E+001, 1.2549003E+001, 5.6436473E+002, 5.6364005E+002, 3.6119642E+002, 3.0181639E+002, 2.3214376E+002, 6.9024576E+001, 3.9350411E+001, 1.9867281E+002, 1.4910145E+002, 7.9501746E+001, 3.4770504E+001, 2.7309686E+001, 2.2873329E+001, 2.2124835E+001, 3.1753129E+001, 2.4949853E+001, 2.0949648E+001, 2.0749548E+001, 2.1788778E+001, 2.1853487E+001, 2.1259149E+001
 2.0015965E+001, 1.7499434E+001, 1.7499434E+001, 1.7499434E+001, 1.7499434E+001, 5.3968417E+002, 4.8521969E+002, 3.7558775E+002, 3.6222505E+002, 3.0185988E+002, 1.1661863E+002, 5.3739940E+001, 2.6729250E+002, 2.1282502E+002, 1.1657918E+002, 3.3692721E+001, 2.7097798E+001, 2.3968801E+001, 2.3531441E+001, 3.7808322E+001, 2.8106456E+001, 2.1421108E+001, 2.1065415E+001, 2.1890673E+001, 2.1853178E+001, 2.1443851E+001
 2.5009886E+001, 2.2521193E+001, 2.2521193E+001, 2.2521193E+001, 2.2521193E+001, 4.4067027E+002, 3.9821262E+002, 3.5487095E+002, 3.5510836E+002, 3.4118464E+002, 1.9133539E+002, 5.5155410E+001, 2.8408496E+002, 2.6283773E+002, 1.4912807E+002, 3.5129522E+001, 2.9285718E+001, 2.6135248E+001, 2.4895454E+001, 5.3308114E+001, 3.0375884E+001, 2.0372943E+001, 2.1646098E+001, 2.2449552E+001, 2.2435951E+001, 2.1913067E+001
 3.0003805E+001, 2.7515114E+001, 2.7515114E+001, 2.7515114E+001, 2.7515114E+001, 3.8162417E+002, 3.6058021E+002, 3.5283806E+002, 3.5678092E+002, 3.9915662E+002, 2.1701892E+002, 5.8788660E+001, 2.9966719E+002, 2.6572839E+002, 1.8951681E+002, 3.6511222E+001, 2.8798020E+001, 2.6881665E+001, 2.5615445E+001, 8.3213712E+001, 5.0266031E+001, 2.4409961E+001, 2.3268978E+001, 2.2924159E+001, 2.3116298E+001, 2.2521046E+001
 3.5014263E+001, 3.2517303E+001, 3.2517303E+001, 3.2517303E+001, 3.2517303E+001, 2.9618134E+002, 3.7827754E+002, 3.6509943E+002, 3.6870953E+002, 4.0740714E+002, 2.9634249E+002, 6.7912250E+001, 3.0200361E+002, 2.6878567E+002, 2.0206080E+002, 5.6330462E+001, 2.8829865E+001, 2.6254504E+001, 2.5472868E+001, 8.9780880E+001, 6.2191387E+001, 3.6856421E+001, 3.0589849E+001, 2.4665842E+001, 2.2898050E+001, 2.2408373E+001
 4.0008183E+001, 3.7519491E+001, 3.7519491E+001, 3.7519491E+001, 3.7519491E+001, 3.0590057E+002, 4.4570351E+002, 3.8866378E+002, 3.9691744E+002, 4.0869687E+002, 2.3378108E+002, 7.9221647E+001, 3.0486809E+002, 2.7034206E+002, 2.3870833E+002, 8.3190031E+001, 3.1554658E+001, 2.7228482E+001, 2.5402131E+001, 1.0974391E+002, 6.9579312E+001, 5.1022482E+001, 3.5191201E+001, 2.3471287E+001, 2.2438940E+001, 2.2062712E+001
