Z,TEMP_LL,TEMP_MM,TEMP_RR
 m,C,C,C
 0.00000E+00, 0.20005E+02, 0.20000E+02, 0.20000E+02
 0.10000E+00, 0.20004E+02, 0.46506E+03, 0.22793E+03
 0.20000E+00, 0.20004E+02, 0.49608E+03, 0.29033E+03
 0.30000E+00, 0.20000E+02, 0.56637E+03, 0.38232E+03
 0.40000E+00, 0.20000E+02, 0.63532E+03, 0.45027E+03
 0.50000E+00, 0.20000E+02, 0.67145E+03, 0.53117E+03
 0.60000E+00, 0.20000E+02, 0.68408E+03, 0.60818E+03
 0.70000E+00, 0.20000E+02, 0.67004E+03, 0.66134E+03
 0.80000E+00, 0.13421E+03, 0.63688E+03, 0.69099E+03
 0.90000E+00, 0.21666E+03, 0.61544E+03, 0.70710E+03
 0.10000E+01, 0.32781E+03, 0.59992E+03, 0.71140E+03
 0.11000E+01, 0.37171E+03, 0.58082E+03, 0.70382E+03
 0.12000E+01, 0.39215E+03, 0.56419E+03, 0.69120E+03
 0.13000E+01, 0.39655E+03, 0.55406E+03, 0.68316E+03
 0.14000E+01, 0.39006E+03, 0.54686E+03, 0.68219E+03
 0.15000E+01, 0.38103E+03, 0.54642E+03, 0.68850E+03
 0.16000E+01, 0.37547E+03, 0.54703E+03, 0.69203E+03
 0.17000E+01, 0.37238E+03, 0.55041E+03, 0.69066E+03
 0.18000E+01, 0.37070E+03, 0.56019E+03, 0.69050E+03
 0.19000E+01, 0.37025E+03, 0.56751E+03, 0.69176E+03
 0.20000E+01, 0.37149E+03, 0.57157E+03, 0.69202E+03
 0.21000E+01, 0.37754E+03, 0.57996E+03, 0.68777E+03
 0.22000E+01, 0.38267E+03, 0.58837E+03, 0.68346E+03
 0.23000E+01, 0.28615E+03, 0.59092E+03, 0.68204E+03
 0.24000E+01, 0.28348E+03, 0.20000E+02, 0.21193E+02
