Z,TEMP_LL,TEMP_MM,TEMP_RR
 m,C,C,C
 0.00000E+00, 0.20002E+02, 0.20000E+02, 0.20000E+02
 0.10000E+00, 0.20001E+02, 0.26375E+02, 0.22969E+02
 0.20000E+00, 0.20001E+02, 0.25933E+02, 0.23526E+02
 0.30000E+00, 0.72664E+02, 0.25567E+02, 0.24988E+02
 0.40000E+00, 0.88402E+02, 0.25858E+02, 0.26215E+02
 0.50000E+00, 0.15299E+03, 0.26192E+02, 0.26637E+02
 0.60000E+00, 0.24342E+03, 0.26487E+02, 0.26672E+02
 0.70000E+00, 0.33404E+03, 0.26884E+02, 0.26718E+02
 0.80000E+00, 0.43481E+03, 0.27317E+02, 0.27383E+02
 0.90000E+00, 0.51942E+03, 0.27912E+02, 0.29337E+02
 0.10000E+01, 0.55717E+03, 0.29825E+02, 0.33308E+02
 0.11000E+01, 0.55930E+03, 0.35869E+02, 0.42079E+02
 0.12000E+01, 0.55337E+03, 0.64993E+02, 0.62679E+02
 0.13000E+01, 0.54354E+03, 0.13548E+03, 0.93350E+02
 0.14000E+01, 0.53343E+03, 0.21904E+03, 0.11850E+03
 0.15000E+01, 0.52691E+03, 0.29243E+03, 0.13684E+03
 0.16000E+01, 0.52446E+03, 0.34969E+03, 0.15357E+03
 0.17000E+01, 0.52822E+03, 0.37927E+03, 0.16888E+03
 0.18000E+01, 0.53487E+03, 0.39148E+03, 0.18225E+03
 0.19000E+01, 0.54184E+03, 0.39848E+03, 0.19766E+03
 0.20000E+01, 0.54970E+03, 0.40470E+03, 0.21810E+03
 0.21000E+01, 0.56066E+03, 0.41311E+03, 0.23985E+03
 0.22000E+01, 0.56727E+03, 0.42567E+03, 0.26057E+03
 0.23000E+01, 0.42401E+03, 0.43155E+03, 0.26991E+03
 0.24000E+01, 0.41989E+03, 0.42245E+03, 0.18650E+02
