Z,TEMP_LL,TEMP_MM,TEMP_RR
 m,C,C,C
 0.00000E+00, 0.20000E+02, 0.20000E+02, 0.20000E+02
 0.10000E+00, 0.20000E+02, 0.22242E+02, 0.21613E+02
 0.20000E+00, 0.20000E+02, 0.22436E+02, 0.21811E+02
 0.30000E+00, 0.22065E+03, 0.23008E+02, 0.22526E+02
 0.40000E+00, 0.23517E+03, 0.23553E+02, 0.23540E+02
 0.50000E+00, 0.25984E+03, 0.23615E+02, 0.24245E+02
 0.60000E+00, 0.28201E+03, 0.23601E+02, 0.24716E+02
 0.70000E+00, 0.30074E+03, 0.24015E+02, 0.25460E+02
 0.80000E+00, 0.31341E+03, 0.25525E+02, 0.27679E+02
 0.90000E+00, 0.32878E+03, 0.30357E+02, 0.35666E+02
 0.10000E+01, 0.34179E+03, 0.42347E+02, 0.52655E+02
 0.11000E+01, 0.34788E+03, 0.72120E+02, 0.79265E+02
 0.12000E+01, 0.35363E+03, 0.13183E+03, 0.11684E+03
 0.13000E+01, 0.35789E+03, 0.21541E+03, 0.15398E+03
 0.14000E+01, 0.35550E+03, 0.31411E+03, 0.17577E+03
 0.15000E+01, 0.33957E+03, 0.39569E+03, 0.18796E+03
 0.16000E+01, 0.32304E+03, 0.42236E+03, 0.20110E+03
 0.17000E+01, 0.31747E+03, 0.41912E+03, 0.21528E+03
 0.18000E+01, 0.31612E+03, 0.41807E+03, 0.22900E+03
 0.19000E+01, 0.31808E+03, 0.42262E+03, 0.24884E+03
 0.20000E+01, 0.32070E+03, 0.43964E+03, 0.27936E+03
 0.21000E+01, 0.32377E+03, 0.47470E+03, 0.31067E+03
 0.22000E+01, 0.32595E+03, 0.52216E+03, 0.33047E+03
 0.23000E+01, 0.25027E+03, 0.54771E+03, 0.33648E+03
 0.24000E+01, 0.24488E+03, 0.20000E+02, 0.20001E+02
