Z,TEMP_LL,TEMP_MM,TEMP_RR
 m,C,C,C
 0.00000E+00, 0.20000E+02, 0.20000E+02, 0.20000E+02
 0.10000E+00, 0.20000E+02, 0.98257E+02, 0.10098E+03
 0.20000E+00, 0.20000E+02, 0.10569E+03, 0.10673E+03
 0.30000E+00, 0.96264E+02, 0.11555E+03, 0.11629E+03
 0.40000E+00, 0.98845E+02, 0.11924E+03, 0.12266E+03
 0.50000E+00, 0.10291E+03, 0.12114E+03, 0.12886E+03
 0.60000E+00, 0.10610E+03, 0.12242E+03, 0.13512E+03
 0.70000E+00, 0.10987E+03, 0.12376E+03, 0.13937E+03
 0.80000E+00, 0.11467E+03, 0.12578E+03, 0.14253E+03
 0.90000E+00, 0.11961E+03, 0.12889E+03, 0.14533E+03
 0.10000E+01, 0.12442E+03, 0.13216E+03, 0.14691E+03
 0.11000E+01, 0.12970E+03, 0.13424E+03, 0.14736E+03
 0.12000E+01, 0.13479E+03, 0.13510E+03, 0.14770E+03
 0.13000E+01, 0.13920E+03, 0.13591E+03, 0.14851E+03
 0.14000E+01, 0.14356E+03, 0.13716E+03, 0.14995E+03
 0.15000E+01, 0.14846E+03, 0.13859E+03, 0.15123E+03
 0.16000E+01, 0.15251E+03, 0.13988E+03, 0.15268E+03
 0.17000E+01, 0.15687E+03, 0.14098E+03, 0.15461E+03
 0.18000E+01, 0.16151E+03, 0.14185E+03, 0.15648E+03
 0.19000E+01, 0.16519E+03, 0.14234E+03, 0.15833E+03
 0.20000E+01, 0.16952E+03, 0.14223E+03, 0.16044E+03
 0.21000E+01, 0.17333E+03, 0.14240E+03, 0.16338E+03
 0.22000E+01, 0.17473E+03, 0.14162E+03, 0.16680E+03
 0.23000E+01, 0.12615E+03, 0.14042E+03, 0.16850E+03
 0.24000E+01, 0.12851E+03, 0.20000E+02, 0.20000E+02
