Z,TEMP_LL,TEMP_MM,TEMP_RR
 m,C,C,C
 0.00000E+00, 0.20000E+02, 0.20000E+02, 0.20000E+02
 0.10000E+00, 0.20000E+02, 0.46027E+02, 0.45342E+02
 0.20000E+00, 0.20000E+02, 0.46330E+02, 0.45176E+02
 0.30000E+00, 0.26161E+03, 0.48294E+02, 0.45286E+02
 0.40000E+00, 0.26465E+03, 0.51021E+02, 0.47185E+02
 0.50000E+00, 0.27051E+03, 0.53058E+02, 0.51081E+02
 0.60000E+00, 0.27548E+03, 0.54047E+02, 0.54951E+02
 0.70000E+00, 0.27908E+03, 0.54460E+02, 0.57093E+02
 0.80000E+00, 0.27974E+03, 0.55866E+02, 0.59500E+02
 0.90000E+00, 0.28427E+03, 0.58901E+02, 0.64656E+02
 0.10000E+01, 0.29426E+03, 0.70341E+02, 0.78609E+02
 0.11000E+01, 0.30192E+03, 0.97377E+02, 0.11060E+03
 0.12000E+01, 0.30856E+03, 0.14440E+03, 0.14979E+03
 0.13000E+01, 0.31310E+03, 0.21719E+03, 0.17827E+03
 0.14000E+01, 0.31815E+03, 0.31080E+03, 0.19367E+03
 0.15000E+01, 0.32590E+03, 0.35771E+03, 0.20026E+03
 0.16000E+01, 0.33220E+03, 0.35423E+03, 0.20513E+03
 0.17000E+01, 0.33636E+03, 0.35362E+03, 0.21148E+03
 0.18000E+01, 0.33987E+03, 0.35311E+03, 0.22079E+03
 0.19000E+01, 0.34538E+03, 0.35358E+03, 0.23717E+03
 0.20000E+01, 0.35231E+03, 0.35751E+03, 0.25866E+03
 0.21000E+01, 0.35824E+03, 0.37391E+03, 0.27767E+03
 0.22000E+01, 0.36072E+03, 0.40549E+03, 0.29311E+03
 0.23000E+01, 0.29629E+03, 0.42405E+03, 0.30063E+03
 0.24000E+01, 0.30287E+03, 0.20000E+02, 0.20008E+02
