Z,TEMP_LL,TEMP_MM,TEMP_RR
 m,C,C,C
 0.00000E+00, 0.20001E+02, 0.20000E+02, 0.20000E+02
 0.10000E+00, 0.20000E+02, 0.14507E+03, 0.15298E+03
 0.20000E+00, 0.20000E+02, 0.14773E+03, 0.15371E+03
 0.30000E+00, 0.13163E+03, 0.15267E+03, 0.15599E+03
 0.40000E+00, 0.13808E+03, 0.15631E+03, 0.15843E+03
 0.50000E+00, 0.15014E+03, 0.15911E+03, 0.15971E+03
 0.60000E+00, 0.15752E+03, 0.16210E+03, 0.16052E+03
 0.70000E+00, 0.15965E+03, 0.16463E+03, 0.16186E+03
 0.80000E+00, 0.15971E+03, 0.16762E+03, 0.16369E+03
 0.90000E+00, 0.16612E+03, 0.17071E+03, 0.16550E+03
 0.10000E+01, 0.17345E+03, 0.17255E+03, 0.16791E+03
 0.11000E+01, 0.17291E+03, 0.17455E+03, 0.17119E+03
 0.12000E+01, 0.17136E+03, 0.17711E+03, 0.17461E+03
 0.13000E+01, 0.17055E+03, 0.18024E+03, 0.17786E+03
 0.14000E+01, 0.16998E+03, 0.18293E+03, 0.18151E+03
 0.15000E+01, 0.17000E+03, 0.18484E+03, 0.18702E+03
 0.16000E+01, 0.17057E+03, 0.18730E+03, 0.19297E+03
 0.17000E+01, 0.17115E+03, 0.18980E+03, 0.19767E+03
 0.18000E+01, 0.17162E+03, 0.19133E+03, 0.20179E+03
 0.19000E+01, 0.17203E+03, 0.19208E+03, 0.20546E+03
 0.20000E+01, 0.17230E+03, 0.19272E+03, 0.20839E+03
 0.21000E+01, 0.17277E+03, 0.19301E+03, 0.21015E+03
 0.22000E+01, 0.17310E+03, 0.19520E+03, 0.21607E+03
 0.23000E+01, 0.13958E+03, 0.19747E+03, 0.22140E+03
 0.24000E+01, 0.14039E+03, 0.20000E+02, 0.20675E+02
