Z,TEMP_LL,TEMP_MM,TEMP_RR
 m,C,C,C
 0.00000E+00, 0.20001E+02, 0.20000E+02, 0.20000E+02
 0.10000E+00, 0.20000E+02, 0.71429E+02, 0.76403E+02
 0.20000E+00, 0.20000E+02, 0.73735E+02, 0.77331E+02
 0.30000E+00, 0.20000E+02, 0.77761E+02, 0.79257E+02
 0.40000E+00, 0.20000E+02, 0.81199E+02, 0.81373E+02
 0.50000E+00, 0.20000E+02, 0.84214E+02, 0.83610E+02
 0.60000E+00, 0.20000E+02, 0.86698E+02, 0.85669E+02
 0.70000E+00, 0.20000E+02, 0.88804E+02, 0.87582E+02
 0.80000E+00, 0.21279E+02, 0.90231E+02, 0.88901E+02
 0.90000E+00, 0.34822E+02, 0.91272E+02, 0.89511E+02
 0.10000E+01, 0.65001E+02, 0.92504E+02, 0.90351E+02
 0.11000E+01, 0.89300E+02, 0.93656E+02, 0.91574E+02
 0.12000E+01, 0.10042E+03, 0.94631E+02, 0.92527E+02
 0.13000E+01, 0.10465E+03, 0.95968E+02, 0.93218E+02
 0.14000E+01, 0.10541E+03, 0.96997E+02, 0.94079E+02
 0.15000E+01, 0.10562E+03, 0.97583E+02, 0.95878E+02
 0.16000E+01, 0.10697E+03, 0.98284E+02, 0.98871E+02
 0.17000E+01, 0.10951E+03, 0.99070E+02, 0.10222E+03
 0.18000E+01, 0.11296E+03, 0.99894E+02, 0.10501E+03
 0.19000E+01, 0.11712E+03, 0.10085E+03, 0.10648E+03
 0.20000E+01, 0.12098E+03, 0.10199E+03, 0.10713E+03
 0.21000E+01, 0.12419E+03, 0.10320E+03, 0.10827E+03
 0.22000E+01, 0.12566E+03, 0.10399E+03, 0.10936E+03
 0.23000E+01, 0.96255E+02, 0.10411E+03, 0.10962E+03
 0.24000E+01, 0.96941E+02, 0.20000E+02, 0.20002E+02
