s,kW,kW,kW,kW,kg/s
FDS_HRR_Time,HRR,RAD_LOSS,CONV_LOSS,COND_LOSS,BURN_RATE
 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 8.9363001E-006, 0.0000000E+000, 0.0000000E+000
 5.0093083E+000, 4.3658243E+002, 1.6054843E+002, 1.3622562E+002, 1.6107455E+002, 2.9235043E-002
 1.0009356E+001, 4.8646802E+002, 2.4773749E+002, 1.5338658E+002, 2.9352002E+002, 3.0487537E-002
 1.5008521E+001, 4.5609556E+002, 2.9127567E+002, 1.0576377E+002, 3.4218382E+002, 3.0487805E-002
 2.0008715E+001, 4.1126724E+002, 2.8506136E+002, 7.1308971E+001, 3.4288316E+002, 3.0487805E-002
 2.5014839E+001, 3.5907785E+002, 2.4832707E+002, 4.9597777E+001, 3.0848219E+002, 3.0487805E-002
 3.0018574E+001, 3.3398460E+002, 2.1682946E+002, 4.4182528E+001, 2.7371405E+002, 3.0487805E-002
 3.5004749E+001, 3.2599833E+002, 2.0546099E+002, 4.6522981E+001, 2.7049493E+002, 3.0487805E-002
 4.0012466E+001, 2.6621163E+002, 1.6446999E+002, 3.2388154E+001, 2.2992914E+002, 3.0487805E-002
 4.5011463E+001, 3.0082218E+002, 1.7152051E+002, 3.9088663E+001, 2.3256349E+002, 3.0487805E-002
 5.0007149E+001, 4.1259428E+002, 2.1193176E+002, 7.1538975E+001, 2.7900687E+002, 3.0487805E-002
 5.5014793E+001, 5.1331137E+002, 2.7173841E+002, 9.4421042E+001, 3.5337195E+002, 3.0487805E-002
 6.0023727E+001, 4.4723515E+002, 2.9290360E+002, 6.1286428E+001, 3.9097529E+002, 3.0487805E-002
 6.5010612E+001, 4.2909636E+002, 2.7755839E+002, 4.8680703E+001, 3.7701637E+002, 3.0487805E-002
 7.0036850E+001, 2.6599141E+002, 1.9973953E+002, 1.7645891E+000, 3.0933626E+002, 3.0487805E-002
 7.5011230E+001, 2.1993496E+002, 1.5118703E+002,-1.5666958E+001, 2.3682742E+002, 3.0487805E-002
 8.0014114E+001, 2.9953486E+002, 1.6316724E+002, 2.2611356E+001, 2.3187867E+002, 3.0487805E-002
 8.5014519E+001, 4.3926516E+002, 2.1566002E+002, 8.1945980E+001, 3.0235569E+002, 3.0487805E-002
 9.0017303E+001, 3.0480932E+002, 2.0439766E+002, 3.0986542E+001, 3.2109881E+002, 3.0487805E-002
 9.5032318E+001, 7.6538367E+001, 1.2130126E+002,-6.5921268E+001, 2.1439598E+002, 3.0487805E-002
 1.0002418E+002, 7.4910892E+001, 9.4861377E+001,-6.3198088E+001, 1.7084210E+002, 3.0487805E-002
 1.0504230E+002, 5.9045716E+001, 7.5747661E+001,-4.6590246E+001, 1.3798397E+002, 3.0487805E-002
 1.1000353E+002, 4.2419430E+001, 6.3100987E+001,-4.1153504E+001, 1.1944779E+002, 3.0487805E-002
 1.1500467E+002, 7.4353862E+001, 6.2954320E+001,-3.2042065E+001, 1.0891683E+002, 3.0487805E-002
 1.2001987E+002, 8.6120704E+001, 6.5814583E+001,-2.5125399E+001, 1.1358108E+002, 3.0487805E-002
 1.2500578E+002, 8.0448014E+001, 6.1875119E+001,-2.7699028E+001, 1.0821441E+002, 3.0487805E-002
 1.3001866E+002, 8.4880794E+001, 6.1728086E+001,-1.3735719E+001, 1.0394818E+002, 3.0487805E-002
 1.3500430E+002, 1.5618136E+002, 8.2997215E+001, 1.9801267E+001, 1.2139704E+002, 3.0487805E-002
 1.4001683E+002, 1.6649910E+002, 8.5706077E+001, 2.4402654E+001, 1.2235507E+002, 3.0487805E-002
 1.4501480E+002, 1.6469161E+002, 8.5616139E+001, 2.4430301E+001, 1.2202984E+002, 3.0487805E-002
 1.5000098E+002, 1.5797510E+002, 8.3494998E+001, 2.2394256E+001, 1.1875512E+002, 3.0487805E-002
 1.5500650E+002, 1.7427446E+002, 8.8943585E+001, 3.2185993E+001, 1.2332566E+002, 3.0487805E-002
 1.6000154E+002, 1.7209201E+002, 8.7536034E+001, 3.0777529E+001, 1.2080559E+002, 3.0487805E-002
 1.6501227E+002, 1.7792735E+002, 8.9581908E+001, 3.3309436E+001, 1.2259313E+002, 3.0487805E-002
 1.7000652E+002, 1.9962436E+002, 9.5983365E+001, 4.2807370E+001, 1.2822770E+002, 3.0487805E-002
 1.7500729E+002, 2.0513851E+002, 9.8223004E+001, 4.3482841E+001, 1.2975512E+002, 3.0487805E-002
 1.8000974E+002, 1.9742084E+002, 9.7097724E+001, 4.2501262E+001, 1.2717407E+002, 3.0487805E-002
 1.8500781E+002, 1.9322729E+002, 9.7318180E+001, 4.4932290E+001, 1.2756649E+002, 3.0487805E-002
 1.9001277E+002, 1.9010505E+002, 9.5944551E+001, 4.0065831E+001, 1.2631555E+002, 3.0487805E-002
 1.9500273E+002, 2.0159943E+002, 9.9991222E+001, 5.0979167E+001, 1.2844628E+002, 3.0487805E-002
 2.0000180E+002, 1.9491824E+002, 9.9710494E+001, 4.9830593E+001, 1.2789332E+002, 3.0487805E-002
 2.0501370E+002, 1.8534104E+002, 9.6798937E+001, 4.0553856E+001, 1.2673612E+002, 3.0487805E-002
 2.1001434E+002, 2.1707085E+002, 1.0636853E+002, 5.1190005E+001, 1.3397826E+002, 3.0487805E-002
 2.1500520E+002, 2.2471322E+002, 1.0759687E+002, 4.8990288E+001, 1.3389746E+002, 3.0487805E-002
 2.2000967E+002, 2.3546825E+002, 1.1040326E+002, 5.3012955E+001, 1.3905522E+002, 3.0487805E-002
 2.2500410E+002, 2.4614893E+002, 1.1977215E+002, 7.7727619E+001, 1.4555890E+002, 3.0487805E-002
 2.3001357E+002, 2.2514098E+002, 1.1360838E+002, 6.1480457E+001, 1.3940603E+002, 3.0487805E-002
 2.3501169E+002, 2.1665836E+002, 1.0959012E+002, 3.8393012E+001, 1.3630782E+002, 3.0487805E-002
 2.4000429E+002, 2.5275999E+002, 1.1927225E+002, 5.6558402E+001, 1.4989719E+002, 3.0487805E-002
 2.4500975E+002, 2.5069134E+002, 1.2267059E+002, 6.6986352E+001, 1.5015520E+002, 3.0487805E-002
 2.5001303E+002, 2.2976263E+002, 1.1798864E+002, 6.6990428E+001, 1.4528073E+002, 3.0487805E-002
 2.5501233E+002, 1.9979024E+002, 1.0756253E+002, 4.5984989E+001, 1.3607997E+002, 3.0487805E-002
 2.6001053E+002, 2.1795495E+002, 1.0996727E+002, 4.0499695E+001, 1.3576180E+002, 3.0487805E-002
 2.6501569E+002, 2.3517864E+002, 1.1531867E+002, 5.3405400E+001, 1.4303817E+002, 3.0487805E-002
 2.7000977E+002, 2.4983463E+002, 1.2213022E+002, 6.6931804E+001, 1.5181737E+002, 3.0487805E-002
 2.7501196E+002, 2.4728582E+002, 1.2461438E+002, 7.2793068E+001, 1.4909570E+002, 3.0487805E-002
 2.8001285E+002, 2.0290353E+002, 1.0963635E+002, 4.2019504E+001, 1.3632653E+002, 3.0487805E-002
