Z,TEMP_LL,TEMP_MM,TEMP_RR
 m,C,C,C
 0.00000E+00, 0.20000E+02, 0.20000E+02, 0.20000E+02
 0.10000E+00, 0.20000E+02, 0.12854E+03, 0.13665E+03
 0.20000E+00, 0.19999E+02, 0.13476E+03, 0.13895E+03
 0.30000E+00, 0.20000E+02, 0.14352E+03, 0.14362E+03
 0.40000E+00, 0.20000E+02, 0.14934E+03, 0.14770E+03
 0.50000E+00, 0.20000E+02, 0.15374E+03, 0.15159E+03
 0.60000E+00, 0.20000E+02, 0.15596E+03, 0.15535E+03
 0.70000E+00, 0.20000E+02, 0.15980E+03, 0.15810E+03
 0.80000E+00, 0.40642E+02, 0.16403E+03, 0.16051E+03
 0.90000E+00, 0.89216E+02, 0.16600E+03, 0.16315E+03
 0.10000E+01, 0.14767E+03, 0.16765E+03, 0.16602E+03
 0.11000E+01, 0.16210E+03, 0.17018E+03, 0.16929E+03
 0.12000E+01, 0.16628E+03, 0.17238E+03, 0.17223E+03
 0.13000E+01, 0.16402E+03, 0.17439E+03, 0.17431E+03
 0.14000E+01, 0.16056E+03, 0.17546E+03, 0.17698E+03
 0.15000E+01, 0.15891E+03, 0.17763E+03, 0.18106E+03
 0.16000E+01, 0.15905E+03, 0.18216E+03, 0.18681E+03
 0.17000E+01, 0.15976E+03, 0.18569E+03, 0.19339E+03
 0.18000E+01, 0.16079E+03, 0.18736E+03, 0.20048E+03
 0.19000E+01, 0.16143E+03, 0.18801E+03, 0.20709E+03
 0.20000E+01, 0.16171E+03, 0.18803E+03, 0.21161E+03
 0.21000E+01, 0.16225E+03, 0.18777E+03, 0.21457E+03
 0.22000E+01, 0.16259E+03, 0.18758E+03, 0.22292E+03
 0.23000E+01, 0.14491E+03, 0.18744E+03, 0.23017E+03
 0.24000E+01, 0.14420E+03, 0.20000E+02, 0.20920E+02
