Z,TEMP_LL,TEMP_MM,TEMP_RR
 m,C,C,C
 0.00000E+00, 0.20000E+02, 0.20000E+02, 0.20000E+02
 0.10000E+00, 0.13188E+03, 0.20000E+02, 0.13481E+03
 0.20000E+00, 0.13597E+03, 0.20000E+02, 0.13924E+03
 0.30000E+00, 0.14221E+03, 0.20000E+02, 0.14495E+03
 0.40000E+00, 0.14638E+03, 0.20000E+02, 0.14909E+03
 0.50000E+00, 0.14998E+03, 0.20000E+02, 0.15431E+03
 0.60000E+00, 0.15380E+03, 0.20000E+02, 0.15868E+03
 0.70000E+00, 0.15885E+03, 0.20000E+02, 0.16253E+03
 0.80000E+00, 0.16546E+03, 0.20000E+02, 0.16687E+03
 0.90000E+00, 0.17302E+03, 0.20000E+02, 0.17209E+03
 0.10000E+01, 0.18056E+03, 0.20000E+02, 0.17771E+03
 0.11000E+01, 0.18874E+03, 0.10773E+03, 0.18185E+03
 0.12000E+01, 0.19595E+03, 0.11719E+03, 0.18515E+03
 0.13000E+01, 0.20079E+03, 0.13137E+03, 0.18861E+03
 0.14000E+01, 0.20414E+03, 0.14334E+03, 0.19059E+03
 0.15000E+01, 0.20726E+03, 0.15798E+03, 0.19222E+03
 0.16000E+01, 0.20996E+03, 0.17111E+03, 0.19293E+03
 0.17000E+01, 0.21167E+03, 0.18296E+03, 0.19252E+03
 0.18000E+01, 0.21373E+03, 0.19339E+03, 0.19230E+03
 0.19000E+01, 0.21539E+03, 0.20164E+03, 0.19202E+03
 0.20000E+01, 0.21673E+03, 0.20954E+03, 0.19149E+03
 0.21000E+01, 0.21942E+03, 0.21677E+03, 0.19217E+03
 0.22000E+01, 0.22174E+03, 0.22364E+03, 0.18983E+03
 0.23000E+01, 0.22234E+03, 0.23222E+03, 0.18634E+03
 0.24000E+01, 0.20000E+02, 0.24072E+03, 0.20000E+02
