Z,TEMP_LL,TEMP_MM,TEMP_RR
 m,C,C,C
 0.00000E+00, 0.20000E+02, 0.20000E+02, 0.20000E+02
 0.10000E+00, 0.20000E+02, 0.71610E+02, 0.73531E+02
 0.20000E+00, 0.20000E+02, 0.73249E+02, 0.73983E+02
 0.30000E+00, 0.20000E+02, 0.74900E+02, 0.75075E+02
 0.40000E+00, 0.20000E+02, 0.76100E+02, 0.76238E+02
 0.50000E+00, 0.20000E+02, 0.77964E+02, 0.77135E+02
 0.60000E+00, 0.20000E+02, 0.79024E+02, 0.77881E+02
 0.70000E+00, 0.20000E+02, 0.80073E+02, 0.78867E+02
 0.80000E+00, 0.22730E+02, 0.81029E+02, 0.80599E+02
 0.90000E+00, 0.51341E+02, 0.82245E+02, 0.82792E+02
 0.10000E+01, 0.92747E+02, 0.84419E+02, 0.85676E+02
 0.11000E+01, 0.10744E+03, 0.85933E+02, 0.90559E+02
 0.12000E+01, 0.10987E+03, 0.87007E+02, 0.96396E+02
 0.13000E+01, 0.11229E+03, 0.90405E+02, 0.10776E+03
 0.14000E+01, 0.11443E+03, 0.96623E+02, 0.13064E+03
 0.15000E+01, 0.11411E+03, 0.10248E+03, 0.16783E+03
 0.16000E+01, 0.11309E+03, 0.10642E+03, 0.20244E+03
 0.17000E+01, 0.11315E+03, 0.10931E+03, 0.21687E+03
 0.18000E+01, 0.11375E+03, 0.11276E+03, 0.22080E+03
 0.19000E+01, 0.11463E+03, 0.11794E+03, 0.22364E+03
 0.20000E+01, 0.11559E+03, 0.12611E+03, 0.22815E+03
 0.21000E+01, 0.11916E+03, 0.13715E+03, 0.23406E+03
 0.22000E+01, 0.12255E+03, 0.14943E+03, 0.23844E+03
 0.23000E+01, 0.92764E+02, 0.15595E+03, 0.23976E+03
 0.24000E+01, 0.95053E+02, 0.20000E+02, 0.20202E+02
