Z,TEMP_LL,TEMP_MM,TEMP_RR
 m,C,C,C
 0.00000E+00, 0.20002E+02, 0.20000E+02, 0.20000E+02
 0.10000E+00, 0.20001E+02, 0.40260E+02, 0.35862E+02
 0.20000E+00, 0.20002E+02, 0.38949E+02, 0.35297E+02
 0.30000E+00, 0.36602E+03, 0.39139E+02, 0.35670E+02
 0.40000E+00, 0.36815E+03, 0.41310E+02, 0.38538E+02
 0.50000E+00, 0.37330E+03, 0.42556E+02, 0.42676E+02
 0.60000E+00, 0.37802E+03, 0.44273E+02, 0.45444E+02
 0.70000E+00, 0.38078E+03, 0.45967E+02, 0.46724E+02
 0.80000E+00, 0.38342E+03, 0.47115E+02, 0.48250E+02
 0.90000E+00, 0.38826E+03, 0.48258E+02, 0.50820E+02
 0.10000E+01, 0.39354E+03, 0.51251E+02, 0.57410E+02
 0.11000E+01, 0.39716E+03, 0.72603E+02, 0.79239E+02
 0.12000E+01, 0.40038E+03, 0.14641E+03, 0.12679E+03
 0.13000E+01, 0.40346E+03, 0.27683E+03, 0.18444E+03
 0.14000E+01, 0.40695E+03, 0.41343E+03, 0.22208E+03
 0.15000E+01, 0.41008E+03, 0.47931E+03, 0.24742E+03
 0.16000E+01, 0.41260E+03, 0.48152E+03, 0.28165E+03
 0.17000E+01, 0.41679E+03, 0.47681E+03, 0.31531E+03
 0.18000E+01, 0.42468E+03, 0.47200E+03, 0.34327E+03
 0.19000E+01, 0.43585E+03, 0.47019E+03, 0.37716E+03
 0.20000E+01, 0.45526E+03, 0.47918E+03, 0.41350E+03
 0.21000E+01, 0.48627E+03, 0.49670E+03, 0.43889E+03
 0.22000E+01, 0.50391E+03, 0.51516E+03, 0.45169E+03
 0.23000E+01, 0.41507E+03, 0.52422E+03, 0.45527E+03
 0.24000E+01, 0.42066E+03, 0.20000E+02, 0.20247E+02
