s,kW,kW,kW,kW,kg/s
FDS_HRR_Time,HRR,RAD_LOSS,CONV_LOSS,COND_LOSS,BURN_RATE
 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 2.3815253E-006, 0.0000000E+000, 0.0000000E+000
 5.0052643E+000, 7.4612391E+002, 3.2113673E+002, 3.1746439E+002, 3.1987995E+002, 5.6227724E-002
 1.0016689E+001, 7.6101099E+002, 4.7141339E+002, 1.5494129E+002, 5.1580809E+002, 5.9755523E-002
 1.5014656E+001, 6.4266452E+002, 4.0531147E+002, 1.3935292E+002, 4.6632026E+002, 5.9756098E-002
 2.0014961E+001, 7.6528331E+002, 4.3864797E+002, 2.0442032E+002, 5.0784644E+002, 5.9756098E-002
 2.5004988E+001, 7.3892383E+002, 4.1960516E+002, 1.9149218E+002, 5.0642175E+002, 5.9756098E-002
 3.0009314E+001, 9.4628014E+002, 4.9543292E+002, 2.9221908E+002, 5.7115888E+002, 5.9756098E-002
 3.5006344E+001, 1.0830619E+003, 6.4780944E+002, 2.6882638E+002, 7.6541134E+002, 5.9756098E-002
 4.0003376E+001, 8.2858758E+002, 5.4078956E+002, 1.6315920E+002, 6.4264593E+002, 5.9756098E-002
 4.5011932E+001, 9.4694515E+002, 5.4447440E+002, 2.6407214E+002, 6.2465024E+002, 5.9756098E-002
 5.0004173E+001, 8.4160722E+002, 5.1416495E+002, 2.0217421E+002, 6.0754732E+002, 5.9756098E-002
 5.5010475E+001, 9.2806190E+002, 5.1566842E+002, 2.7627906E+002, 5.9157977E+002, 5.9756098E-002
 6.0001865E+001, 9.4226449E+002, 5.4643323E+002, 2.6164736E+002, 6.4317303E+002, 5.9756098E-002
 6.5006119E+001, 9.5770291E+002, 5.5252081E+002, 2.5958848E+002, 6.4216259E+002, 5.9756098E-002
 7.0002686E+001, 9.6381738E+002, 5.6597057E+002, 2.6037895E+002, 6.5434761E+002, 5.9756098E-002
 7.5012985E+001, 1.0232771E+003, 5.9443705E+002, 2.8654789E+002, 6.8146027E+002, 5.9756098E-002
 8.0006805E+001, 8.5062045E+002, 5.2146967E+002, 2.0938597E+002, 6.2035461E+002, 5.9756098E-002
 8.5012604E+001, 8.6802635E+002, 5.0081064E+002, 2.4355463E+002, 5.7922137E+002, 5.9756098E-002
 9.0004135E+001, 1.0321347E+003, 5.5497250E+002, 3.3409678E+002, 6.2735532E+002, 5.9756098E-002
 9.5009995E+001, 1.0390717E+003, 6.2162561E+002, 2.7468073E+002, 7.2766405E+002, 5.9756098E-002
 1.0000240E+002, 9.2358431E+002, 5.6059633E+002, 2.2889086E+002, 6.5912504E+002, 5.9756098E-002
 1.0500969E+002, 9.2796257E+002, 5.4720665E+002, 2.5522228E+002, 6.1863664E+002, 5.9756098E-002
 1.1000150E+002, 9.6661413E+002, 5.6276574E+002, 2.7447248E+002, 6.4263127E+002, 5.9756098E-002
 1.1500629E+002, 8.7106199E+002, 4.9992714E+002, 2.5497312E+002, 5.7482278E+002, 5.9756098E-002
