Z,TEMP_LL,TEMP_MM,TEMP_RR
 m,C,C,C
 0.00000E+00, 0.20000E+02, 0.20000E+02, 0.20000E+02
 0.10000E+00, 0.20000E+02, 0.50218E+02, 0.46321E+02
 0.20000E+00, 0.20000E+02, 0.52765E+02, 0.48810E+02
 0.30000E+00, 0.25096E+03, 0.60967E+02, 0.58826E+02
 0.40000E+00, 0.26606E+03, 0.87267E+02, 0.79484E+02
 0.50000E+00, 0.28865E+03, 0.13801E+03, 0.10835E+03
 0.60000E+00, 0.29824E+03, 0.22562E+03, 0.14821E+03
 0.70000E+00, 0.29892E+03, 0.34797E+03, 0.20761E+03
 0.80000E+00, 0.29511E+03, 0.47031E+03, 0.27571E+03
 0.90000E+00, 0.31513E+03, 0.54862E+03, 0.33802E+03
 0.10000E+01, 0.34338E+03, 0.57924E+03, 0.38992E+03
 0.11000E+01, 0.35209E+03, 0.58052E+03, 0.43423E+03
 0.12000E+01, 0.35424E+03, 0.57161E+03, 0.46099E+03
 0.13000E+01, 0.35343E+03, 0.55812E+03, 0.48906E+03
 0.14000E+01, 0.34966E+03, 0.53680E+03, 0.52271E+03
 0.15000E+01, 0.34090E+03, 0.52250E+03, 0.55405E+03
 0.16000E+01, 0.33298E+03, 0.52000E+03, 0.59165E+03
 0.17000E+01, 0.32763E+03, 0.52817E+03, 0.61011E+03
 0.18000E+01, 0.32472E+03, 0.53766E+03, 0.60662E+03
 0.19000E+01, 0.32371E+03, 0.54828E+03, 0.60001E+03
 0.20000E+01, 0.32374E+03, 0.55917E+03, 0.59286E+03
 0.21000E+01, 0.32652E+03, 0.56871E+03, 0.58688E+03
 0.22000E+01, 0.32864E+03, 0.57414E+03, 0.58295E+03
 0.23000E+01, 0.23159E+03, 0.57519E+03, 0.57919E+03
 0.24000E+01, 0.23028E+03, 0.20000E+02, 0.20001E+02
