s,s,s,s,s,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C
FDS Time,"TIMER1","TIMER2","TIMER3","rear_door","TC_A1","TC_A2","TC_A3","TC_A4","TC_A5","TC_A6","TC_A7","TC_B1","TC_B2","TC_B3","TC_B4","TC_B5","TC_B6","TC_B7","TC_C1","TC_C2","TC_C3","TC_C4","TC_C5","TC_C6","TC_C7"
 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 2.0000000E+001, 2.0000000E+001, 2.0000000E+001, 2.0000000E+001, 2.0000000E+001, 2.0000000E+001, 2.0000000E+001, 2.0000000E+001, 2.0000000E+001, 2.0000000E+001, 2.0000000E+001, 2.0000000E+001, 2.0000000E+001, 2.0000000E+001, 2.0000000E+001, 2.0000000E+001, 2.0000000E+001, 2.0000000E+001, 2.0000000E+001, 2.0000000E+001, 2.0000000E+001
 5.0048304E+000, 2.9718174E+000, 2.9718174E+000, 2.9718174E+000, 2.9718174E+000, 1.8420617E+002, 1.9451485E+002, 8.9093490E+001, 4.9946835E+001, 3.3312491E+001, 3.0967858E+001, 2.8435650E+001, 2.1845094E+001, 2.1400217E+001, 2.2087129E+001, 2.2881334E+001, 2.2603617E+001, 2.1437875E+001, 2.0982334E+001, 2.0017966E+001, 2.0020039E+001, 2.0036296E+001, 2.1356066E+001, 2.2081331E+001, 2.1705567E+001, 2.0810018E+001
 1.0002524E+001, 7.5131652E+000, 7.5131652E+000, 7.5131652E+000, 7.5131652E+000, 4.3760625E+002, 4.3528571E+002, 2.6921457E+002, 2.1961775E+002, 1.0478011E+002, 5.6869646E+001, 3.5712928E+001, 1.0795107E+002, 5.4688113E+001, 2.7182689E+001, 2.6371359E+001, 2.3031197E+001, 2.1690810E+001, 2.1249081E+001, 2.0026644E+001, 2.0028399E+001, 2.0051223E+001, 2.1131721E+001, 2.2006704E+001, 2.1784328E+001, 2.0995038E+001
 1.5002235E+001, 1.2575414E+001, 1.2575414E+001, 1.2575414E+001, 1.2575414E+001, 5.4825305E+002, 5.6792675E+002, 3.5948051E+002, 3.1084244E+002, 2.2287337E+002, 7.2911767E+001, 3.7708914E+001, 2.2059775E+002, 1.6925529E+002, 1.0325886E+002, 3.9211714E+001, 3.0464597E+001, 2.2947342E+001, 2.2092221E+001, 3.6485485E+001, 3.0439254E+001, 2.1538193E+001, 2.0933581E+001, 2.1822374E+001, 2.1863644E+001, 2.1305377E+001
 2.0007460E+001, 1.7511630E+001, 1.7511630E+001, 1.7511630E+001, 1.7511630E+001, 5.3128729E+002, 4.9311902E+002, 3.7841653E+002, 3.5351512E+002, 2.9992825E+002, 1.5253311E+002, 6.6838882E+001, 2.8168400E+002, 2.3215489E+002, 1.5179870E+002, 4.0760360E+001, 3.2885082E+001, 2.4395171E+001, 2.3129070E+001, 6.4172001E+001, 3.5564827E+001, 2.0314020E+001, 2.1043493E+001, 2.1676613E+001, 2.1775734E+001, 2.1418970E+001
 2.5012686E+001, 2.2516855E+001, 2.2516855E+001, 2.2516855E+001, 2.2516855E+001, 4.1928288E+002, 3.6626072E+002, 3.3762945E+002, 3.4387845E+002, 3.2567495E+002, 2.0558172E+002, 7.1489153E+001, 2.6225296E+002, 2.6346509E+002, 2.2410525E+002, 5.6102811E+001, 3.0678254E+001, 2.6126412E+001, 2.5060394E+001, 9.5820681E+001, 4.7307621E+001, 2.6876381E+001, 2.8073718E+001, 2.4116500E+001, 2.2852070E+001, 2.2519367E+001
 3.0004345E+001, 2.7515297E+001, 2.7515297E+001, 2.7515297E+001, 2.7515297E+001, 2.9486969E+002, 3.4795886E+002, 3.4501818E+002, 3.6743885E+002, 3.7338503E+002, 2.6698217E+002, 1.0921307E+002, 2.7632374E+002, 2.6082050E+002, 2.6155572E+002, 1.0878166E+002, 3.5434696E+001, 2.8268155E+001, 2.6478703E+001, 1.2966102E+002, 7.7640828E+001, 5.7531072E+001, 5.0054196E+001, 4.2309191E+001, 3.4347602E+001, 2.3664478E+001
 3.5009571E+001, 3.2513740E+001, 3.2513740E+001, 3.2513740E+001, 3.2513740E+001, 2.2218641E+002, 4.0432931E+002, 3.7553337E+002, 3.7761520E+002, 3.5899502E+002, 2.9756323E+002, 1.6277776E+002, 2.5876807E+002, 2.5833792E+002, 2.3776600E+002, 1.6594555E+002, 5.3890623E+001, 3.0749431E+001, 2.3771754E+001, 1.4486118E+002, 1.2054181E+002, 7.8428630E+001, 7.0436967E+001, 4.9264722E+001, 3.2002448E+001, 2.1990816E+001
 4.0001232E+001, 3.7512183E+001, 3.7512183E+001, 3.7512183E+001, 3.7512183E+001, 2.6939200E+002, 4.2334577E+002, 3.8168952E+002, 3.7829354E+002, 3.6761872E+002, 3.2918148E+002, 2.5039988E+002, 3.0374547E+002, 2.8776150E+002, 2.6199934E+002, 1.9897608E+002, 5.8057685E+001, 3.6898694E+001, 2.7507268E+001, 2.1648649E+002, 1.8835039E+002, 1.0871555E+002, 9.3860545E+001, 8.3510679E+001, 3.5819207E+001, 2.3829828E+001
