Z,TEMP_LL,TEMP_MM,TEMP_RR
 m,C,C,C
 0.00000E+00, 0.20001E+02, 0.20000E+02, 0.20000E+02
 0.10000E+00, 0.20000E+02, 0.86388E+02, 0.88511E+02
 0.20000E+00, 0.20000E+02, 0.86748E+02, 0.89113E+02
 0.30000E+00, 0.20000E+02, 0.87625E+02, 0.90280E+02
 0.40000E+00, 0.20000E+02, 0.89307E+02, 0.91040E+02
 0.50000E+00, 0.20000E+02, 0.91892E+02, 0.91625E+02
 0.60000E+00, 0.20000E+02, 0.94354E+02, 0.92467E+02
 0.70000E+00, 0.20000E+02, 0.95812E+02, 0.93184E+02
 0.80000E+00, 0.27512E+02, 0.96304E+02, 0.93887E+02
 0.90000E+00, 0.50260E+02, 0.97256E+02, 0.95034E+02
 0.10000E+01, 0.84381E+02, 0.98431E+02, 0.96535E+02
 0.11000E+01, 0.10082E+03, 0.99729E+02, 0.98037E+02
 0.12000E+01, 0.10826E+03, 0.10132E+03, 0.99083E+02
 0.13000E+01, 0.11176E+03, 0.10209E+03, 0.99954E+02
 0.14000E+01, 0.11369E+03, 0.10232E+03, 0.10118E+03
 0.15000E+01, 0.11506E+03, 0.10269E+03, 0.10262E+03
 0.16000E+01, 0.11621E+03, 0.10350E+03, 0.10428E+03
 0.17000E+01, 0.11760E+03, 0.10488E+03, 0.10626E+03
 0.18000E+01, 0.11931E+03, 0.10672E+03, 0.10871E+03
 0.19000E+01, 0.12105E+03, 0.10847E+03, 0.11171E+03
 0.20000E+01, 0.12296E+03, 0.10993E+03, 0.11398E+03
 0.21000E+01, 0.12713E+03, 0.11120E+03, 0.11492E+03
 0.22000E+01, 0.13024E+03, 0.11216E+03, 0.11492E+03
 0.23000E+01, 0.92660E+02, 0.11250E+03, 0.11464E+03
 0.24000E+01, 0.96017E+02, 0.20000E+02, 0.20001E+02
