s,s,s,s,s,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C
FDS Time,"TIMER1","TIMER2","TIMER3","rear_door","TC_A1","TC_A2","TC_A3","TC_A4","TC_A5","TC_A6","TC_A7","TC_B1","TC_B2","TC_B3","TC_B4","TC_B5","TC_B6","TC_B7","TC_C1","TC_C2","TC_C3","TC_C4","TC_C5","TC_C6","TC_C7"
 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 2.0000000E+001, 2.0000000E+001, 2.0000000E+001, 2.0000000E+001, 2.0000000E+001, 2.0000000E+001, 2.0000000E+001, 2.0000000E+001, 2.0000000E+001, 2.0000000E+001, 2.0000000E+001, 2.0000000E+001, 2.0000000E+001, 2.0000000E+001, 2.0000000E+001, 2.0000000E+001, 2.0000000E+001, 2.0000000E+001, 2.0000000E+001, 2.0000000E+001, 2.0000000E+001
 5.0080371E+000, 2.9121836E+000, 2.9121836E+000, 2.9121836E+000, 2.9121836E+000, 1.1161857E+002, 6.9148337E+002, 4.3386576E+002, 3.3849855E+002, 2.4255525E+002, 1.3041648E+002, 7.2363483E+001, 7.7691381E+001, 5.1382769E+001, 3.1912196E+001, 3.2995801E+001, 3.0186664E+001, 3.4074488E+001, 2.3812454E+001, 2.0039680E+001, 2.0041378E+001, 2.0088476E+001, 2.1151739E+001, 2.1836276E+001, 2.1425716E+001, 2.0859051E+001
 1.0009808E+001, 7.3996700E+000, 7.3996700E+000, 7.3996700E+000, 7.3996700E+000, 3.7160200E+002, 6.9472337E+002, 6.1366796E+002, 5.4460265E+002, 4.5562826E+002, 2.8022992E+002, 1.2519826E+002, 3.8053944E+002, 3.4196065E+002, 1.9992213E+002, 1.1960056E+002, 7.0388339E+001, 4.7105278E+001, 3.8037776E+001, 1.0037522E+002, 8.3740074E+001, 3.8771533E+001, 3.7943072E+001, 4.0625296E+001, 3.0817444E+001, 2.6536927E+001
 1.5001938E+001, 1.2504049E+001, 1.2504049E+001, 1.2504049E+001, 1.2504049E+001, 3.2630766E+002, 5.2633126E+002, 5.2928084E+002, 5.2644832E+002, 5.4547385E+002, 4.7604086E+002, 2.9586498E+002, 4.3234089E+002, 4.0978474E+002, 3.4629886E+002, 2.0059845E+002, 5.2309053E+001, 4.0852122E+001, 3.3757911E+001, 2.6798366E+002, 1.5880362E+002, 5.6531523E+001, 5.5531295E+001, 4.2453049E+001, 3.4264579E+001, 2.5495361E+001
 2.0000452E+001, 1.7420416E+001, 1.7420416E+001, 1.7420416E+001, 1.7420416E+001, 3.5326104E+002, 5.4329357E+002, 5.2710686E+002, 5.0149593E+002, 5.0192565E+002, 5.6208063E+002, 4.8251912E+002, 4.4897734E+002, 4.4758636E+002, 4.1500678E+002, 3.9089898E+002, 1.0449780E+002, 5.6245889E+001, 4.3100330E+001, 4.1779739E+002, 3.5794370E+002, 1.7150266E+002, 1.4039569E+002, 8.9756993E+001, 6.0917182E+001, 4.1549133E+001
 2.5008976E+001, 2.2522332E+001, 2.2522332E+001, 2.2522332E+001, 2.2522332E+001, 2.7326955E+002, 4.3207545E+002, 4.3728138E+002, 4.3773384E+002, 4.1575395E+002, 3.3121975E+002, 3.1564559E+002, 5.2198477E+002, 5.0236790E+002, 4.6722232E+002, 3.4007533E+002, 1.2906520E+002, 6.7622667E+001, 4.9701236E+001, 4.0864629E+002, 3.6493679E+002, 2.7295637E+002, 2.0751447E+002, 8.9381015E+001, 4.4563636E+001, 3.5614877E+001
 3.0001019E+001, 2.7475797E+001, 2.7475797E+001, 2.7475797E+001, 2.7475797E+001, 2.4821185E+002, 3.7196456E+002, 3.7240998E+002, 3.7521342E+002, 3.5776016E+002, 3.2640494E+002, 2.8623014E+002, 5.6262194E+002, 4.9695452E+002, 4.5622515E+002, 3.4914668E+002, 8.4121263E+001, 6.0198291E+001, 4.8090895E+001, 4.1121191E+002, 3.6919033E+002, 2.6689760E+002, 2.1018446E+002, 7.8262760E+001, 4.6808519E+001, 3.7134821E+001
 3.5000610E+001, 3.2631666E+001, 3.2631666E+001, 3.2631666E+001, 3.2631666E+001, 2.4969870E+002, 3.2744402E+002, 3.2521155E+002, 3.5030892E+002, 4.0158626E+002, 3.5253535E+002, 2.7943643E+002, 5.8575106E+002, 5.7988423E+002, 6.0293871E+002, 5.4751702E+002, 3.4201824E+002, 1.1247921E+002, 7.4720899E+001, 5.3694425E+002, 5.1952581E+002, 3.6126709E+002, 2.8009658E+002, 1.2588278E+002, 7.2339204E+001, 5.3522650E+001
 4.0010273E+001, 3.7472101E+001, 3.7472101E+001, 3.7472101E+001, 3.7472101E+001, 2.3152514E+002, 3.3017286E+002, 3.2681076E+002, 3.4456058E+002, 3.5840067E+002, 3.2314040E+002, 2.9422398E+002, 5.4832584E+002, 5.5913627E+002, 5.4046114E+002, 5.3266871E+002, 5.8268935E+002, 1.7714064E+002, 9.5732531E+001, 6.0836197E+002, 6.1550779E+002, 5.7485877E+002, 4.9207358E+002, 2.6929099E+002, 9.6598368E+001, 6.5324900E+001
